# 1D ASCII output created by CarpetIOASCII
# created on 127.0.0.1ip-172-30-0-219 by admin on Aug 14 2016 at 05:47:07+0000
# parameter filename: "/home/admin/simulations/ONE_BH/1BH_Boosted/1BH_P0.1_less_lorene/1bh_p0.1_dx0.0015625_near_convergence/manybhnear_1bh_p0.1_dx0.0015625_near_convergence_16x17x25.par"
#
# ADMCONSTRAINTS::HAMILTONIAN y (admconstraints-hamiltonian)
#
# iteration 0   time 0
# time level 0
# refinement level 0   multigrid level 0   map 0   component 0
# column format: 1:it	2:tl	3:rl 4:c 5:ml	6:ix 7:iy 8:iz	9:time	10:x 11:y 12:z	13:data
# data columns: 13:ham
0	0	0 0 0	20 0 20	0	3 0.46875 0.5	4.65510822097943e-06
0	0	0 0 0	20 1 20	0	3 0.4703125 0.5	4.65510822097943e-06
0	0	0 0 0	20 2 20	0	3 0.471875 0.5	-2.91972109467062e-11
0	0	0 0 0	20 3 20	0	3 0.4734375 0.5	-3.27696161493089e-10
0	0	0 0 0	20 4 20	0	3 0.475 0.5	3.42794672530435e-10
0	0	0 0 0	20 5 20	0	3 0.4765625 0.5	-1.72413543836868e-10
0	0	0 0 0	20 6 20	0	3 0.478125 0.5	-2.82176092659004e-10
0	0	0 0 0	20 7 20	0	3 0.4796875 0.5	1.31310354299988e-11
0	0	0 0 0	20 8 20	0	3 0.48125 0.5	-1.10640655816806e-10
0	0	0 0 0	20 9 20	0	3 0.4828125 0.5	-2.92419838180975e-10
0	0	0 0 0	20 10 20	0	3 0.484375 0.5	1.9056723815072e-10
0	0	0 0 0	20 11 20	0	3 0.4859375 0.5	1.8799747446719e-10
0	0	0 0 0	20 12 20	0	3 0.4875 0.5	-1.33847962986537e-10
0	0	0 0 0	20 13 20	0	3 0.4890625 0.5	-5.44006619591052e-10
0	0	0 0 0	20 14 20	0	3 0.490625 0.5	-1.78263176789373e-11
0	0	0 0 0	20 15 20	0	3 0.4921875 0.5	-3.14924840870943e-10
0	0	0 0 0	20 16 20	0	3 0.49375 0.5	-1.29670363368303e-10
0	0	0 0 0	20 17 20	0	3 0.4953125 0.5	1.40268466329932e-10
0	0	0 0 0	20 18 20	0	3 0.496875 0.5	-2.26625761722259e-10
0	0	0 0 0	20 19 20	0	3 0.4984375 0.5	-3.1782146722335e-10
0	0	0 0 0	20 20 20	0	3 0.5 0.5	-6.59827277993581e-11
0	0	0 0 0	20 21 20	0	3 0.5015625 0.5	-1.16724440714106e-10
0	0	0 0 0	20 22 20	0	3 0.503125 0.5	2.24228080872822e-10
0	0	0 0 0	20 23 20	0	3 0.5046875 0.5	2.99291135603084e-10
0	0	0 0 0	20 24 20	0	3 0.50625 0.5	-3.91019598807146e-10
0	0	0 0 0	20 25 20	0	3 0.5078125 0.5	-1.36301820307869e-10
0	0	0 0 0	20 26 20	0	3 0.509375 0.5	3.64226064673151e-12
0	0	0 0 0	20 27 20	0	3 0.5109375 0.5	3.27959257570131e-10
0	0	0 0 0	20 28 20	0	3 0.5125 0.5	-5.26718021412118e-10
0	0	0 0 0	20 29 20	0	3 0.5140625 0.5	7.39829369099908e-11
0	0	0 0 0	20 30 20	0	3 0.515625 0.5	-1.70054788826979e-10
0	0	0 0 0	20 31 20	0	3 0.5171875 0.5	3.06236538514734e-10
0	0	0 0 0	20 32 20	0	3 0.51875 0.5	-5.58697817718869e-10
0	0	0 0 0	20 33 20	0	3 0.5203125 0.5	4.36554861813106e-11
0	0	0 0 0	20 34 20	0	3 0.521875 0.5	-2.86415718616165e-10
0	0	0 0 0	20 35 20	0	3 0.5234375 0.5	1.92339067632899e-10
0	0	0 0 0	20 36 20	0	3 0.525 0.5	-1.3843238615965e-10
0	0	0 0 0	20 37 20	0	3 0.5265625 0.5	-2.09787477537318e-10
0	0	0 0 0	20 38 20	0	3 0.528125 0.5	-9.70137533674864e-11
0	0	0 0 0	20 39 20	0	3 0.5296875 0.5	3.77853418782664e-06
0	0	0 0 0	20 40 20	0	3 0.53125 0.5	3.77853418782664e-06


