# 1D ASCII output created by CarpetIOASCII
# created on 127.0.0.1ip-172-30-0-219 by admin on Aug 14 2016 at 07:22:43+0000
# parameter filename: "/home/admin/simulations/ONE_BH/1BH_Boosted/1BH_P0.1_less_lorene/1bh_p0.1_dx0.003125_near_convergence/manybhnear_1bh_p0.1_dx0.003125_near_convergence_8x9x13.par"
#
# ADMCONSTRAINTS::HAMILTONIAN z (admconstraints-hamiltonian)
#
# iteration 0   time 0
# time level 0
# refinement level 0   multigrid level 0   map 0   component 0
# column format: 1:it	2:tl	3:rl 4:c 5:ml	6:ix 7:iy 8:iz	9:time	10:x 11:y 12:z	13:data
# data columns: 13:ham
0	0	0 0 0	20 20 0	0	3 0.5 0.46875	4.65515986706544e-06
0	0	0 0 0	20 20 1	0	3 0.5 0.4703125	4.65515986706544e-06
0	0	0 0 0	20 20 2	0	3 0.5 0.471875	-3.2214874810723e-11
0	0	0 0 0	20 20 3	0	3 0.5 0.4734375	-4.77778592568052e-10
0	0	0 0 0	20 20 4	0	3 0.5 0.475	3.88925644348535e-10
0	0	0 0 0	20 20 5	0	3 0.5 0.4765625	-2.24900446519054e-10
0	0	0 0 0	20 20 6	0	3 0.5 0.478125	-1.85588871256647e-10
0	0	0 0 0	20 20 7	0	3 0.5 0.4796875	-8.99835159184383e-11
0	0	0 0 0	20 20 8	0	3 0.5 0.48125	-6.34620508270858e-11
0	0	0 0 0	20 20 9	0	3 0.5 0.4828125	-4.47273509787509e-10
0	0	0 0 0	20 20 10	0	3 0.5 0.484375	1.36520425769292e-10
0	0	0 0 0	20 20 11	0	3 0.5 0.4859375	1.84696697877202e-10
0	0	0 0 0	20 20 12	0	3 0.5 0.4875	-2.91111356483416e-10
0	0	0 0 0	20 20 13	0	3 0.5 0.4890625	-5.47534638125919e-10
0	0	0 0 0	20 20 14	0	3 0.5 0.490625	-2.11825672020299e-11
0	0	0 0 0	20 20 15	0	3 0.5 0.4921875	-5.27246036218475e-10
0	0	0 0 0	20 20 16	0	3 0.5 0.49375	1.81251699738448e-10
0	0	0 0 0	20 20 17	0	3 0.5 0.4953125	-2.10092811745756e-11
0	0	0 0 0	20 20 18	0	3 0.5 0.496875	-1.77176819114548e-10
0	0	0 0 0	20 20 19	0	3 0.5 0.4984375	-2.68163861125506e-10
0	0	0 0 0	20 20 20	0	3 0.5 0.5	1.08772892494328e-11
0	0	0 0 0	20 20 21	0	3 0.5 0.5015625	-2.00914600386425e-10
0	0	0 0 0	20 20 22	0	3 0.5 0.503125	8.5334468278523e-11
0	0	0 0 0	20 20 23	0	3 0.5 0.5046875	2.14200114514052e-10
0	0	0 0 0	20 20 24	0	3 0.5 0.50625	-3.39931332485766e-10
0	0	0 0 0	20 20 25	0	3 0.5 0.5078125	2.5068414195601e-11
0	0	0 0 0	20 20 26	0	3 0.5 0.509375	8.31333009159926e-11
0	0	0 0 0	20 20 27	0	3 0.5 0.5109375	1.856860699272e-10
0	0	0 0 0	20 20 28	0	3 0.5 0.5125	-4.74399882604334e-10
0	0	0 0 0	20 20 29	0	3 0.5 0.5140625	7.05230243235218e-11
0	0	0 0 0	20 20 30	0	3 0.5 0.515625	-4.5265888476767e-12
0	0	0 0 0	20 20 31	0	3 0.5 0.5171875	5.85922391225895e-10
0	0	0 0 0	20 20 32	0	3 0.5 0.51875	-5.61850359477329e-10
0	0	0 0 0	20 20 33	0	3 0.5 0.5203125	-4.46080574876499e-10
0	0	0 0 0	20 20 34	0	3 0.5 0.521875	2.62482602385143e-11
0	0	0 0 0	20 20 35	0	3 0.5 0.5234375	-7.12788813975011e-11
0	0	0 0 0	20 20 36	0	3 0.5 0.525	6.14870651139202e-11
0	0	0 0 0	20 20 37	0	3 0.5 0.5265625	-3.0082800074778e-10
0	0	0 0 0	20 20 38	0	3 0.5 0.528125	-1.88623184996586e-10
0	0	0 0 0	20 20 39	0	3 0.5 0.5296875	3.77853088453969e-06
0	0	0 0 0	20 20 40	0	3 0.5 0.53125	3.77853088453969e-06


