# 1D ASCII output created by CarpetIOASCII
# created on 127.0.0.1ip-172-30-0-219 by admin on Jul 08 2016 at 08:41:11+0000
# parameter filename: "/home/admin/simulations/ONE_BH/1BH_Boosted/1BH_P0.3/1bh_p0.3_dx0.0015625_near/manybhfar_1bh_p0.3_dx0.0015625_near_40x41x49.par"
#
# ADMCONSTRAINTS::HAMILTONIAN x (admconstraints-hamiltonian)
#
# iteration 0   time 0
# time level 0
# refinement level 0   multigrid level 0   map 0   component 0
# column format: 1:it	2:tl	3:rl 4:c 5:ml	6:ix 7:iy 8:iz	9:time	10:x 11:y 12:z	13:data
# data columns: 13:ham
0	0	0 0 0	0 20 20	0	4.9375 5 5	1.59758585698065e-09
0	0	0 0 0	1 20 20	0	4.940625 5 5	1.59758585698065e-09
0	0	0 0 0	2 20 20	0	4.94375 5 5	-3.45409502432517e-10
0	0	0 0 0	3 20 20	0	4.946875 5 5	-4.43179992446548e-10
0	0	0 0 0	4 20 20	0	4.95 5 5	2.56266748869648e-10
0	0	0 0 0	5 20 20	0	4.953125 5 5	2.1580620575062e-10
0	0	0 0 0	6 20 20	0	4.95625 5 5	9.06431257594151e-10
0	0	0 0 0	7 20 20	0	4.959375 5 5	-3.28731966019007e-10
0	0	0 0 0	8 20 20	0	4.9625 5 5	-2.69306914984536e-10
0	0	0 0 0	9 20 20	0	4.965625 5 5	3.72049170985211e-11
0	0	0 0 0	10 20 20	0	4.96875 5 5	3.12740629237768e-10
0	0	0 0 0	11 20 20	0	4.971875 5 5	7.69066593205416e-10
0	0	0 0 0	12 20 20	0	4.975 5 5	-7.61609363018867e-10
0	0	0 0 0	13 20 20	0	4.978125 5 5	1.32031828382179e-10
0	0	0 0 0	14 20 20	0	4.98125 5 5	-4.77774825317868e-11
0	0	0 0 0	15 20 20	0	4.984375 5 5	3.07661997549398e-11
0	0	0 0 0	16 20 20	0	4.9875 5 5	-1.20496112043854e-10
0	0	0 0 0	17 20 20	0	4.990625 5 5	1.18060649898313e-09
0	0	0 0 0	18 20 20	0	4.99375 5 5	-8.25063998214802e-10
0	0	0 0 0	19 20 20	0	4.996875 5 5	-1.14240629448177e-10
0	0	0 0 0	20 20 20	0	5 5 5	-2.55955899229891e-10
0	0	0 0 0	21 20 20	0	5.003125 5 5	8.20939214773563e-11
0	0	0 0 0	22 20 20	0	5.00625 5 5	-1.48616574314987e-10
0	0	0 0 0	23 20 20	0	5.009375 5 5	1.04234247237179e-10
0	0	0 0 0	24 20 20	0	5.0125 5 5	-6.79399546061991e-11
0	0	0 0 0	25 20 20	0	5.015625 5 5	-1.03002408658555e-10
0	0	0 0 0	26 20 20	0	5.01875 5 5	-6.90597816156409e-11
0	0	0 0 0	27 20 20	0	5.021875 5 5	9.46490634674314e-10
0	0	0 0 0	28 20 20	0	5.025 5 5	-9.07643230512551e-10
0	0	0 0 0	29 20 20	0	5.028125 5 5	4.6552897674983e-10
0	0	0 0 0	30 20 20	0	5.03125 5 5	3.03810997708117e-10
0	0	0 0 0	31 20 20	0	5.034375 5 5	-7.60601854638216e-10
0	0	0 0 0	32 20 20	0	5.0375 5 5	9.88176471355159e-10
0	0	0 0 0	33 20 20	0	5.040625 5 5	-6.84901076459144e-10
0	0	0 0 0	34 20 20	0	5.04375 5 5	4.5925262839874e-10
0	0	0 0 0	35 20 20	0	5.046875 5 5	-3.43244864307738e-10
0	0	0 0 0	36 20 20	0	5.05 5 5	-7.67107676750804e-11
0	0	0 0 0	37 20 20	0	5.053125 5 5	-4.91633612577477e-10
0	0	0 0 0	38 20 20	0	5.05625 5 5	9.62197689417538e-11
0	0	0 0 0	39 20 20	0	5.059375 5 5	2.23793659991122e-09
0	0	0 0 0	40 20 20	0	5.0625 5 5	2.23793659991122e-09


