# 1D ASCII output created by CarpetIOASCII
# created on 127.0.0.1ip-172-30-0-219 by admin on Jul 08 2016 at 07:05:42+0000
# parameter filename: "/home/admin/simulations/ONE_BH/1BH_Boosted/1BH_P0.3/1bh_p0.3_dx0.0015625_near/manybhnear_1bh_p0.3_dx0.0015625_near_40x41x49.par"
#
# ADMBASE::CURV x (admbase-curv)
#
# iteration 0   time 0
# time level 0
# refinement level 0   multigrid level 0   map 0   component 0
# column format: 1:it	2:tl	3:rl 4:c 5:ml	6:ix 7:iy 8:iz	9:time	10:x 11:y 12:z	13:data
# data columns: 13:kxx 14:kxy 15:kxz 16:kyy 17:kyz 18:kzz
0	0	0 0 0	0 20 20	0	2.96875 0.5 0.5	-0.0134901072526567 0.215841716042507 0.215841716042507 0.00674505362632835 -0.00671880828147882 0.00674505362632835
0	0	0 0 0	1 20 20	0	2.9703125 0.5 0.5	-0.0128158259015808 0.215845488868728 0.215845488868728 0.00640791295079038 -0.00638540191474329 0.00640791295079038
0	0	0 0 0	2 20 20	0	2.971875 0.5 0.5	-0.0121415092722929 0.21584905372965 0.21584905372965 0.00607075463614645 -0.006051606973457 0.00607075463614645
0	0	0 0 0	3 20 20	0	2.9734375 0.5 0.5	-0.0114671594352026 0.215852412897932 0.215852412897932 0.00573357971760129 -0.00571744357314194 0.00573357971760129
0	0	0 0 0	4 20 20	0	2.975 0.5 0.5	-0.0107927784263682 0.215855568527365 0.215855568527365 0.00539638921318412 -0.00538293188347543 0.00539638921318412
0	0	0 0 0	5 20 20	0	2.9765625 0.5 0.5	-0.0101183682493225 0.215858522652213 0.215858522652213 0.00505918412466125 -0.00504809212536236 0.00505918412466125
0	0	0 0 0	6 20 20	0	2.978125 0.5 0.5	-0.00944393087691344 0.215861277186592 0.215861277186592 0.00472196543845672 -0.00471294456799454 0.00472196543845672
0	0	0 0 0	7 20 20	0	2.9796875 0.5 0.5	-0.00876946825315786 0.215863833923884 0.215863833923884 0.00438473412657893 -0.00437750952589654 0.00438473412657893
0	0	0 0 0	8 20 20	0	2.98125 0.5 0.5	-0.008094982295107 0.215866194536189 0.215866194536189 0.0040474911475535 -0.00404180735595918 0.0040474911475535
0	0	0 0 0	9 20 20	0	2.9828125 0.5 0.5	-0.0074204748947248 0.215868360573813 0.215868360573813 0.0037102374473624 -0.00370585845446211 0.0037102374473624
0	0	0 0 0	10 20 20	0	2.984375 0.5 0.5	-0.00674594792077484 0.215870333464795 0.215870333464795 0.00337297396038742 -0.0033696832540846 0.00337297396038742
0	0	0 0 0	11 20 20	0	2.9859375 0.5 0.5	-0.00607140322071935 0.215872114514464 0.215872114514464 0.00303570161035967 -0.00303330222090759 0.00303570161035967
0	0	0 0 0	12 20 20	0	2.9875 0.5 0.5	-0.00539684262262622 0.215873704905046 0.215873704905046 0.00269842131131311 -0.00269673585140598 0.00269842131131311
0	0	0 0 0	13 20 20	0	2.9890625 0.5 0.5	-0.00472226793708452 0.215875105695296 0.215875105695296 0.00236113396854226 -0.00236000466943286 0.00236113396854226
0	0	0 0 0	14 20 20	0	2.990625 0.5 0.5	-0.00404768095912826 0.215876317820176 0.215876317820176 0.00202384047956413 -0.0020231292231966 0.00202384047956413
0	0	0 0 0	15 20 20	0	2.9921875 0.5 0.5	-0.00337308347016512 0.215877342090567 0.215877342090567 0.00168654173508256 -0.00168613008223045 0.00168654173508256
0	0	0 0 0	16 20 20	0	2.99375 0.5 0.5	-0.00269847723991283 0.215878179193023 0.215878179193023 0.00134923861995641 -0.0013490278343573 0.00134923861995641
0	0	0 0 0	17 20 20	0	2.9953125 0.5 0.5	-0.00202386402833966 0.215878829689555 0.215878829689555 0.00101193201416983 -0.00101184308264889 0.00101193201416983
0	0	0 0 0	18 20 20	0	2.996875 0.5 0.5	-0.00134924558760907 0.215879294017463 0.215879294017463 0.000674622793804534 -0.000674596442381003 0.000674622793804534
0	0	0 0 0	19 20 20	0	2.9984375 0.5 0.5	-0.000674623664028711 0.2158795724892 0.2158795724892 0.000337311832014356 -0.000337308537985664 0.000337311832014356
0	0	0 0 0	20 20 20	0	3 0.5 0.5	0 0.215879665292275 0.215879665292275 0 0 0
0	0	0 0 0	21 20 20	0	3.0015625 0.5 0.5	0.000674623664028711 0.2158795724892 0.2158795724892 -0.000337311832014356 0.000337308537985664 -0.000337311832014356
0	0	0 0 0	22 20 20	0	3.003125 0.5 0.5	0.00134924558760907 0.215879294017463 0.215879294017463 -0.000674622793804534 0.000674596442381003 -0.000674622793804534
0	0	0 0 0	23 20 20	0	3.0046875 0.5 0.5	0.00202386402833966 0.215878829689555 0.215878829689555 -0.00101193201416983 0.00101184308264889 -0.00101193201416983
0	0	0 0 0	24 20 20	0	3.00625 0.5 0.5	0.00269847723991283 0.215878179193023 0.215878179193023 -0.00134923861995641 0.0013490278343573 -0.00134923861995641
0	0	0 0 0	25 20 20	0	3.0078125 0.5 0.5	0.00337308347016512 0.215877342090567 0.215877342090567 -0.00168654173508256 0.00168613008223045 -0.00168654173508256
0	0	0 0 0	26 20 20	0	3.009375 0.5 0.5	0.00404768095912826 0.215876317820176 0.215876317820176 -0.00202384047956413 0.0020231292231966 -0.00202384047956413
0	0	0 0 0	27 20 20	0	3.0109375 0.5 0.5	0.00472226793708452 0.215875105695296 0.215875105695296 -0.00236113396854226 0.00236000466943286 -0.00236113396854226
0	0	0 0 0	28 20 20	0	3.0125 0.5 0.5	0.00539684262262622 0.215873704905046 0.215873704905046 -0.00269842131131311 0.00269673585140598 -0.00269842131131311
0	0	0 0 0	29 20 20	0	3.0140625 0.5 0.5	0.00607140322071935 0.215872114514464 0.215872114514464 -0.00303570161035967 0.00303330222090759 -0.00303570161035967
0	0	0 0 0	30 20 20	0	3.015625 0.5 0.5	0.00674594792077484 0.215870333464795 0.215870333464795 -0.00337297396038742 0.0033696832540846 -0.00337297396038742
0	0	0 0 0	31 20 20	0	3.0171875 0.5 0.5	0.0074204748947248 0.215868360573813 0.215868360573813 -0.0037102374473624 0.00370585845446211 -0.0037102374473624
0	0	0 0 0	32 20 20	0	3.01875 0.5 0.5	0.008094982295107 0.215866194536189 0.215866194536189 -0.0040474911475535 0.00404180735595918 -0.0040474911475535
0	0	0 0 0	33 20 20	0	3.0203125 0.5 0.5	0.00876946825315786 0.215863833923884 0.215863833923884 -0.00438473412657893 0.00437750952589654 -0.00438473412657893
0	0	0 0 0	34 20 20	0	3.021875 0.5 0.5	0.00944393087691344 0.215861277186592 0.215861277186592 -0.00472196543845672 0.00471294456799454 -0.00472196543845672
0	0	0 0 0	35 20 20	0	3.0234375 0.5 0.5	0.0101183682493225 0.215858522652213 0.215858522652213 -0.00505918412466125 0.00504809212536236 -0.00505918412466125
0	0	0 0 0	36 20 20	0	3.025 0.5 0.5	0.0107927784263682 0.215855568527365 0.215855568527365 -0.00539638921318412 0.00538293188347543 -0.00539638921318412
0	0	0 0 0	37 20 20	0	3.0265625 0.5 0.5	0.0114671594352026 0.215852412897932 0.215852412897932 -0.00573357971760129 0.00571744357314194 -0.00573357971760129
0	0	0 0 0	38 20 20	0	3.028125 0.5 0.5	0.0121415092722929 0.21584905372965 0.21584905372965 -0.00607075463614645 0.006051606973457 -0.00607075463614645
0	0	0 0 0	39 20 20	0	3.0296875 0.5 0.5	0.0128158259015808 0.215845488868728 0.215845488868728 -0.00640791295079038 0.00638540191474329 -0.00640791295079038
0	0	0 0 0	40 20 20	0	3.03125 0.5 0.5	0.0134901072526567 0.215841716042507 0.215841716042507 -0.00674505362632835 0.00671880828147882 -0.00674505362632835


