# 1D ASCII output created by CarpetIOASCII
# created on 127.0.0.1ip-172-30-0-219 by admin on Jul 08 2016 at 07:54:57+0000
# parameter filename: "/home/admin/simulations/ONE_BH/1BH_Boosted/1BH_P0.3/1bh_p0.3_dx0.0015625_near/twopunfar_1bh_p0.3_dx0.0015625_near_20.par"
#
# ADMCONSTRAINTS::HAMILTONIAN y (admconstraints-hamiltonian)
#
# iteration 0   time 0
# time level 0
# refinement level 0   multigrid level 0   map 0   component 0
# column format: 1:it	2:tl	3:rl 4:c 5:ml	6:ix 7:iy 8:iz	9:time	10:x 11:y 12:z	13:data
# data columns: 13:ham
0	0	0 0 0	20 0 20	0	5 4.9375 5	7.40637902699545e-09
0	0	0 0 0	20 1 20	0	5 4.940625 5	7.40637902699545e-09
0	0	0 0 0	20 2 20	0	5 4.94375 5	5.85260797839754e-09
0	0	0 0 0	20 3 20	0	5 4.946875 5	5.57649128425913e-09
0	0	0 0 0	20 4 20	0	5 4.95 5	5.67735988566732e-09
0	0	0 0 0	20 5 20	0	5 4.953125 5	4.8562527018954e-09
0	0	0 0 0	20 6 20	0	5 4.95625 5	5.80831780776578e-09
0	0	0 0 0	20 7 20	0	5 4.959375 5	5.03718334961099e-09
0	0	0 0 0	20 8 20	0	5 4.9625 5	5.53829659862465e-09
0	0	0 0 0	20 9 20	0	5 4.965625 5	5.86230318328222e-09
0	0	0 0 0	20 10 20	0	5 4.96875 5	5.60830319652154e-09
0	0	0 0 0	20 11 20	0	5 4.971875 5	5.22475582457184e-09
0	0	0 0 0	20 12 20	0	5 4.975 5	5.71047506626147e-09
0	0	0 0 0	20 13 20	0	5 4.978125 5	5.11471455624481e-09
0	0	0 0 0	20 14 20	0	5 4.98125 5	5.93655977252917e-09
0	0	0 0 0	20 15 20	0	5 4.984375 5	5.57452380403714e-09
0	0	0 0 0	20 16 20	0	5 4.9875 5	5.82805438129985e-09
0	0	0 0 0	20 17 20	0	5 4.990625 5	5.29528651058619e-09
0	0	0 0 0	20 18 20	0	5 4.99375 5	5.42618174599884e-09
0	0	0 0 0	20 19 20	0	5 4.996875 5	4.91852579237467e-09
0	0	0 0 0	20 20 20	0	5 5 5	5.17279468045096e-09
0	0	0 0 0	20 21 20	0	5 5.003125 5	5.38714218765605e-09
0	0	0 0 0	20 22 20	0	5 5.00625 5	4.85918458201657e-09
0	0	0 0 0	20 23 20	0	5 5.009375 5	4.83988732365203e-09
0	0	0 0 0	20 24 20	0	5 5.0125 5	5.87974639838101e-09
0	0	0 0 0	20 25 20	0	5 5.015625 5	5.22166188884681e-09
0	0	0 0 0	20 26 20	0	5 5.01875 5	4.51782422835668e-09
0	0	0 0 0	20 27 20	0	5 5.021875 5	5.62228272109073e-09
0	0	0 0 0	20 28 20	0	5 5.025 5	4.47299528385863e-09
0	0	0 0 0	20 29 20	0	5 5.028125 5	5.53156626944006e-09
0	0	0 0 0	20 30 20	0	5 5.03125 5	5.33667104939421e-09
0	0	0 0 0	20 31 20	0	5 5.034375 5	5.19107143574326e-09
0	0	0 0 0	20 32 20	0	5 5.0375 5	4.99328041009283e-09
0	0	0 0 0	20 33 20	0	5 5.040625 5	5.74612774818583e-09
0	0	0 0 0	20 34 20	0	5 5.04375 5	5.13961542989165e-09
0	0	0 0 0	20 35 20	0	5 5.046875 5	4.12588770133405e-09
0	0	0 0 0	20 36 20	0	5 5.05 5	5.66684699102857e-09
0	0	0 0 0	20 37 20	0	5 5.053125 5	4.89019232819874e-09
0	0	0 0 0	20 38 20	0	5 5.05625 5	4.90849507037378e-09
0	0	0 0 0	20 39 20	0	5 5.059375 5	7.0497114336272e-09
0	0	0 0 0	20 40 20	0	5 5.0625 5	7.0497114336272e-09


