# 1D ASCII output created by CarpetIOASCII
# created on 127.0.0.1ip-172-30-0-219 by admin on Jul 08 2016 at 07:58:24+0000
# parameter filename: "/home/admin/simulations/ONE_BH/1BH_Boosted/1BH_P0.3/1bh_p0.3_dx0.0015625_near/twopunfar_1bh_p0.3_dx0.0015625_near_30.par"
#
# ADMCONSTRAINTS::MOMENTUM z (admconstraints-momentum)
#
# iteration 0   time 0
# time level 0
# refinement level 0   multigrid level 0   map 0   component 0
# column format: 1:it	2:tl	3:rl 4:c 5:ml	6:ix 7:iy 8:iz	9:time	10:x 11:y 12:z	13:data
# data columns: 13:momx 14:momy 15:momz
0	0	0 0 0	20 20 0	0	5 5 4.9375	3.04267318297342e-10 1.09534490066445e-10 1.01091229137706e-10
0	0	0 0 0	20 20 1	0	5 5 4.940625	3.04267318297342e-10 1.09534490066445e-10 1.01091229137706e-10
0	0	0 0 0	20 20 2	0	5 5 4.94375	4.37814389776803e-17 1.0879968800892e-16 -1.01643953670516e-16
0	0	0 0 0	20 20 3	0	5 5 4.946875	7.20943622726025e-17 2.22776441391459e-16 2.08573392931899e-16
0	0	0 0 0	20 20 4	0	5 5 4.95	-1.15369275547825e-16 -1.98517417782096e-16 2.14536504880569e-16
0	0	0 0 0	20 20 5	0	5 5 4.953125	3.10623922417097e-17 1.57778521150953e-16 -5.37195071412255e-16
0	0	0 0 0	20 20 6	0	5 5 4.95625	-6.33495941251491e-17 7.52978408791183e-17 2.01173713104685e-16
0	0	0 0 0	20 20 7	0	5 5 4.959375	-2.80762622894594e-16 3.2688695500438e-17 4.05627137781139e-16
0	0	0 0 0	20 20 8	0	5 5 4.9625	-3.11304936906689e-16 -2.14563609934881e-16 7.68428289749101e-17
0	0	0 0 0	20 20 9	0	5 5 4.965625	-5.77295305201168e-17 -1.34928960365821e-16 -3.07886311931571e-16
0	0	0 0 0	20 20 10	0	5 5 4.96875	4.24223746138108e-16 -1.05438661274215e-17 2.73489998009468e-17
0	0	0 0 0	20 20 11	0	5 5 4.971875	-2.50764104034636e-16 -2.95716142545421e-17 -3.87602276663568e-18
0	0	0 0 0	20 20 12	0	5 5 4.975	-5.7714368630361e-16 -2.95743247599733e-16 -6.53231808922516e-17
0	0	0 0 0	20 20 13	0	5 5 4.978125	4.38610600747222e-17 3.09051829266993e-16 -7.61380975627945e-17
0	0	0 0 0	20 20 14	0	5 5 4.98125	-1.75115591515354e-16 4.805726129542e-17 -2.92165380430531e-16
0	0	0 0 0	20 20 15	0	5 5 4.984375	-2.5371516682287e-16 1.61735859080525e-16 2.2012014606887e-16
0	0	0 0 0	20 20 16	0	5 5 4.9875	-2.35214696705415e-16 -3.24854075930969e-16 -4.51976780654895e-16
0	0	0 0 0	20 20 17	0	5 5 4.990625	-2.32869050716231e-16 2.49014133965608e-16 1.02213159811071e-16
0	0	0 0 0	20 20 18	0	5 5 4.99375	-4.40219328072295e-16 -6.1067687365246e-17 -5.65953534037433e-17
0	0	0 0 0	20 20 19	0	5 5 4.996875	-1.41482666036964e-16 5.12556577042522e-17 -4.02862422241301e-16
0	0	0 0 0	20 20 20	0	5 5 5	5.57972582800028e-16 3.67815587015707e-17 3.30410612064957e-17
0	0	0 0 0	20 20 21	0	5 5 5.003125	-1.45899095823948e-16 2.46845729620637e-16 2.75197616431133e-16
0	0	0 0 0	20 20 22	0	5 5 5.00625	-5.58531831353591e-16 -1.11428878277198e-16 4.57289371300074e-16
0	0	0 0 0	20 20 23	0	5 5 5.009375	-1.04706189533077e-16 1.55122225828364e-16 5.42643187328995e-17
0	0	0 0 0	20 20 24	0	5 5 5.0125	1.80474768972632e-16 -5.24835166645921e-16 -9.69818843288284e-17
0	0	0 0 0	20 20 25	0	5 5 5.015625	-6.40624994052057e-16 4.80843663497321e-17 -4.85993623816627e-17
0	0	0 0 0	20 20 26	0	5 5 5.01875	1.60300985267876e-18 8.04749062527366e-17 -1.83745163181981e-16
0	0	0 0 0	20 20 27	0	5 5 5.021875	2.34729770343112e-16 -9.83913471530595e-17 3.9600484350033e-17
0	0	0 0 0	20 20 28	0	5 5 5.025	-1.00754569075899e-17 1.57670100933704e-16 3.10352871873976e-17
0	0	0 0 0	20 20 29	0	5 5 5.028125	-3.81864475478867e-16 2.45409161742094e-16 2.21719344273286e-16
0	0	0 0 0	20 20 30	0	5 5 5.03125	-3.16420168875158e-16 -9.55724215045972e-17 8.37275127701931e-17
0	0	0 0 0	20 20 31	0	5 5 5.034375	8.58162960181222e-17 2.81485989031549e-16 1.84178844050975e-16
0	0	0 0 0	20 20 32	0	5 5 5.0375	-5.35316352335245e-17 1.58808513214814e-16 -1.22650370762423e-16
0	0	0 0 0	20 20 33	0	5 5 5.040625	-5.0129103884404e-16 3.8597597340484e-17 1.56531688652595e-16
0	0	0 0 0	20 20 34	0	5 5 5.04375	-1.34988252672129e-16 1.70951577546652e-16 3.77031305481834e-17
0	0	0 0 0	20 20 35	0	5 5 5.046875	-4.01154803819637e-17 1.33763443030399e-16 -5.0225665640391e-17
0	0	0 0 0	20 20 36	0	5 5 5.05	-4.37136763418999e-17 1.15467531369706e-16 2.90295131682994e-16
0	0	0 0 0	20 20 37	0	5 5 5.053125	-2.30276071106449e-16 3.86518074491082e-16 -2.1949672981969e-16
0	0	0 0 0	20 20 38	0	5 5 5.05625	-2.40801302509031e-16 -2.50721752387273e-17 -1.27041389560989e-16
0	0	0 0 0	20 20 39	0	5 5 5.059375	2.88766447102882e-10 9.46473855778333e-11 1.02515170966955e-10
0	0	0 0 0	20 20 40	0	5 5 5.0625	2.88766447102882e-10 9.46473855778333e-11 1.02515170966955e-10


