# 1D ASCII output created by CarpetIOASCII
# created on 127.0.0.1ip-172-30-0-219 by admin on Jul 08 2016 at 06:16:11+0000
# parameter filename: "/home/admin/simulations/ONE_BH/1BH_Boosted/1BH_P0.3/1bh_p0.3_dx0.0015625_near/twopunnear_1bh_p0.3_dx0.0015625_near_30.par"
#
# ADMBASE::CURV x (admbase-curv)
#
# iteration 0   time 0
# time level 0
# refinement level 0   multigrid level 0   map 0   component 0
# column format: 1:it	2:tl	3:rl 4:c 5:ml	6:ix 7:iy 8:iz	9:time	10:x 11:y 12:z	13:data
# data columns: 13:kxx 14:kxy 15:kxz 16:kyy 17:kyz 18:kzz
0	0	0 0 0	0 20 20	0	2.96875 0.5 0.5	-0.012314752189822 0.197036035037151 0.197036035037151 0.00615737609491098 -0.00613341743306308 0.00615737609491098
0	0	0 0 0	1 20 20	0	2.9703125 0.5 0.5	-0.0116995362866415 0.19704482166975 0.19704482166975 0.00584976814332073 -0.00582921787327919 0.00584976814332073
0	0	0 0 0	2 20 20	0	2.971875 0.5 0.5	-0.0110842526810079 0.197053380995696 0.197053380995696 0.00554212634050397 -0.00552464601522144 0.00554212634050397
0	0	0 0 0	3 20 20	0	2.9734375 0.5 0.5	-0.0104689036135034 0.197061715077712 0.197061715077712 0.00523445180675169 -0.00521972036938107 0.00523445180675169
0	0	0 0 0	4 20 20	0	2.975 0.5 0.5	-0.0098534912935777 0.197069825871555 0.197069825871555 0.00492674564678885 -0.00491445949804374 0.00492674564678885
0	0	0 0 0	5 20 20	0	2.9765625 0.5 0.5	-0.00923801790119017 0.19707771522539 0.19707771522539 0.00461900895059508 -0.00460888201257916 0.00461900895059508
0	0	0 0 0	6 20 20	0	2.978125 0.5 0.5	-0.00862248558846557 0.197085384879212 0.197085384879212 0.00431124279423279 -0.00430300657071852 0.00431124279423279
0	0	0 0 0	7 20 20	0	2.9796875 0.5 0.5	-0.00800689648136179 0.197092836464288 0.197092836464288 0.00400344824068089 -0.00399685187381883 0.00400344824068089
0	0	0 0 0	8 20 20	0	2.98125 0.5 0.5	-0.00739125268134905 0.197100071502643 0.197100071502643 0.00369562634067452 -0.00369043666411561 0.00369562634067452
0	0	0 0 0	9 20 20	0	2.9828125 0.5 0.5	-0.00677555626710091 0.197107091406573 0.197107091406573 0.00338777813355046 -0.00338377972196493 0.00338777813355046
0	0	0 0 0	10 20 20	0	2.984375 0.5 0.5	-0.00615980929619362 0.197113897478196 0.197113897478196 0.00307990464809681 -0.00307689986307428 0.00307990464809681
0	0	0 0 0	11 20 20	0	2.9859375 0.5 0.5	-0.00554401380681662 0.197120490909034 0.197120490909034 0.00277200690340831 -0.00276981593572478 0.00277200690340831
0	0	0 0 0	12 20 20	0	2.9875 0.5 0.5	-0.00492817181949091 0.197126872779634 0.197126872779634 0.00246408590974546 -0.00246254681798421 0.00246408590974546
