# 1D ASCII output created by CarpetIOASCII
# created on 127.0.0.1ip-172-30-0-219 by admin on Jul 08 2016 at 06:31:46+0000
# parameter filename: "/home/admin/simulations/ONE_BH/1BH_Boosted/1BH_P0.3/1bh_p0.3_dx0.0015625_near/twopunnear_1bh_p0.3_dx0.0015625_near_40.par"
#
# ADMBASE::METRIC x (admbase-metric)
#
# iteration 0   time 0
# time level 0
# refinement level 0   multigrid level 0   map 0   component 0
# column format: 1:it	2:tl	3:rl 4:c 5:ml	6:ix 7:iy 8:iz	9:time	10:x 11:y 12:z	13:data
# data columns: 13:gxx 14:gxy 15:gxz 16:gyy 17:gyz 18:gzz
0	0	0 0 0	0 20 20	0	2.96875 0.5 0.5	10.4114927019016 0 0 10.4114927019016 0 10.4114927019016
0	0	0 0 0	1 20 20	0	2.9703125 0.5 0.5	10.4125578292347 0 0 10.4125578292347 0 10.4125578292347
0	0	0 0 0	2 20 20	0	2.971875 0.5 0.5	10.4135438397683 0 0 10.4135438397683 0 10.4135438397683
0	0	0 0 0	3 20 20	0	2.9734375 0.5 0.5	10.4144506518595 0 0 10.4144506518595 0 10.4144506518595
0	0	0 0 0	4 20 20	0	2.975 0.5 0.5	10.41527818865 0 0 10.41527818865 0 10.41527818865
0	0	0 0 0	5 20 20	0	2.9765625 0.5 0.5	10.4160263780782 0 0 10.4160263780782 0 10.4160263780782
0	0	0 0 0	6 20 20	0	2.978125 0.5 0.5	10.416695152891 0 0 10.416695152891 0 10.416695152891
0	0	0 0 0	7 20 20	0	2.9796875 0.5 0.5	10.4172844506546 0 0 10.4172844506546 0 10.4172844506546
0	0	0 0 0	8 20 20	0	2.98125 0.5 0.5	10.4177942137647 0 0 10.4177942137647 0 10.4177942137647
0	0	0 0 0	9 20 20	0	2.9828125 0.5 0.5	10.4182243894558 0 0 10.4182243894558 0 10.4182243894558
0	0	0 0 0	10 20 20	0	2.984375 0.5 0.5	10.4185749298098 0 0 10.4185749298098 0 10.4185749298098
0	0	0 0 0	11 20 20	0	2.9859375 0.5 0.5	10.4188457917643 0 0 10.4188457917643 0 10.4188457917643
0	0	0 0 0	12 20 20	0	2.9875 0.5 0.5	10.4190369371193 0 0 10.4190369371193 0 10.4190369371193
0	0	0 0 0	13 20 20	0	2.9890625 0.5 0.5	10.4191483325436 0 0 10.4191483325436 0 10.4191483325436
0	0	0 0 0	14 20 20	0	2.990625 0.5 0.5	10.419179949581 0 0 10.419179949581 0 10.419179949581
0	0	0 0 0	15 20 20	0	2.9921875 0.5 0.5	10.4191317646546 0 0 10.4191317646546 0 10.4191317646546
0	0	0 0 0	16 20 20	0	2.99375 0.5 0.5	10.4190037590715 0 0 10.4190037590715 0 10.4190037590715
0	0	0 0 0	17 20 20	0	2.9953125 0.5 0.5	10.4187959190256 0 0 10.4187959190256 0 10.4187959190256
0	0	0 0 0	18 20 20	0	2.996875 0.5 0.5	10.4185082356009 0 0 10.4185082356009 0 10.4185082356009
