# 1D ASCII output created by CarpetIOASCII
# created on 127.0.0.1ip-172-30-0-219 by admin on Aug 14 2016 at 07:33:57+0000
# parameter filename: "/home/admin/simulations/ONE_BH/1BH_Boosted/1BH_P0.75_convergence/1bh_p0.75_dx0.003125_near_convergence/manybhnear_1bh_p0.75_dx0.003125_near_convergencee_32x33x41.par"
#
# ADMCONSTRAINTS::HAMILTONIAN z (admconstraints-hamiltonian)
#
# iteration 0   time 0
# time level 0
# refinement level 0   multigrid level 0   map 0   component 0
# column format: 1:it	2:tl	3:rl 4:c 5:ml	6:ix 7:iy 8:iz	9:time	10:x 11:y 12:z	13:data
# data columns: 13:ham
0	0	0 0 0	20 20 0	0	3 0.5 0.46875	3.97838333107345e-06
0	0	0 0 0	20 20 1	0	3 0.5 0.4703125	3.97838333107345e-06
0	0	0 0 0	20 20 2	0	3 0.5 0.471875	1.14521416655355e-10
0	0	0 0 0	20 20 3	0	3 0.5 0.4734375	-4.2938524784375e-10
0	0	0 0 0	20 20 4	0	3 0.5 0.475	1.4961601749186e-10
0	0	0 0 0	20 20 5	0	3 0.5 0.4765625	-2.73586105159485e-10
0	0	0 0 0	20 20 6	0	3 0.5 0.478125	-2.89371197143007e-10
0	0	0 0 0	20 20 7	0	3 0.5 0.4796875	5.43350971854428e-11
0	0	0 0 0	20 20 8	0	3 0.5 0.48125	1.73867430869334e-11
0	0	0 0 0	20 20 9	0	3 0.5 0.4828125	-3.24319017822039e-10
0	0	0 0 0	20 20 10	0	3 0.5 0.484375	-7.9411685560693e-12
0	0	0 0 0	20 20 11	0	3 0.5 0.4859375	2.22695549501051e-10
0	0	0 0 0	20 20 12	0	3 0.5 0.4875	-1.74308283085178e-10
0	0	0 0 0	20 20 13	0	3 0.5 0.4890625	-4.29428412968003e-10
0	0	0 0 0	20 20 14	0	3 0.5 0.490625	6.25182614011344e-11
0	0	0 0 0	20 20 15	0	3 0.5 0.4921875	-1.15401086256406e-10
0	0	0 0 0	20 20 16	0	3 0.5 0.49375	-1.87957907918368e-10
0	0	0 0 0	20 20 17	0	3 0.5 0.4953125	1.65717443240121e-10
0	0	0 0 0	20 20 18	0	3 0.5 0.496875	1.70697001672382e-10
0	0	0 0 0	20 20 19	0	3 0.5 0.4984375	-1.80454443055034e-10
0	0	0 0 0	20 20 20	0	3 0.5 0.5	-1.5464072036786e-10
0	0	0 0 0	20 20 21	0	3 0.5 0.5015625	-4.35888512784199e-11
0	0	0 0 0	20 20 22	0	3 0.5 0.503125	2.53445167630595e-10
0	0	0 0 0	20 20 23	0	3 0.5 0.5046875	7.71790877734935e-11
0	0	0 0 0	20 20 24	0	3 0.5 0.50625	-3.37616344603386e-10
0	0	0 0 0	20 20 25	0	3 0.5 0.5078125	1.11668379404462e-10
0	0	0 0 0	20 20 26	0	3 0.5 0.509375	-7.76699919657897e-11
0	0	0 0 0	20 20 27	0	3 0.5 0.5109375	7.6264725437647e-11
0	0	0 0 0	20 20 28	0	3 0.5 0.5125	-2.18578110472434e-10
0	0	0 0 0	20 20 29	0	3 0.5 0.5140625	2.15784733831326e-10
0	0	0 0 0	20 20 30	0	3 0.5 0.515625	1.68079120066444e-10
0	0	0 0 0	20 20 31	0	3 0.5 0.5171875	2.92048333433437e-10
0	0	0 0 0	20 20 32	0	3 0.5 0.51875	-5.39832924889572e-10
0	0	0 0 0	20 20 33	0	3 0.5 0.5203125	-6.41947432711287e-11
0	0	0 0 0	20 20 34	0	3 0.5 0.521875	-1.74193819091339e-10
0	0	0 0 0	20 20 35	0	3 0.5 0.5234375	1.55540143265132e-10
0	0	0 0 0	20 20 36	0	3 0.5 0.525	-6.69132804720363e-11
0	0	0 0 0	20 20 37	0	3 0.5 0.5265625	-2.85543954800516e-10
0	0	0 0 0	20 20 38	0	3 0.5 0.528125	-1.33743649835538e-10
0	0	0 0 0	20 20 39	0	3 0.5 0.5296875	3.23581290288463e-06
0	0	0 0 0	20 20 40	0	3 0.5 0.53125	3.23581290288463e-06


