# 1D ASCII output created by CarpetIOASCII
# created on 127.0.0.1ip-172-30-0-219 by admin on Aug 15 2016 at 01:26:09+0000
# parameter filename: "/home/admin/simulations/ONE_BH/1BH_Boosted/1BH_P0.75_convergence/1bh_p0.75_dx0.003125_near_convergence/twopunfar_1bh_p0.75_dx0.003125_near_convergence_20.par"
#
# ADMCONSTRAINTS::HAMILTONIAN x (admconstraints-hamiltonian)
#
# iteration 0   time 0
# time level 0
# refinement level 0   multigrid level 0   map 0   component 0
# column format: 1:it	2:tl	3:rl 4:c 5:ml	6:ix 7:iy 8:iz	9:time	10:x 11:y 12:z	13:data
# data columns: 13:ham
0	0	0 0 0	0 20 20	0	4.9375 5 5	3.07531924715384e-08
0	0	0 0 0	1 20 20	0	4.940625 5 5	3.07531924715384e-08
0	0	0 0 0	2 20 20	0	4.94375 5 5	2.85218059276028e-08
0	0	0 0 0	3 20 20	0	4.946875 5 5	2.94293676824904e-08
0	0	0 0 0	4 20 20	0	4.95 5 5	2.87187256302877e-08
0	0	0 0 0	5 20 20	0	4.953125 5 5	2.92842901131749e-08
0	0	0 0 0	6 20 20	0	4.95625 5 5	2.90754420691187e-08
0	0	0 0 0	7 20 20	0	4.959375 5 5	2.84674011677172e-08
0	0	0 0 0	8 20 20	0	4.9625 5 5	2.84423576932345e-08
0	0	0 0 0	9 20 20	0	4.965625 5 5	2.87693295981896e-08
0	0	0 0 0	10 20 20	0	4.96875 5 5	2.8049816649863e-08
0	0	0 0 0	11 20 20	0	4.971875 5 5	2.89940860951862e-08
0	0	0 0 0	12 20 20	0	4.975 5 5	2.84757380344231e-08
0	0	0 0 0	13 20 20	0	4.978125 5 5	2.78509510956849e-08
0	0	0 0 0	14 20 20	0	4.98125 5 5	2.82430319547568e-08
0	0	0 0 0	15 20 20	0	4.984375 5 5	2.86733548610801e-08
0	0	0 0 0	16 20 20	0	4.9875 5 5	2.83497457328433e-08
0	0	0 0 0	17 20 20	0	4.990625 5 5	2.85824914113676e-08
0	0	0 0 0	18 20 20	0	4.99375 5 5	2.80186233140526e-08
0	0	0 0 0	19 20 20	0	4.996875 5 5	2.75013427528939e-08
0	0	0 0 0	20 20 20	0	5 5 5	2.85289318806151e-08
0	0	0 0 0	21 20 20	0	5.003125 5 5	2.84856554604886e-08
0	0	0 0 0	22 20 20	0	5.00625 5 5	2.75134395127941e-08
0	0	0 0 0	23 20 20	0	5.009375 5 5	2.81398498528154e-08
0	0	0 0 0	24 20 20	0	5.0125 5 5	2.85900803055888e-08
0	0	0 0 0	25 20 20	0	5.015625 5 5	2.73690456656275e-08
0	0	0 0 0	26 20 20	0	5.01875 5 5	2.747285366328e-08
0	0	0 0 0	27 20 20	0	5.021875 5 5	2.80150479418494e-08
0	0	0 0 0	28 20 20	0	5.025 5 5	2.78746278172112e-08
0	0	0 0 0	29 20 20	0	5.028125 5 5	2.80365505450685e-08
0	0	0 0 0	30 20 20	0	5.03125 5 5	2.70985173438511e-08
0	0	0 0 0	31 20 20	0	5.034375 5 5	2.74501965852434e-08
0	0	0 0 0	32 20 20	0	5.0375 5 5	2.80171933650928e-08
0	0	0 0 0	33 20 20	0	5.040625 5 5	2.71624886665021e-08
0	0	0 0 0	34 20 20	0	5.04375 5 5	2.74170656630298e-08
0	0	0 0 0	35 20 20	0	5.046875 5 5	2.72375945912368e-08
0	0	0 0 0	36 20 20	0	5.05 5 5	2.68602751442011e-08
0	0	0 0 0	37 20 20	0	5.053125 5 5	2.75523999930625e-08
0	0	0 0 0	38 20 20	0	5.05625 5 5	2.67388608901707e-08
0	0	0 0 0	39 20 20	0	5.059375 5 5	2.96151285204089e-08
0	0	0 0 0	40 20 20	0	5.0625 5 5	2.96151285204089e-08


