# 1D ASCII output created by CarpetIOASCII
# created on 127.0.0.1ip-172-30-0-219 by admin on Aug 15 2016 at 01:29:45+0000
# parameter filename: "/home/admin/simulations/ONE_BH/1BH_Boosted/1BH_P0.75_convergence/1bh_p0.75_dx0.003125_near_convergence/twopunfar_1bh_p0.75_dx0.003125_near_convergence_30.par"
#
# ADMCONSTRAINTS::HAMILTONIAN y (admconstraints-hamiltonian)
#
# iteration 0   time 0
# time level 0
# refinement level 0   multigrid level 0   map 0   component 0
# column format: 1:it	2:tl	3:rl 4:c 5:ml	6:ix 7:iy 8:iz	9:time	10:x 11:y 12:z	13:data
# data columns: 13:ham
0	0	0 0 0	20 0 20	0	5 4.9375 5	1.58837470582459e-09
0	0	0 0 0	20 1 20	0	5 4.940625 5	1.58837470582459e-09
0	0	0 0 0	20 2 20	0	5 4.94375 5	4.32033026487224e-10
0	0	0 0 0	20 3 20	0	5 4.946875 5	-3.58315648446616e-10
0	0	0 0 0	20 4 20	0	5 4.95 5	6.99134167225779e-10
0	0	0 0 0	20 5 20	0	5 4.953125 5	-6.83562113704995e-10
0	0	0 0 0	20 6 20	0	5 4.95625 5	5.26075951329035e-10
0	0	0 0 0	20 7 20	0	5 4.959375 5	-3.34210293256388e-10
0	0	0 0 0	20 8 20	0	5 4.9625 5	2.7792844260288e-10
0	0	0 0 0	20 9 20	0	5 4.965625 5	4.03171085628035e-10
0	0	0 0 0	20 10 20	0	5 4.96875 5	7.86861030054996e-10
0	0	0 0 0	20 11 20	0	5 4.971875 5	-3.45197997655066e-10
0	0	0 0 0	20 12 20	0	5 4.975 5	4.59130860446574e-10
0	0	0 0 0	20 13 20	0	5 4.978125 5	1.18845947460425e-10
0	0	0 0 0	20 14 20	0	5 4.98125 5	5.93535400840971e-10
0	0	0 0 0	20 15 20	0	5 4.984375 5	-1.25691069097905e-10
0	0	0 0 0	20 16 20	0	5 4.9875 5	3.88676587578319e-10
0	0	0 0 0	20 17 20	0	5 4.990625 5	-3.39961606825659e-10
0	0	0 0 0	20 18 20	0	5 4.99375 5	2.56974618857318e-10
0	0	0 0 0	20 19 20	0	5 4.996875 5	-2.98031551748765e-10
0	0	0 0 0	20 20 20	0	5 5 5	1.90634534227201e-10
0	0	0 0 0	20 21 20	0	5 5.003125 5	6.4720834982014e-10
0	0	0 0 0	20 22 20	0	5 5.00625 5	-6.13232876913068e-10
0	0	0 0 0	20 23 20	0	5 5.009375 5	5.70856059796919e-10
0	0	0 0 0	20 24 20	0	5 5.0125 5	3.63165400773776e-10
0	0	0 0 0	20 25 20	0	5 5.015625 5	7.21372785995617e-11
0	0	0 0 0	20 26 20	0	5 5.01875 5	-7.24525329705641e-10
0	0	0 0 0	20 27 20	0	5 5.021875 5	5.46984080316941e-10
0	0	0 0 0	20 28 20	0	5 5.025 5	-5.15079007603388e-10
0	0	0 0 0	20 29 20	0	5 5.028125 5	4.42877038400692e-10
0	0	0 0 0	20 30 20	0	5 5.03125 5	5.16446868316324e-10
0	0	0 0 0	20 31 20	0	5 5.034375 5	-2.49079176419453e-10
0	0	0 0 0	20 32 20	0	5 5.0375 5	1.94533098397259e-11
0	0	0 0 0	20 33 20	0	5 5.040625 5	-3.776040103428e-11
0	0	0 0 0	20 34 20	0	5 5.04375 5	3.75117046447345e-10
0	0	0 0 0	20 35 20	0	5 5.046875 5	-7.59220114484064e-10
0	0	0 0 0	20 36 20	0	5 5.05 5	1.10711278068342e-09
0	0	0 0 0	20 37 20	0	5 5.053125 5	-1.24067077412419e-10
0	0	0 0 0	20 38 20	0	5 5.05625 5	-9.17420613219186e-11
0	0	0 0 0	20 39 20	0	5 5.059375 5	2.02674266106852e-09
0	0	0 0 0	20 40 20	0	5 5.0625 5	2.02674266106852e-09


