# 1D ASCII output created by CarpetIOASCII
# created on 127.0.0.1ip-172-30-0-219 by admin on Aug 15 2016 at 01:44:36+0000
# parameter filename: "/home/admin/simulations/ONE_BH/1BH_Boosted/1BH_P0.75_convergence/1bh_p0.75_dx0.003125_near_convergence/twopunfar_1bh_p0.75_dx0.003125_near_convergence_40.par"
#
# ADMCONSTRAINTS::HAMILTONIAN z (admconstraints-hamiltonian)
#
# iteration 0   time 0
# time level 0
# refinement level 0   multigrid level 0   map 0   component 0
# column format: 1:it	2:tl	3:rl 4:c 5:ml	6:ix 7:iy 8:iz	9:time	10:x 11:y 12:z	13:data
# data columns: 13:ham
0	0	0 0 0	20 20 0	0	5 5 4.9375	1.41276893355084e-09
0	0	0 0 0	20 20 1	0	5 5 4.940625	1.41276893355084e-09
0	0	0 0 0	20 20 2	0	5 5 4.94375	3.37914819227309e-10
0	0	0 0 0	20 20 3	0	5 5 4.946875	-7.97507920975975e-11
0	0	0 0 0	20 20 4	0	5 5 4.95	4.18543350097413e-10
0	0	0 0 0	20 20 5	0	5 5 4.953125	-4.0490073796519e-10
0	0	0 0 0	20 20 6	0	5 5 4.95625	1.05504657202556e-10
0	0	0 0 0	20 20 7	0	5 5 4.959375	-9.41412648492812e-10
0	0	0 0 0	20 20 8	0	5 5 4.9625	6.50006393273974e-10
0	0	0 0 0	20 20 9	0	5 5 4.965625	-1.10980954786365e-10
0	0	0 0 0	20 20 10	0	5 5 4.96875	2.72565949357203e-10
0	0	0 0 0	20 20 11	0	5 5 4.971875	-1.95839823036777e-11
0	0	0 0 0	20 20 12	0	5 5 4.975	8.46605905497309e-11
0	0	0 0 0	20 20 13	0	5 5 4.978125	-4.89150629614903e-10
0	0	0 0 0	20 20 14	0	5 5 4.98125	4.99041571846819e-10
0	0	0 0 0	20 20 15	0	5 5 4.984375	-2.20192771839284e-10
0	0	0 0 0	20 20 16	0	5 5 4.9875	2.47407159619266e-10
0	0	0 0 0	20 20 17	0	5 5 4.990625	1.26150248585958e-10
0	0	0 0 0	20 20 18	0	5 5 4.99375	-3.04960559761739e-10
0	0	0 0 0	20 20 19	0	5 5 4.996875	2.14982348356639e-10
0	0	0 0 0	20 20 20	0	5 5 5	2.83013266386698e-10
0	0	0 0 0	20 20 21	0	5 5 5.003125	-1.48927893807308e-10
0	0	0 0 0	20 20 22	0	5 5 5.00625	-7.54771821729954e-10
0	0	0 0 0	20 20 23	0	5 5 5.009375	4.76091714608686e-10
0	0	0 0 0	20 20 24	0	5 5 5.0125	1.74774779148961e-10
0	0	0 0 0	20 20 25	0	5 5 5.015625	2.58106762118836e-10
0	0	0 0 0	20 20 26	0	5 5 5.01875	-5.85341915345858e-10
0	0	0 0 0	20 20 27	0	5 5 5.021875	4.98904881979494e-10
0	0	0 0 0	20 20 28	0	5 5 5.025	-4.69524469380155e-10
0	0	0 0 0	20 20 29	0	5 5 5.028125	2.00270006741471e-11
0	0	0 0 0	20 20 30	0	5 5 5.03125	2.34052253164467e-10
0	0	0 0 0	20 20 31	0	5 5 5.034375	-6.7212406869516e-10
0	0	0 0 0	20 20 32	0	5 5 5.0375	5.80522768853405e-10
0	0	0 0 0	20 20 33	0	5 5 5.040625	2.89042232775325e-10
0	0	0 0 0	20 20 34	0	5 5 5.04375	9.24416216859826e-11
0	0	0 0 0	20 20 35	0	5 5 5.046875	-8.07495512350574e-10
0	0	0 0 0	20 20 36	0	5 5 5.05	1.67605395816513e-10
0	0	0 0 0	20 20 37	0	5 5 5.053125	-1.72405098335625e-10
0	0	0 0 0	20 20 38	0	5 5 5.05625	-2.33947104066488e-10
0	0	0 0 0	20 20 39	0	5 5 5.059375	2.06049638354182e-09
0	0	0 0 0	20 20 40	0	5 5 5.0625	2.06049638354182e-09


