# 1D ASCII output created by CarpetIOASCII
# created on 127.0.0.1ip-172-30-0-219 by admin on Aug 15 2016 at 00:22:22+0000
# parameter filename: "/home/admin/simulations/ONE_BH/1BH_Boosted/1BH_P0.75_convergence/1bh_p0.75_dx0.003125_near_convergence/twopunnear_1bh_p0.75_dx0.003125_near_convergence_50.par"
#
# ADMCONSTRAINTS::HAMILTONIAN x (admconstraints-hamiltonian)
#
# iteration 0   time 0
# time level 0
# refinement level 0   multigrid level 0   map 0   component 0
# column format: 1:it	2:tl	3:rl 4:c 5:ml	6:ix 7:iy 8:iz	9:time	10:x 11:y 12:z	13:data
# data columns: 13:ham
0	0	0 0 0	0 20 20	0	2.96875 0.5 0.5	2.93010914644617e-06
0	0	0 0 0	1 20 20	0	2.9703125 0.5 0.5	2.93010914644617e-06
0	0	0 0 0	2 20 20	0	2.971875 0.5 0.5	1.6336265569461e-09
0	0	0 0 0	3 20 20	0	2.9734375 0.5 0.5	1.22521968265454e-09
0	0	0 0 0	4 20 20	0	2.975 0.5 0.5	1.45286725705684e-09
0	0	0 0 0	5 20 20	0	2.9765625 0.5 0.5	1.66553114789442e-09
0	0	0 0 0	6 20 20	0	2.978125 0.5 0.5	2.00080672689562e-09
0	0	0 0 0	7 20 20	0	2.9796875 0.5 0.5	1.32487270373266e-09
0	0	0 0 0	8 20 20	0	2.98125 0.5 0.5	1.70271618766399e-09
0	0	0 0 0	9 20 20	0	2.9828125 0.5 0.5	1.25743849967858e-09
0	0	0 0 0	10 20 20	0	2.984375 0.5 0.5	1.37917575450397e-09
0	0	0 0 0	11 20 20	0	2.9859375 0.5 0.5	1.14874109270052e-09
0	0	0 0 0	12 20 20	0	2.9875 0.5 0.5	1.26713332535e-09
0	0	0 0 0	13 20 20	0	2.9890625 0.5 0.5	9.75213335432934e-10
0	0	0 0 0	14 20 20	0	2.990625 0.5 0.5	1.26683434055475e-09
0	0	0 0 0	15 20 20	0	2.9921875 0.5 0.5	8.99925673911173e-10
0	0	0 0 0	16 20 20	0	2.99375 0.5 0.5	1.13970839970418e-09
0	0	0 0 0	17 20 20	0	2.9953125 0.5 0.5	8.00619993045204e-10
0	0	0 0 0	18 20 20	0	2.996875 0.5 0.5	6.47211644520806e-10
0	0	0 0 0	19 20 20	0	2.9984375 0.5 0.5	7.74158808239389e-10
0	0	0 0 0	20 20 20	0	3 0.5 0.5	5.45771085443125e-10
0	0	0 0 0	21 20 20	0	3.0015625 0.5 0.5	6.55418712358635e-10
0	0	0 0 0	22 20 20	0	3.003125 0.5 0.5	4.72178695448688e-10
0	0	0 0 0	23 20 20	0	3.0046875 0.5 0.5	5.09154701039405e-10
0	0	0 0 0	24 20 20	0	3.00625 0.5 0.5	6.1020419793445e-10
0	0	0 0 0	25 20 20	0	3.0078125 0.5 0.5	3.24488881944807e-10
0	0	0 0 0	26 20 20	0	3.009375 0.5 0.5	3.11513582290646e-10
0	0	0 0 0	27 20 20	0	3.0109375 0.5 0.5	3.70756485408574e-10
0	0	0 0 0	28 20 20	0	3.0125 0.5 0.5	3.16150351557798e-10
0	0	0 0 0	29 20 20	0	3.0140625 0.5 0.5	-2.46851705743012e-10
0	0	0 0 0	30 20 20	0	3.015625 0.5 0.5	1.53595886009938e-11
0	0	0 0 0	31 20 20	0	3.0171875 0.5 0.5	1.00209537716445e-10
0	0	0 0 0	32 20 20	0	3.01875 0.5 0.5	2.25588089007578e-10
0	0	0 0 0	33 20 20	0	3.0203125 0.5 0.5	-1.08862815463573e-10
0	0	0 0 0	34 20 20	0	3.021875 0.5 0.5	3.02532929263855e-11
0	0	0 0 0	35 20 20	0	3.0234375 0.5 0.5	-1.82291887314279e-10
0	0	0 0 0	36 20 20	0	3.025 0.5 0.5	-3.63846010612012e-10
0	0	0 0 0	37 20 20	0	3.0265625 0.5 0.5	-3.69315739448539e-10
0	0	0 0 0	38 20 20	0	3.028125 0.5 0.5	-3.23829735596193e-10
0	0	0 0 0	39 20 20	0	3.0296875 0.5 0.5	2.93009293130843e-06
0	0	0 0 0	40 20 20	0	3.03125 0.5 0.5	2.93009293130843e-06


