# 1D ASCII output created by CarpetIOASCII
# created on 127.0.0.1ip-172-30-0-219 by admin on Aug 15 2016 at 00:22:22+0000
# parameter filename: "/home/admin/simulations/ONE_BH/1BH_Boosted/1BH_P0.75_convergence/1bh_p0.75_dx0.003125_near_convergence/twopunnear_1bh_p0.75_dx0.003125_near_convergence_50.par"
#
# ADMCONSTRAINTS::HAMILTONIAN z (admconstraints-hamiltonian)
#
# iteration 0   time 0
# time level 0
# refinement level 0   multigrid level 0   map 0   component 0
# column format: 1:it	2:tl	3:rl 4:c 5:ml	6:ix 7:iy 8:iz	9:time	10:x 11:y 12:z	13:data
# data columns: 13:ham
0	0	0 0 0	20 20 0	0	3 0.5 0.46875	3.17680492814033e-06
0	0	0 0 0	20 20 1	0	3 0.5 0.4703125	3.17680492814033e-06
0	0	0 0 0	20 20 2	0	3 0.5 0.471875	1.62596705977763e-09
0	0	0 0 0	20 20 3	0	3 0.5 0.4734375	9.7671710302949e-10
0	0	0 0 0	20 20 4	0	3 0.5 0.475	1.47425152381003e-09
0	0	0 0 0	20 20 5	0	3 0.5 0.4765625	1.4080756682161e-09
0	0	0 0 0	20 20 6	0	3 0.5 0.478125	1.00474365459513e-09
0	0	0 0 0	20 20 7	0	3 0.5 0.4796875	1.46502764086787e-09
0	0	0 0 0	20 20 8	0	3 0.5 0.48125	1.08505817178473e-09
0	0	0 0 0	20 20 9	0	3 0.5 0.4828125	9.55577414939179e-10
0	0	0 0 0	20 20 10	0	3 0.5 0.484375	1.36043402411412e-09
0	0	0 0 0	20 20 11	0	3 0.5 0.4859375	1.25275910738826e-09
0	0	0 0 0	20 20 12	0	3 0.5 0.4875	9.90003700546138e-10
0	0	0 0 0	20 20 13	0	3 0.5 0.4890625	8.0673514656765e-10
0	0	0 0 0	20 20 14	0	3 0.5 0.490625	1.21174323526596e-09
0	0	0 0 0	20 20 15	0	3 0.5 0.4921875	6.81989614087497e-10
0	0	0 0 0	20 20 16	0	3 0.5 0.49375	1.24862051947838e-09
0	0	0 0 0	20 20 17	0	3 0.5 0.4953125	8.37920127380598e-10
0	0	0 0 0	20 20 18	0	3 0.5 0.496875	8.32786927959517e-10
0	0	0 0 0	20 20 19	0	3 0.5 0.4984375	4.4830844765642e-10
0	0	0 0 0	20 20 20	0	3 0.5 0.5	5.45771085443125e-10
0	0	0 0 0	20 20 21	0	3 0.5 0.5015625	9.15078239745182e-10
0	0	0 0 0	20 20 22	0	3 0.5 0.503125	6.8453817874542e-10
0	0	0 0 0	20 20 23	0	3 0.5 0.5046875	7.752029287586e-10
0	0	0 0 0	20 20 24	0	3 0.5 0.50625	2.17929575427322e-10
0	0	0 0 0	20 20 25	0	3 0.5 0.5078125	5.15633480357991e-10
0	0	0 0 0	20 20 26	0	3 0.5 0.509375	6.22164529097413e-10
0	0	0 0 0	20 20 27	0	3 0.5 0.5109375	5.55995203002646e-10
0	0	0 0 0	20 20 28	0	3 0.5 0.5125	2.51002101048226e-10
0	0	0 0 0	20 20 29	0	3 0.5 0.5140625	3.62732536715593e-10
0	0	0 0 0	20 20 30	0	3 0.5 0.515625	4.78017877017511e-10
0	0	0 0 0	20 20 31	0	3 0.5 0.5171875	3.95061867768109e-10
0	0	0 0 0	20 20 32	0	3 0.5 0.51875	-7.95352568527807e-11
0	0	0 0 0	20 20 33	0	3 0.5 0.5203125	2.25411725743307e-10
0	0	0 0 0	20 20 34	0	3 0.5 0.521875	-7.62533395801124e-11
0	0	0 0 0	20 20 35	0	3 0.5 0.5234375	2.69092569407658e-10
0	0	0 0 0	20 20 36	0	3 0.5 0.525	8.0173556162022e-11
0	0	0 0 0	20 20 37	0	3 0.5 0.5265625	-1.63781167447641e-10
0	0	0 0 0	20 20 38	0	3 0.5 0.528125	3.68169800202267e-11
0	0	0 0 0	20 20 39	0	3 0.5 0.5296875	2.57467860274169e-06
0	0	0 0 0	20 20 40	0	3 0.5 0.53125	2.57467860274169e-06


