# 1D ASCII output created by CarpetIOASCII
# created on 127.0.0.1ip-172-30-0-219 by admin on Aug 14 2016 at 08:52:21+0000
# parameter filename: "/home/admin/simulations/ONE_BH/1BH_Boosted/1BH_P0.75_convergence/1bh_p0.75_dx0.003125_near_convergence_mid_2_2.5/manybhfar_1bh_p0.75_dx0.003125_near_convergence_mid_2_2.5_12x13x17.par"
#
# ADMCONSTRAINTS::HAMILTONIAN y (admconstraints-hamiltonian)
#
# iteration 0   time 0
# time level 0
# refinement level 0   multigrid level 0   map 0   component 0
# column format: 1:it	2:tl	3:rl 4:c 5:ml	6:ix 7:iy 8:iz	9:time	10:x 11:y 12:z	13:data
# data columns: 13:ham
0	0	0 0 0	20 0 20	0	5 4.9375 5	1.56296514744253e-09
0	0	0 0 0	20 1 20	0	5 4.940625 5	1.56296514744253e-09
0	0	0 0 0	20 2 20	0	5 4.94375 5	1.01106507752668e-09
0	0	0 0 0	20 3 20	0	5 4.946875 5	-9.12770489942295e-10
0	0	0 0 0	20 4 20	0	5 4.95 5	8.73099944339456e-10
0	0	0 0 0	20 5 20	0	5 4.953125 5	-7.12483686740768e-10
0	0	0 0 0	20 6 20	0	5 4.95625 5	1.4564207180762e-10
0	0	0 0 0	20 7 20	0	5 4.959375 5	-2.21166924618127e-10
0	0	0 0 0	20 8 20	0	5 4.9625 5	2.72900188178719e-10
0	0	0 0 0	20 9 20	0	5 4.965625 5	2.34902684326591e-10
0	0	0 0 0	20 10 20	0	5 4.96875 5	-2.02432015919927e-11
0	0	0 0 0	20 11 20	0	5 4.971875 5	1.24097588758906e-11
0	0	0 0 0	20 12 20	0	5 4.975 5	2.68370741862006e-10
0	0	0 0 0	20 13 20	0	5 4.978125 5	1.7664272036191e-10
0	0	0 0 0	20 14 20	0	5 4.98125 5	8.75678544433323e-10
0	0	0 0 0	20 15 20	0	5 4.984375 5	4.64358728877699e-10
0	0	0 0 0	20 16 20	0	5 4.9875 5	5.24579051746667e-10
0	0	0 0 0	20 17 20	0	5 4.990625 5	-3.38699861072208e-10
0	0	0 0 0	20 18 20	0	5 4.99375 5	6.61168088485729e-10
0	0	0 0 0	20 19 20	0	5 4.996875 5	-4.05959646270198e-10
0	0	0 0 0	20 20 20	0	5 5 5	-1.19179344019484e-10
0	0	0 0 0	20 21 20	0	5 5.003125 5	-4.44658366984679e-10
0	0	0 0 0	20 22 20	0	5 5.00625 5	1.10950835107912e-11
0	0	0 0 0	20 23 20	0	5 5.009375 5	-2.11611041569301e-10
0	0	0 0 0	20 24 20	0	5 5.0125 5	4.08046406776344e-10
0	0	0 0 0	20 25 20	0	5 5.015625 5	-9.77857879847117e-11
0	0	0 0 0	20 26 20	0	5 5.01875 5	-1.44501636351047e-10
0	0	0 0 0	20 27 20	0	5 5.021875 5	-2.40937729674168e-10
0	0	0 0 0	20 28 20	0	5 5.025 5	-7.10673314359249e-11
0	0	0 0 0	20 29 20	0	5 5.028125 5	-1.44021370892568e-10
0	0	0 0 0	20 30 20	0	5 5.03125 5	4.2780800120967e-10
0	0	0 0 0	20 31 20	0	5 5.034375 5	5.55002755992656e-11
0	0	0 0 0	20 32 20	0	5 5.0375 5	-1.19322419295503e-10
0	0	0 0 0	20 33 20	0	5 5.040625 5	3.46912023142364e-10
0	0	0 0 0	20 34 20	0	5 5.04375 5	1.18653647345791e-10
0	0	0 0 0	20 35 20	0	5 5.046875 5	1.4755704731001e-10
0	0	0 0 0	20 36 20	0	5 5.05 5	-7.61398457303775e-11
0	0	0 0 0	20 37 20	0	5 5.053125 5	1.83198483509964e-11
0	0	0 0 0	20 38 20	0	5 5.05625 5	3.66140433076534e-10
0	0	0 0 0	20 39 20	0	5 5.059375 5	1.64990652590973e-09
0	0	0 0 0	20 40 20	0	5 5.0625 5	1.64990652590973e-09


