# 1D ASCII output created by CarpetIOASCII
# created on 127.0.0.1ip-172-30-0-219 by admin on Aug 14 2016 at 08:47:26+0000
# parameter filename: "/home/admin/simulations/ONE_BH/1BH_Boosted/1BH_P0.75_convergence/1bh_p0.75_dx0.003125_near_convergence_mid_2_2.5/manybhnear_1bh_p0.75_dx0.003125_near_convergence_mid_2_2.5_8x9x13.par"
#
# ADMCONSTRAINTS::HAMILTONIAN y (admconstraints-hamiltonian)
#
# iteration 0   time 0
# time level 0
# refinement level 0   multigrid level 0   map 0   component 0
# column format: 1:it	2:tl	3:rl 4:c 5:ml	6:ix 7:iy 8:iz	9:time	10:x 11:y 12:z	13:data
# data columns: 13:ham
0	0	0 0 0	20 0 20	0	3 0.46875 0.5	3.97786294498853e-06
0	0	0 0 0	20 1 20	0	3 0.4703125 0.5	3.97786294498853e-06
0	0	0 0 0	20 2 20	0	3 0.471875 0.5	-1.11511013964338e-10
0	0	0 0 0	20 3 20	0	3 0.4734375 0.5	-6.00216308946355e-10
0	0	0 0 0	20 4 20	0	3 0.475 0.5	-3.16260012969694e-10
0	0	0 0 0	20 5 20	0	3 0.4765625 0.5	-5.29062141318981e-10
0	0	0 0 0	20 6 20	0	3 0.478125 0.5	-9.22824462679106e-10
0	0	0 0 0	20 7 20	0	3 0.4796875 0.5	-3.2911250634482e-10
0	0	0 0 0	20 8 20	0	3 0.48125 0.5	-5.10581653345721e-10
0	0	0 0 0	20 9 20	0	3 0.4828125 0.5	-5.99949326329785e-10
0	0	0 0 0	20 10 20	0	3 0.484375 0.5	-3.49769081753326e-10
0	0	0 0 0	20 11 20	0	3 0.4859375 0.5	-2.26587091103903e-10
0	0	0 0 0	20 12 20	0	3 0.4875 0.5	-3.27255705173668e-10
0	0	0 0 0	20 13 20	0	3 0.4890625 0.5	-6.90437085976159e-10
0	0	0 0 0	20 14 20	0	3 0.490625 0.5	-3.08650978039782e-10
0	0	0 0 0	20 15 20	0	3 0.4921875 0.5	-3.51026098813212e-10
0	0	0 0 0	20 16 20	0	3 0.49375 0.5	3.17464804444612e-12
0	0	0 0 0	20 17 20	0	3 0.4953125 0.5	-1.27485445811093e-10
0	0	0 0 0	20 18 20	0	3 0.496875 0.5	-4.03477867436108e-10
0	0	0 0 0	20 19 20	0	3 0.4984375 0.5	-1.56397620548754e-10
0	0	0 0 0	20 20 20	0	3 0.5 0.5	-2.8638869227493e-10
0	0	0 0 0	20 21 20	0	3 0.5015625 0.5	-2.05744483949832e-10
0	0	0 0 0	20 22 20	0	3 0.503125 0.5	1.45531416778644e-10
0	0	0 0 0	20 23 20	0	3 0.5046875 0.5	1.09571039741407e-10
0	0	0 0 0	20 24 20	0	3 0.50625 0.5	-5.0870994049157e-10
0	0	0 0 0	20 25 20	0	3 0.5078125 0.5	1.24405447748943e-10
0	0	0 0 0	20 26 20	0	3 0.509375 0.5	-1.83932983427448e-10
0	0	0 0 0	20 27 20	0	3 0.5109375 0.5	2.86935536095156e-10
0	0	0 0 0	20 28 20	0	3 0.5125 0.5	-8.37265638764517e-11
0	0	0 0 0	20 29 20	0	3 0.5140625 0.5	9.68757261909925e-11
0	0	0 0 0	20 30 20	0	3 0.515625 0.5	2.36497583669393e-10
0	0	0 0 0	20 31 20	0	3 0.5171875 0.5	2.37203215402992e-10
0	0	0 0 0	20 32 20	0	3 0.51875 0.5	-2.25838854561733e-10
0	0	0 0 0	20 33 20	0	3 0.5203125 0.5	8.07236326394456e-11
0	0	0 0 0	20 34 20	0	3 0.521875 0.5	-1.89719438076219e-11
0	0	0 0 0	20 35 20	0	3 0.5234375 0.5	2.75216996761807e-10
0	0	0 0 0	20 36 20	0	3 0.525 0.5	-1.20725223221041e-10
0	0	0 0 0	20 37 20	0	3 0.5265625 0.5	8.34449696840434e-11
0	0	0 0 0	20 38 20	0	3 0.528125 0.5	1.06979905836746e-10
0	0	0 0 0	20 39 20	0	3 0.5296875 0.5	3.23605185595377e-06
0	0	0 0 0	20 40 20	0	3 0.53125 0.5	3.23605185595377e-06


