# 1D ASCII output created by CarpetIOASCII
# created on 127.0.0.1ip-172-30-0-219 by admin on Aug 14 2016 at 07:55:58+0000
# parameter filename: "/home/admin/simulations/ONE_BH/1BH_Boosted/1BH_P0.75_convergence/1bh_p0.75_dx0.0125_near_convergence/manybhfar_1bh_p0.75_dx0.0125_near_convergence_16x17x25.par"
#
# ADMCONSTRAINTS::HAMILTONIAN z (admconstraints-hamiltonian)
#
# iteration 0   time 0
# time level 0
# refinement level 0   multigrid level 0   map 0   component 0
# column format: 1:it	2:tl	3:rl 4:c 5:ml	6:ix 7:iy 8:iz	9:time	10:x 11:y 12:z	13:data
# data columns: 13:ham
0	0	0 0 0	20 20 0	0	5 5 4.9375	1.11280184546259e-09
0	0	0 0 0	20 20 1	0	5 5 4.940625	1.11280184546259e-09
0	0	0 0 0	20 20 2	0	5 5 4.94375	8.21492383720843e-10
0	0	0 0 0	20 20 3	0	5 5 4.946875	-4.70278244948594e-10
0	0	0 0 0	20 20 4	0	5 5 4.95	7.46681656663226e-10
0	0	0 0 0	20 20 5	0	5 5 4.953125	-4.59529171388095e-10
0	0	0 0 0	20 20 6	0	5 5 4.95625	-5.49996996242804e-10
0	0	0 0 0	20 20 7	0	5 5 4.959375	-9.4633489575429e-11
0	0	0 0 0	20 20 8	0	5 5 4.9625	2.0966262824192e-10
0	0	0 0 0	20 20 9	0	5 5 4.965625	4.88018770360144e-10
0	0	0 0 0	20 20 10	0	5 5 4.96875	4.86058365323054e-10
0	0	0 0 0	20 20 11	0	5 5 4.971875	-3.67357149203256e-10
0	0	0 0 0	20 20 12	0	5 5 4.975	-4.81459774392262e-11
0	0	0 0 0	20 20 13	0	5 5 4.978125	6.19899871560393e-10
0	0	0 0 0	20 20 14	0	5 5 4.98125	4.95742203798083e-10
0	0	0 0 0	20 20 15	0	5 5 4.984375	5.9107291489665e-10
0	0	0 0 0	20 20 16	0	5 5 4.9875	8.11453352428382e-11
0	0	0 0 0	20 20 17	0	5 5 4.990625	-5.92116393947646e-10
0	0	0 0 0	20 20 18	0	5 5 4.99375	6.61200406980398e-10
0	0	0 0 0	20 20 19	0	5 5 4.996875	-4.05932058529079e-10
0	0	0 0 0	20 20 20	0	5 5 5	-5.62927856455689e-10
0	0	0 0 0	20 20 21	0	5 5 5.003125	6.26201603591559e-11
0	0	0 0 0	20 20 22	0	5 5 5.00625	-4.32796523174971e-10
0	0	0 0 0	20 20 23	0	5 5 5.009375	6.12967379870315e-10
0	0	0 0 0	20 20 24	0	5 5 5.0125	1.54327941647835e-10
0	0	0 0 0	20 20 25	0	5 5 5.015625	-4.15020932225708e-10
0	0	0 0 0	20 20 26	0	5 5 5.01875	-2.07947329006804e-10
0	0	0 0 0	20 20 27	0	5 5 5.021875	1.2969447185044e-11
0	0	0 0 0	20 20 28	0	5 5 5.025	-1.34521161462668e-10
0	0	0 0 0	20 20 29	0	5 5 5.028125	-5.24951041295206e-10
0	0	0 0 0	20 20 30	0	5 5 5.03125	6.81856317230872e-10
0	0	0 0 0	20 20 31	0	5 5 5.034375	-7.06674569718718e-10
0	0	0 0 0	20 20 32	0	5 5 5.0375	7.70096354957631e-10
0	0	0 0 0	20 20 33	0	5 5 5.040625	-6.69670429677936e-10
0	0	0 0 0	20 20 34	0	5 5 5.04375	7.54161947518275e-10
0	0	0 0 0	20 20 35	0	5 5 5.046875	-3.60883042308142e-10
0	0	0 0 0	20 20 36	0	5 5 5.05	3.05310745652224e-10
0	0	0 0 0	20 20 37	0	5 5 5.053125	5.90588711182199e-10
0	0	0 0 0	20 20 38	0	5 5 5.05625	1.75385023019371e-10
0	0	0 0 0	20 20 39	0	5 5 5.059375	1.8646052912406e-09
0	0	0 0 0	20 20 40	0	5 5 5.0625	1.8646052912406e-09


