# 1D ASCII output created by CarpetIOASCII
# created on 127.0.0.1ip-172-30-0-219 by admin on Aug 14 2016 at 07:55:44+0000
# parameter filename: "/home/admin/simulations/ONE_BH/1BH_Boosted/1BH_P0.75_convergence/1bh_p0.75_dx0.0125_near_convergence/manybhfar_1bh_p0.75_dx0.0125_near_convergence_8x9x13.par"
#
# ADMCONSTRAINTS::HAMILTONIAN x (admconstraints-hamiltonian)
#
# iteration 0   time 0
# time level 0
# refinement level 0   multigrid level 0   map 0   component 0
# column format: 1:it	2:tl	3:rl 4:c 5:ml	6:ix 7:iy 8:iz	9:time	10:x 11:y 12:z	13:data
# data columns: 13:ham
0	0	0 0 0	0 20 20	0	4.9375 5 5	1.26753664248663e-09
0	0	0 0 0	1 20 20	0	4.940625 5 5	1.26753664248663e-09
0	0	0 0 0	2 20 20	0	4.94375 5 5	1.23350480220677e-11
0	0	0 0 0	3 20 20	0	4.946875 5 5	-3.45168419616914e-10
0	0	0 0 0	4 20 20	0	4.95 5 5	4.5777203100221e-11
0	0	0 0 0	5 20 20	0	4.953125 5 5	-7.75514748772854e-10
0	0	0 0 0	6 20 20	0	4.95625 5 5	6.13113128897311e-10
0	0	0 0 0	7 20 20	0	4.959375 5 5	-2.82623978473812e-10
0	0	0 0 0	8 20 20	0	4.9625 5 5	-3.5703376605016e-10
0	0	0 0 0	9 20 20	0	4.965625 5 5	-1.77673477276194e-10
0	0	0 0 0	10 20 20	0	4.96875 5 5	6.37928905880547e-10
0	0	0 0 0	11 20 20	0	4.971875 5 5	-3.78721249239683e-10
0	0	0 0 0	12 20 20	0	4.975 5 5	-8.1787107289585e-10
0	0	0 0 0	13 20 20	0	4.978125 5 5	-1.06762101654938e-10
0	0	0 0 0	14 20 20	0	4.98125 5 5	4.89724280333843e-10
0	0	0 0 0	15 20 20	0	4.984375 5 5	-6.7371147603832e-10
0	0	0 0 0	16 20 20	0	4.9875 5 5	-3.62908080648282e-10
0	0	0 0 0	17 20 20	0	4.990625 5 5	5.3745706051888e-10
0	0	0 0 0	18 20 20	0	4.99375 5 5	-5.68987206471788e-10
0	0	0 0 0	19 20 20	0	4.996875 5 5	-4.47406982718567e-10
0	0	0 0 0	20 20 20	0	5 5 5	-3.63113959744605e-10
0	0	0 0 0	21 20 20	0	5.003125 5 5	-1.23556749683992e-10
0	0	0 0 0	22 20 20	0	5.00625 5 5	-1.70193353984591e-10
0	0	0 0 0	23 20 20	0	5.009375 5 5	-5.0076430003522e-10
0	0	0 0 0	24 20 20	0	5.0125 5 5	5.35768802099098e-10
0	0	0 0 0	25 20 20	0	5.015625 5 5	-1.02051489492012e-10
0	0	0 0 0	26 20 20	0	5.01875 5 5	6.32029762022684e-10
0	0	0 0 0	27 20 20	0	5.021875 5 5	2.03595289227903e-10
0	0	0 0 0	28 20 20	0	5.025 5 5	-3.70367177573473e-10
0	0	0 0 0	29 20 20	0	5.028125 5 5	3.71403227508553e-10
0	0	0 0 0	30 20 20	0	5.03125 5 5	-4.86632252506489e-10
0	0	0 0 0	31 20 20	0	5.034375 5 5	-8.75380692412497e-11
0	0	0 0 0	32 20 20	0	5.0375 5 5	6.8300012385147e-10
0	0	0 0 0	33 20 20	0	5.040625 5 5	-1.09142721081571e-09
0	0	0 0 0	34 20 20	0	5.04375 5 5	-5.22846525026922e-10
0	0	0 0 0	35 20 20	0	5.046875 5 5	-5.91106454148754e-10
0	0	0 0 0	36 20 20	0	5.05 5 5	3.87795065157071e-11
0	0	0 0 0	37 20 20	0	5.053125 5 5	-6.617747621597e-10
0	0	0 0 0	38 20 20	0	5.05625 5 5	2.29080106988779e-10
0	0	0 0 0	39 20 20	0	5.059375 5 5	2.05218616487193e-09
0	0	0 0 0	40 20 20	0	5.0625 5 5	2.05218616487193e-09


