# 1D ASCII output created by CarpetIOASCII
# created on 127.0.0.1ip-172-30-0-219 by admin on Aug 14 2016 at 07:53:04+0000
# parameter filename: "/home/admin/simulations/ONE_BH/1BH_Boosted/1BH_P0.75_convergence/1bh_p0.75_dx0.0125_near_convergence/manybhmid_1bh_p0.75_dx0.0125_near_convergence_4x5x9.par"
#
# ADMCONSTRAINTS::HAMILTONIAN x (admconstraints-hamiltonian)
#
# iteration 0   time 0
# time level 0
# refinement level 0   multigrid level 0   map 0   component 0
# column format: 1:it	2:tl	3:rl 4:c 5:ml	6:ix 7:iy 8:iz	9:time	10:x 11:y 12:z	13:data
# data columns: 13:ham
0	0	0 0 0	0 4 4	0	-2 0 0	-7.05775167518866e-08
0	0	0 0 0	1 4 4	0	-1.996875 0 0	-7.05775167518866e-08
0	0	0 0 0	2 4 4	0	-1.99375 0 0	-3.8294391866301e-08
0	0	0 0 0	3 4 4	0	-1.990625 0 0	-3.53663247788967e-08
0	0	0 0 0	4 4 4	0	-1.9875 0 0	-3.25341084545828e-08
0	0	0 0 0	5 4 4	0	-1.984375 0 0	-2.98016008073478e-08
0	0	0 0 0	6 4 4	0	-1.98125 0 0	-2.73624128164368e-08
0	0	0 0 0	7 4 4	0	-1.978125 0 0	-2.43623034662521e-08
0	0	0 0 0	8 4 4	0	-1.975 0 0	-2.15650985437021e-08
0	0	0 0 0	9 4 4	0	-1.971875 0 0	-1.88768345629232e-08
0	0	0 0 0	10 4 4	0	-1.96875 0 0	-1.61079861684364e-08
0	0	0 0 0	11 4 4	0	-1.965625 0 0	-1.34011386640487e-08
0	0	0 0 0	12 4 4	0	-1.9625 0 0	-1.04234284276777e-08
0	0	0 0 0	13 4 4	0	-1.959375 0 0	-8.31226689562703e-09
0	0	0 0 0	14 4 4	0	-1.95625 0 0	-5.12062386286496e-09
0	0	0 0 0	15 4 4	0	-1.953125 0 0	-2.36381787407924e-09
0	0	0 0 0	16 4 4	0	-1.95 0 0	2.4640991113864e-10
0	0	0 0 0	17 4 4	0	-1.946875 0 0	2.85634840606341e-09
0	0	0 0 0	18 4 4	0	-1.94375 0 0	5.32878405637427e-09
0	0	0 0 0	19 4 4	0	-1.940625 0 0	8.56765923137881e-09
0	0	0 0 0	20 4 4	0	-1.9375 0 0	1.10657316287552e-08
0	0	0 0 0	21 4 4	0	-1.934375 0 0	1.34923251386525e-08
0	0	0 0 0	22 4 4	0	-1.93125 0 0	1.70823004391925e-08
0	0	0 0 0	23 4 4	0	-1.928125 0 0	1.94358959417114e-08
0	0	0 0 0	24 4 4	0	-1.925 0 0	2.23559208189887e-08
0	0	0 0 0	25 4 4	0	-1.921875 0 0	2.46257911341342e-08
0	0	0 0 0	26 4 4	0	-1.91875 0 0	2.74816091550001e-08
0	0	0 0 0	27 4 4	0	-1.915625 0 0	3.08392951119639e-08
0	0	0 0 0	28 4 4	0	-1.9125 0 0	3.23102705098756e-08
0	0	0 0 0	29 4 4	0	-1.909375 0 0	3.52960700293961e-08
0	0	0 0 0	30 4 4	0	-1.90625 0 0	3.78803937527324e-08
0	0	0 0 0	31 4 4	0	-1.903125 0 0	4.08764706367158e-08
0	0	0 0 0	32 4 4	0	-1.9 0 0	4.30776952195337e-08
0	0	0 0 0	33 4 4	0	-1.896875 0 0	4.55801216010972e-08
0	0	0 0 0	34 4 4	0	-1.89375 0 0	4.85401300646948e-08
0	0	0 0 0	35 4 4	0	-1.890625 0 0	5.08958080762921e-08
0	0	0 0 0	36 4 4	0	-1.8875 0 0	5.38370701075319e-08
0	0	0 0 0	37 4 4	0	-1.884375 0 0	5.57895184312082e-08
0	0	0 0 0	38 4 4	0	-1.88125 0 0	5.84118093173783e-08
0	0	0 0 0	39 4 4	0	-1.878125 0 0	6.14889001195919e-08
0	0	0 0 0	40 4 4	0	-1.875 0 0	6.41994100524131e-08
0	0	0 0 0	41 4 4	0	-1.871875 0 0	6.64252640899567e-08
0	0	0 0 0	42 4 4	0	-1.86875 0 0	6.89833139287492e-08
0	0	0 0 0	43 4 4	0	-1.865625 0 0	7.09626589486673e-08
0	0	0 0 0	44 4 4	0	-1.8625 0 0	7.28079048617665e-08
0	0	0 0 0	45 4 4	0	-1.859375 0 0	7.64084821234558e-08
0	0	0 0 0	46 4 4	0	-1.85625 0 0	7.89912860911166e-08
0	0	0 0 0	47 4 4	0	-1.853125 0 0	8.14690143445887e-08
0	0	0 0 0	48 4 4	0	-1.85 0 0	8.33567916345458e-08
0	0	0 0 0	49 4 4	0	-1.846875 0 0	8.57531550664536e-08
0	0	0 0 0	50 4 4	0	-1.84375 0 0	8.86857645671785e-08
0	0	0 0 0	51 4 4	0	-1.840625 0 0	9.07891644029955e-08
0	0	0 0 0	52 4 4	0	-1.8375 0 0	9.30235850029291e-08
0	0	0 0 0	53 4 4	0	-1.834375 0 0	9.45379567112575e-08
0	0	0 0 0	54 4 4	0	-1.83125 0 0	9.78700454628764e-08
0	0	0 0 0	55 4 4	0	-1.828125 0 0	9.92941156532055e-08
0	0	0 0 0	56 4 4	0	-1.825 0 0	1.01673246483049e-07
0	0	0 0 0	57 4 4	0	-1.821875 0 0	1.03928571903826e-07
0	0	0 0 0	58 4 4	0	-1.81875 0 0	1.06419200923691e-07
0	0	0 0 0	59 4 4	0	-1.815625 0 0	1.07746724024686e-07
0	0	0 0 0	60 4 4	0	-1.8125 0 0	1.10677358249565e-07
0	0	0 0 0	61 4 4	0	-1.809375 0 0	1.12473577693149e-07
0	0	0 0 0	62 4 4	0	-1.80625 0 0	1.14699623062885e-07
0	0	0 0 0	63 4 4	0	-1.803125 0 0	1.16101607296453e-07
0	0	0 0 0	64 4 4	0	-1.8 0 0	1.18289297600972e-07
0	0	0 0 0	65 4 4	0	-1.796875 0 0	1.20749009154767e-07
0	0	0 0 0	66 4 4	0	-1.79375 0 0	1.21909463434745e-07
0	0	0 0 0	67 4 4	0	-1.790625 0 0	1.24808600160571e-07
0	0	0 0 0	68 4 4	0	-1.7875 0 0	1.26311276957367e-07
0	0	0 0 0	69 4 4	0	-1.784375 0 0	1.27522278818223e-07
0	0	0 0 0	70 4 4	0	-1.78125 0 0	1.30417933912833e-07
0	0	0 0 0	71 4 4	0	-1.778125 0 0	1.30814543278842e-07
0	0	0 0 0	72 4 4	0	-1.775 0 0	1.32942066892721e-07
0	0	0 0 0	73 4 4	0	-1.771875 0 0	1.35055337528028e-07
0	0	0 0 0	74 4 4	0	-1.76875 0 0	1.36056566116347e-07
0	0	0 0 0	75 4 4	0	-1.765625 0 0	1.38060131357146e-07
0	0	0 0 0	76 4 4	0	-1.7625 0 0	1.39740218519854e-07
0	0	0 0 0	77 4 4	0	-1.759375 0 0	1.41194682034326e-07
0	0	0 0 0	78 4 4	0	-1.75625 0 0	1.42155927779219e-07
0	0	0 0 0	79 4 4	0	-1.753125 0 0	1.44781750278326e-07
0	0	0 0 0	80 4 4	0	-1.75 0 0	1.45786620137089e-07
0	0	0 0 0	81 4 4	0	-1.746875 0 0	1.46918727606058e-07
0	0	0 0 0	82 4 4	0	-1.74375 0 0	1.48872937985947e-07
0	0	0 0 0	83 4 4	0	-1.740625 0 0	1.4969691155978e-07
0	0	0 0 0	84 4 4	0	-1.7375 0 0	1.50864204031664e-07
0	0	0 0 0	85 4 4	0	-1.734375 0 0	1.52250679450947e-07
0	0	0 0 0	86 4 4	0	-1.73125 0 0	1.5364224817101e-07
0	0	0 0 0	87 4 4	0	-1.728125 0 0	1.54735360701191e-07
0	0	0 0 0	88 4 4	0	-1.725 0 0	1.56547510739725e-07
0	0	0 0 0	89 4 4	0	-1.721875 0 0	1.57048243016981e-07
0	0	0 0 0	90 4 4	0	-1.71875 0 0	1.58484746342127e-07
0	0	0 0 0	91 4 4	0	-1.715625 0 0	1.59284643201814e-07
0	0	0 0 0	92 4 4	0	-1.7125 0 0	1.60830867049558e-07
0	0	0 0 0	93 4 4	0	-1.709375 0 0	1.60693253304072e-07
0	0	0 0 0	94 4 4	0	-1.70625 0 0	1.62297304874461e-07
0	0	0 0 0	95 4 4	0	-1.703125 0 0	1.6307999494607e-07
0	0	0 0 0	96 4 4	0	-1.7 0 0	1.64017823701262e-07
0	0	0 0 0	97 4 4	0	-1.696875 0 0	1.6427554785101e-07
0	0	0 0 0	98 4 4	0	-1.69375 0 0	1.65599312437238e-07
0	0	0 0 0	99 4 4	0	-1.690625 0 0	1.66431942131163e-07
0	0	0 0 0	100 4 4	0	-1.6875 0 0	1.67118665404028e-07
0	0	0 0 0	101 4 4	0	-1.684375 0 0	1.67914588874388e-07
0	0	0 0 0	102 4 4	0	-1.68125 0 0	1.67947108021919e-07
0	0	0 0 0	103 4 4	0	-1.678125 0 0	1.68962601240948e-07
0	0	0 0 0	104 4 4	0	-1.675 0 0	1.68918043658931e-07
0	0	0 0 0	105 4 4	0	-1.671875 0 0	1.69560458800847e-07
0	0	0 0 0	106 4 4	0	-1.66875 0 0	1.70202547342471e-07
0	0	0 0 0	107 4 4	0	-1.665625 0 0	1.70564790566603e-07
0	0	0 0 0	108 4 4	0	-1.6625 0 0	1.71178694005104e-07
0	0	0 0 0	109 4 4	0	-1.659375 0 0	1.71497048893996e-07
0	0	0 0 0	110 4 4	0	-1.65625 0 0	1.71334477919519e-07
0	0	0 0 0	111 4 4	0	-1.653125 0 0	1.71808763629617e-07
0	0	0 0 0	112 4 4	0	-1.65 0 0	1.71927693949636e-07
0	0	0 0 0	113 4 4	0	-1.646875 0 0	1.71330266583378e-07
0	0	0 0 0	114 4 4	0	-1.64375 0 0	1.72793866758461e-07
0	0	0 0 0	115 4 4	0	-1.640625 0 0	1.71432981807291e-07
0	0	0 0 0	116 4 4	0	-1.6375 0 0	1.73071102236525e-07
0	0	0 0 0	117 4 4	0	-1.634375 0 0	1.71621281682983e-07
0	0	0 0 0	118 4 4	0	-1.63125 0 0	1.7156205223438e-07
0	0	0 0 0	119 4 4	0	-1.628125 0 0	1.72269048674505e-07
0	0	0 0 0	120 4 4	0	-1.625 0 0	1.71245616394176e-07
0	0	0 0 0	121 4 4	0	-1.621875 0 0	1.71178256408097e-07
0	0	0 0 0	122 4 4	0	-1.61875 0 0	1.70734729236944e-07
0	0	0 0 0	123 4 4	0	-1.615625 0 0	1.7161758205167e-07
0	0	0 0 0	124 4 4	0	-1.6125 0 0	1.70716236902978e-07
0	0	0 0 0	125 4 4	0	-1.609375 0 0	1.70270442937433e-07
0	0	0 0 0	126 4 4	0	-1.60625 0 0	1.69535005036751e-07
0	0	0 0 0	127 4 4	0	-1.603125 0 0	1.69279443064125e-07
0	0	0 0 0	128 4 4	0	-1.6 0 0	1.69250576222916e-07
0	0	0 0 0	129 4 4	0	-1.596875 0 0	1.68309040913563e-07
0	0	0 0 0	130 4 4	0	-1.59375 0 0	1.67050177428754e-07
