# 1D ASCII output created by CarpetIOASCII
# created on 127.0.0.1ip-172-30-0-219 by admin on Aug 14 2016 at 07:52:00+0000
# parameter filename: "/home/admin/simulations/ONE_BH/1BH_Boosted/1BH_P0.75_convergence/1bh_p0.75_dx0.0125_near_convergence/manybhnear_1bh_p0.75_dx0.0125_near_convergence_32x33x41.par"
#
# ADMCONSTRAINTS::HAMILTONIAN y (admconstraints-hamiltonian)
#
# iteration 0   time 0
# time level 0
# refinement level 0   multigrid level 0   map 0   component 0
# column format: 1:it	2:tl	3:rl 4:c 5:ml	6:ix 7:iy 8:iz	9:time	10:x 11:y 12:z	13:data
# data columns: 13:ham
0	0	0 0 0	20 0 20	0	3 0.46875 0.5	3.97838333107345e-06
0	0	0 0 0	20 1 20	0	3 0.4703125 0.5	3.97838333107345e-06
0	0	0 0 0	20 2 20	0	3 0.471875 0.5	1.14521435737314e-10
0	0	0 0 0	20 3 20	0	3 0.4734375 0.5	-4.2937110464325e-10
0	0	0 0 0	20 4 20	0	3 0.475 0.5	3.27250362225362e-11
0	0	0 0 0	20 5 20	0	3 0.4765625 0.5	7.84380997653766e-11
0	0	0 0 0	20 6 20	0	3 0.478125 0.5	-3.67903599945985e-10
0	0	0 0 0	20 7 20	0	3 0.4796875 0.5	1.46834610442736e-11
0	0	0 0 0	20 8 20	0	3 0.48125 0.5	-2.20825942601199e-10
0	0	0 0 0	20 9 20	0	3 0.4828125 0.5	-3.24319040373444e-10
0	0	0 0 0	20 10 20	0	3 0.484375 0.5	-7.9411251879824e-12
0	0	0 0 0	20 11 20	0	3 0.4859375 0.5	2.22695599808032e-10
0	0	0 0 0	20 12 20	0	3 0.4875 0.5	-1.74298108931992e-10
0	0	0 0 0	20 13 20	0	3 0.4890625 0.5	-5.10815317128488e-10
0	0	0 0 0	20 14 20	0	3 0.490625 0.5	6.25182614011344e-11
0	0	0 0 0	20 15 20	0	3 0.4921875 0.5	-1.15401087991129e-10
0	0	0 0 0	20 16 20	0	3 0.49375 0.5	-1.87957795161342e-10
0	0	0 0 0	20 17 20	0	3 0.4953125 0.5	1.65717443240121e-10
0	0	0 0 0	20 18 20	0	3 0.496875 0.5	1.70697003407105e-10
0	0	0 0 0	20 19 20	0	3 0.4984375 0.5	-1.80454444789757e-10
0	0	0 0 0	20 20 20	0	3 0.5 0.5	-1.5464072036786e-10
0	0	0 0 0	20 21 20	0	3 0.5015625 0.5	-4.35888512784199e-11
0	0	0 0 0	20 22 20	0	3 0.503125 0.5	2.53445169365318e-10
0	0	0 0 0	20 23 20	0	3 0.5046875 0.5	7.71789906289788e-11
0	0	0 0 0	20 24 20	0	3 0.50625 0.5	-3.3761634633811e-10
0	0	0 0 0	20 25 20	0	3 0.5078125 0.5	1.11668379404462e-10
0	0	0 0 0	20 26 20	0	3 0.509375 0.5	-7.76699919657897e-11
0	0	0 0 0	20 27 20	0	3 0.5109375 0.5	7.62647271723704e-11
0	0	0 0 0	20 28 20	0	3 0.5125 0.5	-2.18578110472434e-10
0	0	0 0 0	20 29 20	0	3 0.5140625 0.5	2.15784735566049e-10
0	0	0 0 0	20 30 20	0	3 0.515625 0.5	1.68079121801168e-10
0	0	0 0 0	20 31 20	0	3 0.5171875 0.5	2.02741946495055e-10
0	0	0 0 0	20 32 20	0	3 0.51875 0.5	-5.39832924889572e-10
0	0	0 0 0	20 33 20	0	3 0.5203125 0.5	-6.41946999030418e-11
0	0	0 0 0	20 34 20	0	3 0.521875 0.5	-1.74193820826063e-10
0	0	0 0 0	20 35 20	0	3 0.5234375 0.5	1.55540150204025e-10
0	0	0 0 0	20 36 20	0	3 0.525 0.5	-6.69132891456536e-11
0	0	0 0 0	20 37 20	0	3 0.5265625 0.5	-1.93384131624841e-10
0	0	0 0 0	20 38 20	0	3 0.528125 0.5	-1.33743668917496e-10
0	0	0 0 0	20 39 20	0	3 0.5296875 0.5	3.23581290288463e-06
0	0	0 0 0	20 40 20	0	3 0.53125 0.5	3.23581290288463e-06


