# 1D ASCII output created by CarpetIOASCII
# created on 127.0.0.1ip-172-30-0-219 by admin on Aug 17 2016 at 22:11:13+0000
# parameter filename: "/home/admin/simulations/ONE_BH/1BH_Boosted_AngularMomentum/1BH_P0.1_S0.1_convergence/1bh_p0.1_s0.1_convergence/manybhnear_1bh_p0.1_s0.1_convergence_24x25x33.par"
#
# ADMCONSTRAINTS::HAMILTONIAN y (admconstraints-hamiltonian)
#
# iteration 0   time 0
# time level 0
# refinement level 0   multigrid level 0   map 0   component 0
# column format: 1:it	2:tl	3:rl 4:c 5:ml	6:ix 7:iy 8:iz	9:time	10:x 11:y 12:z	13:data
# data columns: 13:ham
0	0	0 0 0	20 0 20	0	3 0.46875 0.5	4.62472735128592e-06
0	0	0 0 0	20 1 20	0	3 0.4703125 0.5	4.62472735128592e-06
0	0	0 0 0	20 2 20	0	3 0.471875 0.5	1.89113173905409e-10
0	0	0 0 0	20 3 20	0	3 0.4734375 0.5	-3.28598642219957e-10
0	0	0 0 0	20 4 20	0	3 0.475 0.5	5.35794863337768e-11
0	0	0 0 0	20 5 20	0	3 0.4765625 0.5	-3.80908878223896e-10
0	0	0 0 0	20 6 20	0	3 0.478125 0.5	-1.79100962793138e-10
0	0	0 0 0	20 7 20	0	3 0.4796875 0.5	3.60406331514906e-11
0	0	0 0 0	20 8 20	0	3 0.48125 0.5	-4.48654308149443e-11
0	0	0 0 0	20 9 20	0	3 0.4828125 0.5	-2.0157364276005e-10
0	0	0 0 0	20 10 20	0	3 0.484375 0.5	-6.28572333072341e-11
0	0	0 0 0	20 11 20	0	3 0.4859375 0.5	1.93463108380532e-10
0	0	0 0 0	20 12 20	0	3 0.4875 0.5	3.40451842065215e-11
0	0	0 0 0	20 13 20	0	3 0.4890625 0.5	-3.64399450718256e-10
0	0	0 0 0	20 14 20	0	3 0.490625 0.5	-4.28839173373385e-11
0	0	0 0 0	20 15 20	0	3 0.4921875 0.5	-1.80495734677932e-10
0	0	0 0 0	20 16 20	0	3 0.49375 0.5	4.94001454326431e-11
0	0	0 0 0	20 17 20	0	3 0.4953125 0.5	8.9023227158036e-11
0	0	0 0 0	20 18 20	0	3 0.496875 0.5	1.03289377485077e-10
0	0	0 0 0	20 19 20	0	3 0.4984375 0.5	-5.69784237153259e-11
0	0	0 0 0	20 20 20	0	3 0.5 0.5	-2.35721002612987e-10
0	0	0 0 0	20 21 20	0	3 0.5015625 0.5	-7.70092505389397e-11
0	0	0 0 0	20 22 20	0	3 0.503125 0.5	3.83833843181636e-10
0	0	0 0 0	20 23 20	0	3 0.5046875 0.5	-1.35198019012711e-10
0	0	0 0 0	20 24 20	0	3 0.50625 0.5	-5.03399090207718e-10
0	0	0 0 0	20 25 20	0	3 0.5078125 0.5	2.40423037381476e-11
0	0	0 0 0	20 26 20	0	3 0.509375 0.5	-2.4299774345482e-10
0	0	0 0 0	20 27 20	0	3 0.5109375 0.5	1.76780119189035e-10
0	0	0 0 0	20 28 20	0	3 0.5125 0.5	-2.60909523586844e-10
0	0	0 0 0	20 29 20	0	3 0.5140625 0.5	7.22863088831183e-11
0	0	0 0 0	20 30 20	0	3 0.515625 0.5	-1.44108075299243e-10
0	0	0 0 0	20 31 20	0	3 0.5171875 0.5	2.13361825603109e-10
0	0	0 0 0	20 32 20	0	3 0.51875 0.5	-6.51941872882589e-10
0	0	0 0 0	20 33 20	0	3 0.5203125 0.5	4.21643015641182e-12
0	0	0 0 0	20 34 20	0	3 0.521875 0.5	-3.96421564845262e-10
0	0	0 0 0	20 35 20	0	3 0.5234375 0.5	9.08671688240603e-11
0	0	0 0 0	20 36 20	0	3 0.525 0.5	7.67921663757942e-12
0	0	0 0 0	20 37 20	0	3 0.5265625 0.5	-7.13574082635005e-10
0	0	0 0 0	20 38 20	0	3 0.528125 0.5	-4.06269267359816e-11
0	0	0 0 0	20 39 20	0	3 0.5296875 0.5	3.75527240795495e-06
0	0	0 0 0	20 40 20	0	3 0.53125 0.5	3.75527240795495e-06


