# 1D ASCII output created by CarpetIOASCII
# created on 127.0.0.1ip-172-30-0-219 by admin on Aug 17 2016 at 22:18:56+0000
# parameter filename: "/home/admin/simulations/ONE_BH/1BH_Boosted_AngularMomentum/1BH_P0.1_S0.3_convergence/1bh_p0.1_s0.3_convergence/manybhfar_1bh_p0.1_s0.3_convergence_16x17x25.par"
#
# ADMCONSTRAINTS::HAMILTONIAN z (admconstraints-hamiltonian)
#
# iteration 0   time 0
# time level 0
# refinement level 0   multigrid level 0   map 0   component 0
# column format: 1:it	2:tl	3:rl 4:c 5:ml	6:ix 7:iy 8:iz	9:time	10:x 11:y 12:z	13:data
# data columns: 13:ham
0	0	0 0 0	20 20 0	0	5 5 4.9375	1.6271796511114e-09
0	0	0 0 0	20 20 1	0	5 5 4.940625	1.6271796511114e-09
0	0	0 0 0	20 20 2	0	5 5 4.94375	9.76347618235302e-10
0	0	0 0 0	20 20 3	0	5 5 4.946875	-9.78687008384727e-10
0	0	0 0 0	20 20 4	0	5 5 4.95	9.19102823254518e-10
0	0	0 0 0	20 20 5	0	5 5 4.953125	-1.10783260455908e-09
0	0	0 0 0	20 20 6	0	5 5 4.95625	4.35904893808476e-10
0	0	0 0 0	20 20 7	0	5 5 4.959375	1.32120787682039e-11
0	0	0 0 0	20 20 8	0	5 5 4.9625	6.36167516076055e-10
0	0	0 0 0	20 20 9	0	5 5 4.965625	-3.60656309443617e-10
0	0	0 0 0	20 20 10	0	5 5 4.96875	6.67059652310122e-10
0	0	0 0 0	20 20 11	0	5 5 4.971875	1.58603070455655e-12
0	0	0 0 0	20 20 12	0	5 5 4.975	-3.95332099877504e-10
0	0	0 0 0	20 20 13	0	5 5 4.978125	1.76525399339493e-10
0	0	0 0 0	20 20 14	0	5 5 4.98125	1.08465168839828e-09
0	0	0 0 0	20 20 15	0	5 5 4.984375	-5.84196506901252e-11
0	0	0 0 0	20 20 16	0	5 5 4.9875	1.84094723088013e-10
0	0	0 0 0	20 20 17	0	5 5 4.990625	5.64202142952052e-11
0	0	0 0 0	20 20 18	0	5 5 4.99375	-9.21628320535439e-11
0	0	0 0 0	20 20 19	0	5 5 4.996875	-2.63141171380854e-10
0	0	0 0 0	20 20 20	0	5 5 5	1.0383750958143e-10
0	0	0 0 0	20 20 21	0	5 5 5.003125	-8.18852275350342e-10
0	0	0 0 0	20 20 22	0	5 5 5.00625	-1.24298432298568e-11
0	0	0 0 0	20 20 23	0	5 5 5.009375	-7.73444844632323e-11
0	0	0 0 0	20 20 24	0	5 5 5.0125	3.85615430307184e-11
0	0	0 0 0	20 20 25	0	5 5 5.015625	5.26941040409864e-11
0	0	0 0 0	20 20 26	0	5 5 5.01875	-3.65151059058031e-11
0	0	0 0 0	20 20 27	0	5 5 5.021875	3.31803210137948e-10
0	0	0 0 0	20 20 28	0	5 5 5.025	-1.79709267578127e-10
0	0	0 0 0	20 20 29	0	5 5 5.028125	-9.60877399392904e-11
0	0	0 0 0	20 20 30	0	5 5 5.03125	5.8139101786857e-10
0	0	0 0 0	20 20 31	0	5 5 5.034375	-4.79742774436962e-11
0	0	0 0 0	20 20 32	0	5 5 5.0375	1.24414722366692e-10
0	0	0 0 0	20 20 33	0	5 5 5.040625	-9.88445931702342e-11
0	0	0 0 0	20 20 34	0	5 5 5.04375	1.95440972287935e-10
0	0	0 0 0	20 20 35	0	5 5 5.046875	4.42832144427984e-10
0	0	0 0 0	20 20 36	0	5 5 5.05	-4.14307206133456e-10
0	0	0 0 0	20 20 37	0	5 5 5.053125	3.68088540987551e-10
0	0	0 0 0	20 20 38	0	5 5 5.05625	4.6522525219876e-10
0	0	0 0 0	20 20 39	0	5 5 5.059375	1.54502118551679e-09
0	0	0 0 0	20 20 40	0	5 5 5.0625	1.54502118551679e-09


