# 1D ASCII output created by CarpetIOASCII
# created on 127.0.0.1ip-172-30-0-219 by admin on Aug 17 2016 at 22:23:18+0000
# parameter filename: "/home/admin/simulations/ONE_BH/1BH_Boosted_AngularMomentum/1BH_P0.1_S0.5_convergence/1bh_p0.1_s0.5_convergence/manybhfar_1bh_p0.1_s0.5_convergence_8x9x13.par"
#
# ADMCONSTRAINTS::HAMILTONIAN y (admconstraints-hamiltonian)
#
# iteration 0   time 0
# time level 0
# refinement level 0   multigrid level 0   map 0   component 0
# column format: 1:it	2:tl	3:rl 4:c 5:ml	6:ix 7:iy 8:iz	9:time	10:x 11:y 12:z	13:data
# data columns: 13:ham
0	0	0 0 0	20 0 20	0	5 4.9375 5	1.68221910077691e-09
0	0	0 0 0	20 1 20	0	5 4.940625 5	1.68221910077691e-09
0	0	0 0 0	20 2 20	0	5 4.94375 5	8.91286211996474e-10
0	0	0 0 0	20 3 20	0	5 4.946875 5	-9.11879769027843e-10
0	0	0 0 0	20 4 20	0	5 4.95 5	3.55305641089592e-10
0	0	0 0 0	20 5 20	0	5 4.953125 5	-4.2849253228868e-10
0	0	0 0 0	20 6 20	0	5 4.95625 5	-6.70708306229402e-10
0	0	0 0 0	20 7 20	0	5 4.959375 5	1.05451640170331e-10
0	0	0 0 0	20 8 20	0	5 4.9625 5	5.44228740984596e-11
0	0	0 0 0	20 9 20	0	5 4.965625 5	1.9903831215506e-10
0	0	0 0 0	20 10 20	0	5 4.96875 5	1.96144327423977e-10
0	0	0 0 0	20 11 20	0	5 4.971875 5	-7.07782387149444e-10
0	0	0 0 0	20 12 20	0	5 4.975 5	-2.58957611884642e-10
0	0	0 0 0	20 13 20	0	5 4.978125 5	2.42686862508726e-10
0	0	0 0 0	20 14 20	0	5 4.98125 5	5.90435126805673e-10
0	0	0 0 0	20 15 20	0	5 4.984375 5	4.40572390354531e-10
0	0	0 0 0	20 16 20	0	5 4.9875 5	6.48749705994508e-11
0	0	0 0 0	20 17 20	0	5 4.990625 5	-4.69975514072202e-10
0	0	0 0 0	20 18 20	0	5 4.99375 5	2.02837102115363e-10
0	0	0 0 0	20 19 20	0	5 4.996875 5	-1.07675807658835e-10
0	0	0 0 0	20 20 20	0	5 5 5	-1.03135713152029e-10
0	0	0 0 0	20 21 20	0	5 5.003125 5	-6.06516798969722e-10
0	0	0 0 0	20 22 20	0	5 5.00625 5	1.6045894247571e-10
0	0	0 0 0	20 23 20	0	5 5.009375 5	-4.0539275811323e-10
0	0	0 0 0	20 24 20	0	5 5.0125 5	4.33235872791636e-10
0	0	0 0 0	20 25 20	0	5 5.015625 5	-4.75708660472045e-10
0	0	0 0 0	20 26 20	0	5 5.01875 5	-1.88666055295775e-10
0	0	0 0 0	20 27 20	0	5 5.021875 5	-7.71590040598842e-11
0	0	0 0 0	20 28 20	0	5 5.025 5	-7.43942575864029e-11
0	0	0 0 0	20 29 20	0	5 5.028125 5	-1.82080761390948e-10
0	0	0 0 0	20 30 20	0	5 5.03125 5	2.83632155271879e-10
0	0	0 0 0	20 31 20	0	5 5.034375 5	1.86212728145918e-11
0	0	0 0 0	20 32 20	0	5 5.0375 5	1.18070191878285e-10
0	0	0 0 0	20 33 20	0	5 5.040625 5	-3.79724795782966e-10
0	0	0 0 0	20 34 20	0	5 5.04375 5	2.38274517985363e-10
0	0	0 0 0	20 35 20	0	5 5.046875 5	-3.6180849275589e-10
0	0	0 0 0	20 36 20	0	5 5.05 5	8.22574683437001e-11
0	0	0 0 0	20 37 20	0	5 5.053125 5	-1.46479658094569e-10
0	0	0 0 0	20 38 20	0	5 5.05625 5	3.91469264197518e-10
0	0	0 0 0	20 39 20	0	5 5.059375 5	1.68038079395691e-09
0	0	0 0 0	20 40 20	0	5 5.0625 5	1.68038079395691e-09


