# 1D ASCII output created by CarpetIOASCII
# created on 127.0.0.1ip-172-30-0-219 by admin on Aug 17 2016 at 22:18:01+0000
# parameter filename: "/home/admin/simulations/ONE_BH/1BH_Boosted_AngularMomentum/1BH_P0.1_S0.5_convergence/1bh_p0.1_s0.5_convergence/manybhnear_1bh_p0.1_s0.5_convergence_40x41x49.par"
#
# ADMCONSTRAINTS::HAMILTONIAN x (admconstraints-hamiltonian)
#
# iteration 0   time 0
# time level 0
# refinement level 0   multigrid level 0   map 0   component 0
# column format: 1:it	2:tl	3:rl 4:c 5:ml	6:ix 7:iy 8:iz	9:time	10:x 11:y 12:z	13:data
# data columns: 13:ham
0	0	0 0 0	0 20 20	0	2.96875 0.5 0.5	3.7587596616942e-06
0	0	0 0 0	1 20 20	0	2.9703125 0.5 0.5	3.7587596616942e-06
0	0	0 0 0	2 20 20	0	2.971875 0.5 0.5	-2.9886369767862e-10
0	0	0 0 0	3 20 20	0	2.9734375 0.5 0.5	-9.30203275517627e-11
0	0	0 0 0	4 20 20	0	2.975 0.5 0.5	-1.23902998971914e-10
0	0	0 0 0	5 20 20	0	2.9765625 0.5 0.5	1.9083771368722e-10
0	0	0 0 0	6 20 20	0	2.978125 0.5 0.5	-1.24415998337124e-10
0	0	0 0 0	7 20 20	0	2.9796875 0.5 0.5	-7.07552072487516e-12
0	0	0 0 0	8 20 20	0	2.98125 0.5 0.5	-1.54124706053249e-10
0	0	0 0 0	9 20 20	0	2.9828125 0.5 0.5	-2.29910673832379e-11
0	0	0 0 0	10 20 20	0	2.984375 0.5 0.5	-2.23795725007303e-10
0	0	0 0 0	11 20 20	0	2.9859375 0.5 0.5	1.31045660434204e-11
0	0	0 0 0	12 20 20	0	2.9875 0.5 0.5	-1.13506030963162e-10
0	0	0 0 0	13 20 20	0	2.9890625 0.5 0.5	3.64584418210967e-10
0	0	0 0 0	14 20 20	0	2.990625 0.5 0.5	-1.67299632480855e-10
0	0	0 0 0	15 20 20	0	2.9921875 0.5 0.5	-1.83948481446983e-10
0	0	0 0 0	16 20 20	0	2.99375 0.5 0.5	-1.15915402276734e-11
0	0	0 0 0	17 20 20	0	2.9953125 0.5 0.5	-3.75179477762888e-10
0	0	0 0 0	18 20 20	0	2.996875 0.5 0.5	8.12875461386753e-11
0	0	0 0 0	19 20 20	0	2.9984375 0.5 0.5	-1.9961267361257e-10
0	0	0 0 0	20 20 20	0	3 0.5 0.5	-1.80908989177997e-10
0	0	0 0 0	21 20 20	0	3.0015625 0.5 0.5	-1.99612666673676e-10
0	0	0 0 0	22 20 20	0	3.003125 0.5 0.5	8.12875461386753e-11
0	0	0 0 0	23 20 20	0	3.0046875 0.5 0.5	-3.75179477762888e-10
0	0	0 0 0	24 20 20	0	3.00625 0.5 0.5	-1.15915402276734e-11
0	0	0 0 0	25 20 20	0	3.0078125 0.5 0.5	-1.83948481446983e-10
0	0	0 0 0	26 20 20	0	3.009375 0.5 0.5	-1.67299632480855e-10
0	0	0 0 0	27 20 20	0	3.0109375 0.5 0.5	3.64584418210967e-10
0	0	0 0 0	28 20 20	0	3.0125 0.5 0.5	-1.13506030963162e-10
0	0	0 0 0	29 20 20	0	3.0140625 0.5 0.5	1.31045660434204e-11
0	0	0 0 0	30 20 20	0	3.015625 0.5 0.5	-2.23795725007303e-10
0	0	0 0 0	31 20 20	0	3.0171875 0.5 0.5	-2.29910673832379e-11
0	0	0 0 0	32 20 20	0	3.01875 0.5 0.5	-1.54124706053249e-10
0	0	0 0 0	33 20 20	0	3.0203125 0.5 0.5	-7.07551378598126e-12
0	0	0 0 0	34 20 20	0	3.021875 0.5 0.5	-1.2441599139823e-10
0	0	0 0 0	35 20 20	0	3.0234375 0.5 0.5	1.9083771368722e-10
0	0	0 0 0	36 20 20	0	3.025 0.5 0.5	-1.23902998971914e-10
0	0	0 0 0	37 20 20	0	3.0265625 0.5 0.5	-9.30203206128688e-11
0	0	0 0 0	38 20 20	0	3.028125 0.5 0.5	-2.9886369767862e-10
0	0	0 0 0	39 20 20	0	3.0296875 0.5 0.5	3.75875966170114e-06
0	0	0 0 0	40 20 20	0	3.03125 0.5 0.5	3.75875966170114e-06


