# 1D ASCII output created by CarpetIOASCII
# created on 127.0.0.1ip-172-30-0-219 by admin on Aug 17 2016 at 22:18:01+0000
# parameter filename: "/home/admin/simulations/ONE_BH/1BH_Boosted_AngularMomentum/1BH_P0.1_S0.5_convergence/1bh_p0.1_s0.5_convergence/manybhnear_1bh_p0.1_s0.5_convergence_40x41x49.par"
#
# ADMCONSTRAINTS::HAMILTONIAN z (admconstraints-hamiltonian)
#
# iteration 0   time 0
# time level 0
# refinement level 0   multigrid level 0   map 0   component 0
# column format: 1:it	2:tl	3:rl 4:c 5:ml	6:ix 7:iy 8:iz	9:time	10:x 11:y 12:z	13:data
# data columns: 13:ham
0	0	0 0 0	20 20 0	0	3 0.5 0.46875	4.06487234883707e-06
0	0	0 0 0	20 20 1	0	3 0.5 0.4703125	4.06487234883707e-06
0	0	0 0 0	20 20 2	0	3 0.5 0.471875	3.31197735903288e-10
0	0	0 0 0	20 20 3	0	3 0.5 0.4734375	-9.02575791883464e-11
0	0	0 0 0	20 20 4	0	3 0.5 0.475	5.74672809339205e-11
0	0	0 0 0	20 20 5	0	3 0.5 0.4765625	-1.65576316546456e-10
0	0	0 0 0	20 20 6	0	3 0.5 0.478125	-3.50219048206313e-10
0	0	0 0 0	20 20 7	0	3 0.5 0.4796875	-8.77256600695375e-13
0	0	0 0 0	20 20 8	0	3 0.5 0.48125	-8.65897492596801e-11
0	0	0 0 0	20 20 9	0	3 0.5 0.4828125	-2.1096592528469e-10
0	0	0 0 0	20 20 10	0	3 0.5 0.484375	-6.15042253238052e-11
0	0	0 0 0	20 20 11	0	3 0.5 0.4859375	2.26512295031789e-10
0	0	0 0 0	20 20 12	0	3 0.5 0.4875	-2.19630376385727e-10
0	0	0 0 0	20 20 13	0	3 0.5 0.4890625	-2.2680685107801e-10
0	0	0 0 0	20 20 14	0	3 0.5 0.490625	-2.38854630518759e-10
0	0	0 0 0	20 20 15	0	3 0.5 0.4921875	-7.03790567491147e-11
0	0	0 0 0	20 20 16	0	3 0.5 0.49375	-1.81400526544362e-10
0	0	0 0 0	20 20 17	0	3 0.5 0.4953125	3.65082179765164e-10
0	0	0 0 0	20 20 18	0	3 0.5 0.496875	1.03367800430298e-11
0	0	0 0 0	20 20 19	0	3 0.5 0.4984375	-2.6828443633331e-10
0	0	0 0 0	20 20 20	0	3 0.5 0.5	-1.80908989177997e-10
0	0	0 0 0	20 20 21	0	3 0.5 0.5015625	-5.91892992951593e-11
0	0	0 0 0	20 20 22	0	3 0.5 0.503125	2.87056663161867e-10
0	0	0 0 0	20 20 23	0	3 0.5 0.5046875	1.4762035344118e-10
0	0	0 0 0	20 20 24	0	3 0.5 0.50625	-4.18190961026799e-10
0	0	0 0 0	20 20 25	0	3 0.5 0.5078125	4.82450190908423e-11
0	0	0 0 0	20 20 26	0	3 0.5 0.509375	-2.8461095286092e-10
0	0	0 0 0	20 20 27	0	3 0.5 0.5109375	4.11059568328209e-10
0	0	0 0 0	20 20 28	0	3 0.5 0.5125	-4.42271580469722e-10
0	0	0 0 0	20 20 29	0	3 0.5 0.5140625	2.52439055770104e-10
0	0	0 0 0	20 20 30	0	3 0.5 0.515625	-6.87353507444755e-11
0	0	0 0 0	20 20 31	0	3 0.5 0.5171875	1.09127533398645e-10
0	0	0 0 0	20 20 32	0	3 0.5 0.51875	-2.53255527660201e-10
0	0	0 0 0	20 20 33	0	3 0.5 0.5203125	-2.17371148858447e-10
0	0	0 0 0	20 20 34	0	3 0.5 0.521875	-1.37411471090587e-10
0	0	0 0 0	20 20 35	0	3 0.5 0.5234375	-5.01148220144465e-11
0	0	0 0 0	20 20 36	0	3 0.5 0.525	-1.03223089797932e-10
0	0	0 0 0	20 20 37	0	3 0.5 0.5265625	-4.36507913148532e-10
0	0	0 0 0	20 20 38	0	3 0.5 0.528125	2.06174299854922e-10
0	0	0 0 0	20 20 39	0	3 0.5 0.5296875	3.31975946345209e-06
0	0	0 0 0	20 20 40	0	3 0.5 0.53125	3.31975946345209e-06


