# 1D ASCII output created by CarpetIOASCII
# created on 127.0.0.1ip-172-30-0-219 by admin on Aug 17 2016 at 22:26:26+0000
# parameter filename: "/home/admin/simulations/ONE_BH/1BH_Boosted_AngularMomentum/1BH_P0.1_S0.75_convergence/1bh_p0.1_s0.75_convergence/manybhfar_1bh_p0.1_s0.75_convergence_12x13x17.par"
#
# ADMCONSTRAINTS::HAMILTONIAN x (admconstraints-hamiltonian)
#
# iteration 0   time 0
# time level 0
# refinement level 0   multigrid level 0   map 0   component 0
# column format: 1:it	2:tl	3:rl 4:c 5:ml	6:ix 7:iy 8:iz	9:time	10:x 11:y 12:z	13:data
# data columns: 13:ham
0	0	0 0 0	0 20 20	0	4.9375 5 5	1.67635046808596e-09
0	0	0 0 0	1 20 20	0	4.940625 5 5	1.67635046808596e-09
0	0	0 0 0	2 20 20	0	4.94375 5 5	-3.63935940282981e-10
0	0	0 0 0	3 20 20	0	4.946875 5 5	4.24931185026664e-10
0	0	0 0 0	4 20 20	0	4.95 5 5	-5.69166562838785e-11
0	0	0 0 0	5 20 20	0	4.953125 5 5	-1.65073892861931e-10
0	0	0 0 0	6 20 20	0	4.95625 5 5	8.91120281067809e-10
0	0	0 0 0	7 20 20	0	4.959375 5 5	-2.36763524543858e-10
0	0	0 0 0	8 20 20	0	4.9625 5 5	1.25874977758775e-12
0	0	0 0 0	9 20 20	0	4.965625 5 5	-3.50799903380927e-11
0	0	0 0 0	10 20 20	0	4.96875 5 5	2.47765042457485e-10
0	0	0 0 0	11 20 20	0	4.971875 5 5	3.92033380747486e-10
0	0	0 0 0	12 20 20	0	4.975 5 5	5.57877495013705e-12
0	0	0 0 0	13 20 20	0	4.978125 5 5	-1.20714322476216e-10
0	0	0 0 0	14 20 20	0	4.98125 5 5	2.12574005036133e-10
0	0	0 0 0	15 20 20	0	4.984375 5 5	2.84654288625042e-10
0	0	0 0 0	16 20 20	0	4.9875 5 5	-4.94001394993468e-10
0	0	0 0 0	17 20 20	0	4.990625 5 5	7.0574750970847e-10
0	0	0 0 0	18 20 20	0	4.99375 5 5	-6.50347480865088e-10
0	0	0 0 0	19 20 20	0	4.996875 5 5	-5.49390857825893e-10
0	0	0 0 0	20 20 20	0	5 5 5	2.46429893770725e-11
0	0	0 0 0	21 20 20	0	5.003125 5 5	-4.39616663655985e-11
0	0	0 0 0	22 20 20	0	5.00625 5 5	-9.5354771679297e-11
0	0	0 0 0	23 20 20	0	5.009375 5 5	4.18294878715055e-12
0	0	0 0 0	24 20 20	0	5.0125 5 5	5.85807245133364e-10
0	0	0 0 0	25 20 20	0	5.015625 5 5	-3.87499255759586e-10
0	0	0 0 0	26 20 20	0	5.01875 5 5	1.03348440212253e-09
0	0	0 0 0	27 20 20	0	5.021875 5 5	1.80148015421929e-10
0	0	0 0 0	28 20 20	0	5.025 5 5	8.09500446343381e-11
0	0	0 0 0	29 20 20	0	5.028125 5 5	8.04033335123264e-10
0	0	0 0 0	30 20 20	0	5.03125 5 5	-1.48851613753799e-10
0	0	0 0 0	31 20 20	0	5.034375 5 5	-2.75035738026572e-10
0	0	0 0 0	32 20 20	0	5.0375 5 5	5.59501688597965e-10
0	0	0 0 0	33 20 20	0	5.040625 5 5	-6.04778470562179e-10
0	0	0 0 0	34 20 20	0	5.04375 5 5	5.18409074213222e-11
0	0	0 0 0	35 20 20	0	5.046875 5 5	-6.27943653624702e-10
0	0	0 0 0	36 20 20	0	5.05 5 5	3.86245937374096e-10
0	0	0 0 0	37 20 20	0	5.053125 5 5	1.34147313205358e-10
0	0	0 0 0	38 20 20	0	5.05625 5 5	3.29675379626604e-10
0	0	0 0 0	39 20 20	0	5.059375 5 5	1.99580413090192e-09
0	0	0 0 0	40 20 20	0	5.0625 5 5	1.99580413090192e-09


