# 1D ASCII output created by CarpetIOASCII
# created on 127.0.0.1ip-172-30-0-219 by admin on Aug 17 2016 at 22:22:35+0000
# parameter filename: "/home/admin/simulations/ONE_BH/1BH_Boosted_AngularMomentum/1BH_P0.1_S0.75_convergence/1bh_p0.1_s0.75_convergence/manybhmid_1bh_p0.1_s0.75_convergence_24x25x33.par"
#
# ADMCONSTRAINTS::HAMILTONIAN x (admconstraints-hamiltonian)
#
# iteration 0   time 0
# time level 0
# refinement level 0   multigrid level 0   map 0   component 0
# column format: 1:it	2:tl	3:rl 4:c 5:ml	6:ix 7:iy 8:iz	9:time	10:x 11:y 12:z	13:data
# data columns: 13:ham
0	0	0 0 0	0 4 4	0	-2 0 0	-3.15474768288932e-08
0	0	0 0 0	1 4 4	0	-1.996875 0 0	-3.15474768288932e-08
0	0	0 0 0	2 4 4	0	-1.99375 0 0	-4.280718840719e-10
0	0	0 0 0	3 4 4	0	-1.990625 0 0	2.67380690959146e-10
0	0	0 0 0	4 4 4	0	-1.9875 0 0	-5.45168056714557e-10
0	0	0 0 0	5 4 4	0	-1.984375 0 0	1.14529813787629e-10
0	0	0 0 0	6 4 4	0	-1.98125 0 0	-5.85490337351338e-10
0	0	0 0 0	7 4 4	0	-1.978125 0 0	8.36164806421484e-11
0	0	0 0 0	8 4 4	0	-1.975 0 0	-4.91006791703084e-12
0	0	0 0 0	9 4 4	0	-1.971875 0 0	-4.73079254549179e-10
0	0	0 0 0	10 4 4	0	-1.96875 0 0	-3.43265209910382e-10
0	0	0 0 0	11 4 4	0	-1.965625 0 0	-3.69047647733804e-11
0	0	0 0 0	12 4 4	0	-1.9625 0 0	1.26341089195061e-10
0	0	0 0 0	13 4 4	0	-1.959375 0 0	-2.18191924421306e-11
0	0	0 0 0	14 4 4	0	-1.95625 0 0	2.49023168656193e-10
0	0	0 0 0	15 4 4	0	-1.953125 0 0	-5.73252141021247e-10
0	0	0 0 0	16 4 4	0	-1.95 0 0	4.35453565872e-10
0	0	0 0 0	17 4 4	0	-1.946875 0 0	-8.23589807355356e-10
0	0	0 0 0	18 4 4	0	-1.94375 0 0	1.16779876201578e-10
0	0	0 0 0	19 4 4	0	-1.940625 0 0	8.81712560493568e-12
0	0	0 0 0	20 4 4	0	-1.9375 0 0	-2.62544281142405e-10
0	0	0 0 0	21 4 4	0	-1.934375 0 0	-2.60269342143289e-10
0	0	0 0 0	22 4 4	0	-1.93125 0 0	8.4991250576407e-10
0	0	0 0 0	23 4 4	0	-1.928125 0 0	7.75967992755456e-10
0	0	0 0 0	24 4 4	0	-1.925 0 0	-4.37380204489524e-10
0	0	0 0 0	25 4 4	0	-1.921875 0 0	8.03464183883997e-11
0	0	0 0 0	26 4 4	0	-1.91875 0 0	-5.51244178972345e-10
0	0	0 0 0	27 4 4	0	-1.915625 0 0	3.39641068328384e-10
0	0	0 0 0	28 4 4	0	-1.9125 0 0	2.24540851793368e-10
0	0	0 0 0	29 4 4	0	-1.909375 0 0	-5.538041027961e-11
0	0	0 0 0	30 4 4	0	-1.90625 0 0	-6.4820884491029e-10
0	0	0 0 0	31 4 4	0	-1.903125 0 0	2.84039932213162e-11
0	0	0 0 0	32 4 4	0	-1.9 0 0	-1.48509930712076e-10
0	0	0 0 0	33 4 4	0	-1.896875 0 0	-2.36556673921073e-10
0	0	0 0 0	34 4 4	0	-1.89375 0 0	3.6041694223565e-10
0	0	0 0 0	35 4 4	0	-1.890625 0 0	-6.20525817348109e-10
0	0	0 0 0	36 4 4	0	-1.8875 0 0	-1.64529565468171e-10
0	0	0 0 0	37 4 4	0	-1.884375 0 0	-3.86814793927213e-11
0	0	0 0 0	38 4 4	0	-1.88125 0 0	-8.55832896955525e-11
0	0	0 0 0	39 4 4	0	-1.878125 0 0	6.68812593740235e-13
0	0	0 0 0	40 4 4	0	-1.875 0 0	1.21459441908679e-09
0	0	0 0 0	41 4 4	0	-1.871875 0 0	-3.144365043811e-10
0	0	0 0 0	42 4 4	0	-1.86875 0 0	3.91979326614896e-10
0	0	0 0 0	43 4 4	0	-1.865625 0 0	-5.32051313068189e-10
0	0	0 0 0	44 4 4	0	-1.8625 0 0	-6.63715415974105e-10
0	0	0 0 0	45 4 4	0	-1.859375 0 0	-1.82861892620255e-10
0	0	0 0 0	46 4 4	0	-1.85625 0 0	-5.1623595589273e-11
0	0	0 0 0	47 4 4	0	-1.853125 0 0	5.34290853665973e-10
0	0	0 0 0	48 4 4	0	-1.85 0 0	4.6964780442459e-10
0	0	0 0 0	49 4 4	0	-1.846875 0 0	-4.66455131369948e-10
0	0	0 0 0	50 4 4	0	-1.84375 0 0	1.46945315412776e-10
0	0	0 0 0	51 4 4	0	-1.840625 0 0	-1.59830047471738e-10
0	0	0 0 0	52 4 4	0	-1.8375 0 0	-2.35590330704689e-10
0	0	0 0 0	53 4 4	0	-1.834375 0 0	1.42081563596114e-10
0	0	0 0 0	54 4 4	0	-1.83125 0 0	2.69500274635744e-10
0	0	0 0 0	55 4 4	0	-1.828125 0 0	2.25945079649053e-10
0	0	0 0 0	56 4 4	0	-1.825 0 0	-2.49213436250896e-10
0	0	0 0 0	57 4 4	0	-1.821875 0 0	5.33303133194696e-10
0	0	0 0 0	58 4 4	0	-1.81875 0 0	-1.20601645992946e-10
0	0	0 0 0	59 4 4	0	-1.815625 0 0	-6.64983617961758e-10
0	0	0 0 0	60 4 4	0	-1.8125 0 0	3.46493159725648e-10
0	0	0 0 0	61 4 4	0	-1.809375 0 0	-2.09607280005617e-10
0	0	0 0 0	62 4 4	0	-1.80625 0 0	1.36972127786012e-10
0	0	0 0 0	63 4 4	0	-1.803125 0 0	-7.59137868791061e-10
0	0	0 0 0	64 4 4	0	-1.8 0 0	1.53821806759603e-10
0	0	0 0 0	65 4 4	0	-1.796875 0 0	2.00646722801619e-10
0	0	0 0 0	66 4 4	0	-1.79375 0 0	-3.95929709102929e-11
0	0	0 0 0	67 4 4	0	-1.790625 0 0	-2.78433835422488e-10
0	0	0 0 0	68 4 4	0	-1.7875 0 0	4.99345060621186e-10
0	0	0 0 0	69 4 4	0	-1.784375 0 0	2.60317144549311e-10
0	0	0 0 0	70 4 4	0	-1.78125 0 0	7.96667911368422e-10
0	0	0 0 0	71 4 4	0	-1.778125 0 0	1.77100972016848e-10
0	0	0 0 0	72 4 4	0	-1.775 0 0	-4.32913260889844e-10
0	0	0 0 0	73 4 4	0	-1.771875 0 0	5.16736053401165e-10
0	0	0 0 0	74 4 4	0	-1.76875 0 0	-3.46273957871714e-10
0	0	0 0 0	75 4 4	0	-1.765625 0 0	-6.47735175961445e-10
0	0	0 0 0	76 4 4	0	-1.7625 0 0	3.92102932709874e-10
0	0	0 0 0	77 4 4	0	-1.759375 0 0	-8.29384206387125e-10
0	0	0 0 0	78 4 4	0	-1.75625 0 0	3.25108843858102e-10
0	0	0 0 0	79 4 4	0	-1.753125 0 0	1.73030403210778e-11
0	0	0 0 0	80 4 4	0	-1.75 0 0	-3.88254041750239e-10
0	0	0 0 0	81 4 4	0	-1.746875 0 0	2.78816938544739e-10
0	0	0 0 0	82 4 4	0	-1.74375 0 0	6.64458794246998e-11
0	0	0 0 0	83 4 4	0	-1.740625 0 0	4.08882212213791e-12
0	0	0 0 0	84 4 4	0	-1.7375 0 0	-8.46246184021612e-10
0	0	0 0 0	85 4 4	0	-1.734375 0 0	3.68248579267244e-10
0	0	0 0 0	86 4 4	0	-1.73125 0 0	-2.60290158431977e-10
0	0	0 0 0	87 4 4	0	-1.728125 0 0	1.22592302140897e-10
0	0	0 0 0	88 4 4	0	-1.725 0 0	3.46131751177161e-10
0	0	0 0 0	89 4 4	0	-1.721875 0 0	-8.51652980234617e-10
0	0	0 0 0	90 4 4	0	-1.71875 0 0	1.47246882913131e-10
0	0	0 0 0	91 4 4	0	-1.715625 0 0	6.95658035449148e-10
0	0	0 0 0	92 4 4	0	-1.7125 0 0	-2.70002497912273e-10
0	0	0 0 0	93 4 4	0	-1.709375 0 0	2.46360797877981e-10
0	0	0 0 0	94 4 4	0	-1.70625 0 0	-1.15486365065973e-09
0	0	0 0 0	95 4 4	0	-1.703125 0 0	1.91149011332867e-10
0	0	0 0 0	96 4 4	0	-1.7 0 0	-6.31999179823584e-11
0	0	0 0 0	97 4 4	0	-1.696875 0 0	-4.9306008666932e-10
0	0	0 0 0	98 4 4	0	-1.69375 0 0	-8.59790106407139e-12
0	0	0 0 0	99 4 4	0	-1.690625 0 0	1.96645338508268e-10
0	0	0 0 0	100 4 4	0	-1.6875 0 0	2.64262077511964e-10
0	0	0 0 0	101 4 4	0	-1.684375 0 0	4.55683265372566e-12
0	0	0 0 0	102 4 4	0	-1.68125 0 0	-2.00370479377324e-10
0	0	0 0 0	103 4 4	0	-1.678125 0 0	7.43747942925791e-10
0	0	0 0 0	104 4 4	0	-1.675 0 0	-6.68568272575373e-10
0	0	0 0 0	105 4 4	0	-1.671875 0 0	-3.04029570873869e-10
0	0	0 0 0	106 4 4	0	-1.66875 0 0	2.79542136617447e-10
0	0	0 0 0	107 4 4	0	-1.665625 0 0	-4.40612519614445e-11
0	0	0 0 0	108 4 4	0	-1.6625 0 0	2.04676229320654e-10
0	0	0 0 0	109 4 4	0	-1.659375 0 0	-3.80221725469494e-10
0	0	0 0 0	110 4 4	0	-1.65625 0 0	1.07459462308319e-10
0	0	0 0 0	111 4 4	0	-1.653125 0 0	-6.45995793207947e-11
0	0	0 0 0	112 4 4	0	-1.65 0 0	-2.16179714971135e-10
0	0	0 0 0	113 4 4	0	-1.646875 0 0	-4.21658628450622e-10
0	0	0 0 0	114 4 4	0	-1.64375 0 0	1.89138922812538e-10
0	0	0 0 0	115 4 4	0	-1.640625 0 0	1.30906105969214e-10
0	0	0 0 0	116 4 4	0	-1.6375 0 0	1.36103985883245e-10
0	0	0 0 0	117 4 4	0	-1.634375 0 0	-8.50451793989421e-10
0	0	0 0 0	118 4 4	0	-1.63125 0 0	4.45898146815668e-10
0	0	0 0 0	119 4 4	0	-1.628125 0 0	-4.59697641972258e-10
0	0	0 0 0	120 4 4	0	-1.625 0 0	2.25942381191818e-10
0	0	0 0 0	121 4 4	0	-1.621875 0 0	-7.13913723602265e-13
0	0	0 0 0	122 4 4	0	-1.61875 0 0	-3.985674475735e-10
0	0	0 0 0	123 4 4	0	-1.615625 0 0	-3.9307030408873e-11
0	0	0 0 0	124 4 4	0	-1.6125 0 0	-9.41335801896235e-12
0	0	0 0 0	125 4 4	0	-1.609375 0 0	5.75527185465801e-10
0	0	0 0 0	126 4 4	0	-1.60625 0 0	-9.5660665315727e-10
0	0	0 0 0	127 4 4	0	-1.603125 0 0	4.93273520432171e-10
0	0	0 0 0	128 4 4	0	-1.6 0 0	3.85925626200136e-10
0	0	0 0 0	129 4 4	0	-1.596875 0 0	-1.53057621467951e-10
0	0	0 0 0	130 4 4	0	-1.59375 0 0	-2.7926796636389e-10
0	0	0 0 0	131 4 4	0	-1.590625 0 0	-8.27837790112469e-10
0	0	0 0 0	132 4 4	0	-1.5875 0 0	3.07205278129627e-10
0	0	0 0 0	133 4 4	0	-1.584375 0 0	-1.76330883935546e-10
0	0	0 0 0	134 4 4	0	-1.58125 0 0	2.96721526960465e-10
0	0	0 0 0	135 4 4	0	-1.578125 0 0	4.80892843558386e-10
0	0	0 0 0	136 4 4	0	-1.575 0 0	-3.060305877662e-10
0	0	0 0 0	137 4 4	0	-1.571875 0 0	2.32046681579467e-10
0	0	0 0 0	138 4 4	0	-1.56875 0 0	-3.5070479117614e-10
0	0	0 0 0	139 4 4	0	-1.565625 0 0	-2.67427530654626e-10
0	0	0 0 0	140 4 4	0	-1.5625 0 0	-9.99752911072472e-11
0	0	0 0 0	141 4 4	0	-1.559375 0 0	-2.41210715220012e-10
0	0	0 0 0	142 4 4	0	-1.55625 0 0	4.01653658547779e-10
0	0	0 0 0	143 4 4	0	-1.553125 0 0	3.27351402197107e-10
0	0	0 0 0	144 4 4	0	-1.55 0 0	7.68553390145723e-11
0	0	0 0 0	145 4 4	0	-1.546875 0 0	6.54129520067845e-10
0	0	0 0 0	146 4 4	0	-1.54375 0 0	-5.42534751905811e-10
0	0	0 0 0	147 4 4	0	-1.540625 0 0	4.06878263571023e-10
0	0	0 0 0	148 4 4	0	-1.5375 0 0	-1.79524305848628e-11
0	0	0 0 0	149 4 4	0	-1.534375 0 0	1.1775550813034e-10
0	0	0 0 0	150 4 4	0	-1.53125 0 0	-3.43354142223772e-10
0	0	0 0 0	151 4 4	0	-1.528125 0 0	5.79716590961492e-10
0	0	0 0 0	152 4 4	0	-1.525 0 0	1.68012327249507e-10
0	0	0 0 0	153 4 4	0	-1.521875 0 0	-4.68670509505878e-10
0	0	0 0 0	154 4 4	0	-1.51875 0 0	-1.29349313635822e-10
0	0	0 0 0	155 4 4	0	-1.515625 0 0	1.33853752585481e-10
0	0	0 0 0	156 4 4	0	-1.5125 0 0	-8.32494770276922e-11
0	0	0 0 0	157 4 4	0	-1.509375 0 0	3.79025393847945e-10
0	0	0 0 0	158 4 4	0	-1.50625 0 0	-6.69311084867627e-10
0	0	0 0 0	159 4 4	0	-1.503125 0 0	-1.83973388579546e-10
0	0	0 0 0	160 4 4	0	-1.5 0 0	2.91854940781826e-10
0	0	0 0 0	161 4 4	0	-1.496875 0 0	-9.19163494096783e-11
0	0	0 0 0	162 4 4	0	-1.49375 0 0	1.06874490960157e-10
0	0	0 0 0	163 4 4	0	-1.490625 0 0	-1.4051995335287e-10
0	0	0 0 0	164 4 4	0	-1.4875 0 0	-1.21327206514441e-10
0	0	0 0 0	165 4 4	0	-1.484375 0 0	5.55545777566543e-11
0	0	0 0 0	166 4 4	0	-1.48125 0 0	1.46760671974541e-10
0	0	0 0 0	167 4 4	0	-1.478125 0 0	-8.81604071971583e-11
0	0	0 0 0	168 4 4	0	-1.475 0 0	2.98435659241677e-10
