# 1D ASCII output created by CarpetIOASCII
# created on 127.0.0.1ip-172-30-0-219 by admin on Aug 18 2016 at 05:04:32+0000
# parameter filename: "/home/admin/simulations/ONE_BH/1BH_Boosted_AngularMomentum/1BH_P0.1_S0.75_convergence/1bh_p0.1_s0.75_convergence/twopunfar_1bh_p0.1_s0.75_convergence_20.par"
#
# ADMCONSTRAINTS::HAMILTONIAN y (admconstraints-hamiltonian)
#
# iteration 0   time 0
# time level 0
# refinement level 0   multigrid level 0   map 0   component 0
# column format: 1:it	2:tl	3:rl 4:c 5:ml	6:ix 7:iy 8:iz	9:time	10:x 11:y 12:z	13:data
# data columns: 13:ham
0	0	0 0 0	20 0 20	0	5 4.9375 5	-2.39495467364662e-08
0	0	0 0 0	20 1 20	0	5 4.940625 5	-2.39495467364662e-08
0	0	0 0 0	20 2 20	0	5 4.94375 5	-2.46802991438395e-08
0	0	0 0 0	20 3 20	0	5 4.946875 5	-2.67824342918121e-08
0	0	0 0 0	20 4 20	0	5 4.95 5	-2.54085425079907e-08
0	0	0 0 0	20 5 20	0	5 4.953125 5	-2.64978096988679e-08
0	0	0 0 0	20 6 20	0	5 4.95625 5	-2.53474909101518e-08
0	0	0 0 0	20 7 20	0	5 4.959375 5	-2.62361483209934e-08
0	0	0 0 0	20 8 20	0	5 4.9625 5	-2.58853244902463e-08
0	0	0 0 0	20 9 20	0	5 4.965625 5	-2.52467221717936e-08
0	0	0 0 0	20 10 20	0	5 4.96875 5	-2.61290492872571e-08
0	0	0 0 0	20 11 20	0	5 4.971875 5	-2.5632237553388e-08
0	0	0 0 0	20 12 20	0	5 4.975 5	-2.55175143043125e-08
0	0	0 0 0	20 13 20	0	5 4.978125 5	-2.63100003335861e-08
0	0	0 0 0	20 14 20	0	5 4.98125 5	-2.48693455441759e-08
0	0	0 0 0	20 15 20	0	5 4.984375 5	-2.61953771501878e-08
0	0	0 0 0	20 16 20	0	5 4.9875 5	-2.58618153640481e-08
0	0	0 0 0	20 17 20	0	5 4.990625 5	-2.55837637453313e-08
0	0	0 0 0	20 18 20	0	5 4.99375 5	-2.6267911749754e-08
0	0	0 0 0	20 19 20	0	5 4.996875 5	-2.61528951918781e-08
0	0	0 0 0	20 20 20	0	5 5 5	-2.53348440831526e-08
0	0	0 0 0	20 21 20	0	5 5.003125 5	-2.53879093013132e-08
0	0	0 0 0	20 22 20	0	5 5.00625 5	-2.62186757777041e-08
0	0	0 0 0	20 23 20	0	5 5.009375 5	-2.56349046946015e-08
0	0	0 0 0	20 24 20	0	5 5.0125 5	-2.57360548048619e-08
0	0	0 0 0	20 25 20	0	5 5.015625 5	-2.54265229348271e-08
0	0	0 0 0	20 26 20	0	5 5.01875 5	-2.61390764522685e-08
0	0	0 0 0	20 27 20	0	5 5.021875 5	-2.55844550709088e-08
0	0	0 0 0	20 28 20	0	5 5.025 5	-2.60549400666929e-08
0	0	0 0 0	20 29 20	0	5 5.028125 5	-2.55945876553538e-08
0	0	0 0 0	20 30 20	0	5 5.03125 5	-2.56848740284209e-08
0	0	0 0 0	20 31 20	0	5 5.034375 5	-2.58975372453116e-08
0	0	0 0 0	20 32 20	0	5 5.0375 5	-2.59951054018754e-08
0	0	0 0 0	20 33 20	0	5 5.040625 5	-2.5261940404216e-08
0	0	0 0 0	20 34 20	0	5 5.04375 5	-2.55154418314497e-08
0	0	0 0 0	20 35 20	0	5 5.046875 5	-2.5896917057454e-08
0	0	0 0 0	20 36 20	0	5 5.05 5	-2.54992543497967e-08
0	0	0 0 0	20 37 20	0	5 5.053125 5	-2.57104478372725e-08
0	0	0 0 0	20 38 20	0	5 5.05625 5	-2.55276044610296e-08
0	0	0 0 0	20 39 20	0	5 5.059375 5	-2.39753273154148e-08
0	0	0 0 0	20 40 20	0	5 5.0625 5	-2.39753273154148e-08


