# 1D ASCII output created by CarpetIOASCII
# created on 127.0.0.1ip-172-30-0-219 by admin on Aug 18 2016 at 05:04:32+0000
# parameter filename: "/home/admin/simulations/ONE_BH/1BH_Boosted_AngularMomentum/1BH_P0.1_S0.75_convergence/1bh_p0.1_s0.75_convergence/twopunfar_1bh_p0.1_s0.75_convergence_20.par"
#
# ADMCONSTRAINTS::HAMILTONIAN z (admconstraints-hamiltonian)
#
# iteration 0   time 0
# time level 0
# refinement level 0   multigrid level 0   map 0   component 0
# column format: 1:it	2:tl	3:rl 4:c 5:ml	6:ix 7:iy 8:iz	9:time	10:x 11:y 12:z	13:data
# data columns: 13:ham
0	0	0 0 0	20 20 0	0	5 5 4.9375	-2.3949546736246e-08
0	0	0 0 0	20 20 1	0	5 5 4.940625	-2.3949546736246e-08
0	0	0 0 0	20 20 2	0	5 5 4.94375	-2.46802991441614e-08
0	0	0 0 0	20 20 3	0	5 5 4.946875	-2.67824342918189e-08
0	0	0 0 0	20 20 4	0	5 5 4.95	-2.54085425080957e-08
0	0	0 0 0	20 20 5	0	5 5 4.953125	-2.64978096988611e-08
0	0	0 0 0	20 20 6	0	5 5 4.95625	-2.53474909101518e-08
0	0	0 0 0	20 20 7	0	5 5 4.959375	-2.63787790005587e-08
0	0	0 0 0	20 20 8	0	5 5 4.9625	-2.58853244904632e-08
0	0	0 0 0	20 20 9	0	5 5 4.965625	-2.5246722171797e-08
0	0	0 0 0	20 20 10	0	5 5 4.96875	-2.61290492868302e-08
0	0	0 0 0	20 20 11	0	5 5 4.971875	-2.56322375531101e-08
0	0	0 0 0	20 20 12	0	5 5 4.975	-2.55175143043125e-08
0	0	0 0 0	20 20 13	0	5 5 4.978125	-2.64051931068464e-08
0	0	0 0 0	20 20 14	0	5 5 4.98125	-2.48693455441725e-08
0	0	0 0 0	20 20 15	0	5 5 4.984375	-2.61953771501844e-08
0	0	0 0 0	20 20 16	0	5 5 4.9875	-2.58618153642717e-08
0	0	0 0 0	20 20 17	0	5 5 4.990625	-2.55837637453313e-08
0	0	0 0 0	20 20 18	0	5 5 4.99375	-2.6267911749754e-08
0	0	0 0 0	20 20 19	0	5 5 4.996875	-2.61528951918849e-08
0	0	0 0 0	20 20 20	0	5 5 5	-2.53348440831526e-08
0	0	0 0 0	20 20 21	0	5 5 5.003125	-2.53879093020721e-08
0	0	0 0 0	20 20 22	0	5 5 5.00625	-2.62186757777041e-08
0	0	0 0 0	20 20 23	0	5 5 5.009375	-2.56349046946557e-08
0	0	0 0 0	20 20 24	0	5 5 5.0125	-2.57360548045908e-08
0	0	0 0 0	20 20 25	0	5 5 5.015625	-2.54265229348305e-08
0	0	0 0 0	20 20 26	0	5 5 5.01875	-2.61390764523702e-08
0	0	0 0 0	20 20 27	0	5 5 5.021875	-2.55844550709088e-08
0	0	0 0 0	20 20 28	0	5 5 5.025	-2.61981799787001e-08
0	0	0 0 0	20 20 29	0	5 5 5.028125	-2.55945876553504e-08
0	0	0 0 0	20 20 30	0	5 5 5.03125	-2.56848740284209e-08
0	0	0 0 0	20 20 31	0	5 5 5.034375	-2.58975372453116e-08
0	0	0 0 0	20 20 32	0	5 5 5.0375	-2.58039836175154e-08
0	0	0 0 0	20 20 33	0	5 5 5.040625	-2.52619404044328e-08
0	0	0 0 0	20 20 34	0	5 5 5.04375	-2.55154418314429e-08
0	0	0 0 0	20 20 35	0	5 5 5.046875	-2.58969170574506e-08
0	0	0 0 0	20 20 36	0	5 5 5.05	-2.54992543498001e-08
0	0	0 0 0	20 20 37	0	5 5 5.053125	-2.57104478372725e-08
0	0	0 0 0	20 20 38	0	5 5 5.05625	-2.55276044611923e-08
0	0	0 0 0	20 20 39	0	5 5 5.059375	-2.39753273154182e-08
0	0	0 0 0	20 20 40	0	5 5 5.0625	-2.39753273154182e-08


