# 1D ASCII output created by CarpetIOASCII
# created on 127.0.0.1ip-172-30-0-219 by admin on Aug 18 2016 at 08:57:37+0000
# parameter filename: "/home/admin/simulations/ONE_BH/1BH_Boosted_AngularMomentum/1BH_P0.1_S0.75_convergence/1bh_p0.1_s0.75_convergence/twopunfar_1bh_p0.1_s0.75_convergence_60.par"
#
# ADMCONSTRAINTS::HAMILTONIAN x (admconstraints-hamiltonian)
#
# iteration 0   time 0
# time level 0
# refinement level 0   multigrid level 0   map 0   component 0
# column format: 1:it	2:tl	3:rl 4:c 5:ml	6:ix 7:iy 8:iz	9:time	10:x 11:y 12:z	13:data
# data columns: 13:ham
0	0	0 0 0	0 20 20	0	4.9375 5 5	1.5376006997584e-09
0	0	0 0 0	1 20 20	0	4.940625 5 5	1.5376006997584e-09
0	0	0 0 0	2 20 20	0	4.94375 5 5	-5.19296105123507e-10
0	0	0 0 0	3 20 20	0	4.946875 5 5	5.69844286578273e-10
0	0	0 0 0	4 20 20	0	4.95 5 5	-2.47008232711997e-10
0	0	0 0 0	5 20 20	0	4.953125 5 5	-6.67710458863817e-11
0	0	0 0 0	6 20 20	0	4.95625 5 5	4.94698458311179e-10
0	0	0 0 0	7 20 20	0	4.959375 5 5	-3.68516313324011e-10
0	0	0 0 0	8 20 20	0	4.9625 5 5	-2.27801694378089e-10
0	0	0 0 0	9 20 20	0	4.965625 5 5	-3.24849147012368e-11
0	0	0 0 0	10 20 20	0	4.96875 5 5	2.67142495458632e-10
0	0	0 0 0	11 20 20	0	4.971875 5 5	-3.26470879464472e-10
0	0	0 0 0	12 20 20	0	4.975 5 5	-2.87952492586234e-10
0	0	0 0 0	13 20 20	0	4.978125 5 5	-1.38667495475293e-10
0	0	0 0 0	14 20 20	0	4.98125 5 5	-2.57494794990388e-10
0	0	0 0 0	15 20 20	0	4.984375 5 5	4.53239644247891e-10
0	0	0 0 0	16 20 20	0	4.9875 5 5	9.03404558395804e-11
0	0	0 0 0	17 20 20	0	4.990625 5 5	-2.96324418270404e-10
0	0	0 0 0	18 20 20	0	4.99375 5 5	-4.18629556997593e-10
0	0	0 0 0	19 20 20	0	4.996875 5 5	-3.21998192866213e-10
0	0	0 0 0	20 20 20	0	5 5 5	-4.22268415302711e-12
0	0	0 0 0	21 20 20	0	5.003125 5 5	1.07899066180558e-10
0	0	0 0 0	22 20 20	0	5.00625 5 5	2.07034106994145e-10
0	0	0 0 0	23 20 20	0	5.009375 5 5	2.00054417191678e-10
0	0	0 0 0	24 20 20	0	5.0125 5 5	6.13662069178292e-10
0	0	0 0 0	25 20 20	0	5.015625 5 5	-2.19390544766536e-10
0	0	0 0 0	26 20 20	0	5.01875 5 5	8.78454470386455e-11
0	0	0 0 0	27 20 20	0	5.021875 5 5	2.97460140595102e-10
0	0	0 0 0	28 20 20	0	5.025 5 5	7.74963906963893e-11
0	0	0 0 0	29 20 20	0	5.028125 5 5	9.09389154711766e-10
0	0	0 0 0	30 20 20	0	5.03125 5 5	-8.7956155889112e-10
0	0	0 0 0	31 20 20	0	5.034375 5 5	-2.759219304996e-10
0	0	0 0 0	32 20 20	0	5.0375 5 5	8.13741624251248e-10
0	0	0 0 0	33 20 20	0	5.040625 5 5	-3.30159429462272e-10
0	0	0 0 0	34 20 20	0	5.04375 5 5	7.35144032894795e-10
0	0	0 0 0	35 20 20	0	5.046875 5 5	-6.20479876073371e-10
0	0	0 0 0	36 20 20	0	5.05 5 5	-4.87597614533459e-11
0	0	0 0 0	37 20 20	0	5.053125 5 5	-5.56737479434752e-10
0	0	0 0 0	38 20 20	0	5.05625 5 5	4.37598843113982e-10
0	0	0 0 0	39 20 20	0	5.059375 5 5	2.33023982962734e-09
0	0	0 0 0	40 20 20	0	5.0625 5 5	2.33023982962734e-09


