# 1D ASCII output created by CarpetIOASCII
# created on 127.0.0.1ip-172-30-0-219 by admin on Aug 18 2016 at 02:01:42+0000
# parameter filename: "/home/admin/simulations/ONE_BH/1BH_Boosted_AngularMomentum/1BH_P0.1_S0.75_convergence/1bh_p0.1_s0.75_convergence/twopunmid_1bh_p0.1_s0.75_convergence_40.par"
#
# ADMCONSTRAINTS::HAMILTONIAN x (admconstraints-hamiltonian)
#
# iteration 0   time 0
# time level 0
# refinement level 0   multigrid level 0   map 0   component 0
# column format: 1:it	2:tl	3:rl 4:c 5:ml	6:ix 7:iy 8:iz	9:time	10:x 11:y 12:z	13:data
# data columns: 13:ham
0	0	0 0 0	0 4 4	0	-2 0 0	-1.3174085009696e-05
0	0	0 0 0	1 4 4	0	-1.996875 0 0	-1.3174085009696e-05
0	0	0 0 0	2 4 4	0	-1.99375 0 0	2.73694191610812e-08
0	0	0 0 0	3 4 4	0	-1.990625 0 0	2.7432236122054e-08
0	0	0 0 0	4 4 4	0	-1.9875 0 0	2.69396061786921e-08
0	0	0 0 0	5 4 4	0	-1.984375 0 0	2.6841375761777e-08
0	0	0 0 0	6 4 4	0	-1.98125 0 0	2.65279930757994e-08
0	0	0 0 0	7 4 4	0	-1.978125 0 0	2.62638769848849e-08
0	0	0 0 0	8 4 4	0	-1.975 0 0	2.61141728986757e-08
0	0	0 0 0	9 4 4	0	-1.971875 0 0	2.58076596481943e-08
0	0	0 0 0	10 4 4	0	-1.96875 0 0	2.54924499784661e-08
0	0	0 0 0	11 4 4	0	-1.965625 0 0	2.52728145135757e-08
0	0	0 0 0	12 4 4	0	-1.9625 0 0	2.49527547562235e-08
0	0	0 0 0	13 4 4	0	-1.959375 0 0	2.46715405894801e-08
0	0	0 0 0	14 4 4	0	-1.95625 0 0	2.43670522711585e-08
0	0	0 0 0	15 4 4	0	-1.953125 0 0	2.42471346851129e-08
0	0	0 0 0	16 4 4	0	-1.95 0 0	2.38243508374755e-08
0	0	0 0 0	17 4 4	0	-1.946875 0 0	2.34610231082855e-08
0	0	0 0 0	18 4 4	0	-1.94375 0 0	2.32015812940915e-08
0	0	0 0 0	19 4 4	0	-1.940625 0 0	2.30224119057974e-08
0	0	0 0 0	20 4 4	0	-1.9375 0 0	2.27045679801383e-08
0	0	0 0 0	21 4 4	0	-1.934375 0 0	2.2461850309312e-08
0	0	0 0 0	22 4 4	0	-1.93125 0 0	2.21484897679028e-08
0	0	0 0 0	23 4 4	0	-1.928125 0 0	2.16517363402986e-08
0	0	0 0 0	24 4 4	0	-1.925 0 0	2.13985837032476e-08
0	0	0 0 0	25 4 4	0	-1.921875 0 0	2.11788055639878e-08
0	0	0 0 0	26 4 4	0	-1.91875 0 0	2.06163541187687e-08
0	0	0 0 0	27 4 4	0	-1.915625 0 0	2.05365472600609e-08
0	0	0 0 0	28 4 4	0	-1.9125 0 0	2.01564000960178e-08
0	0	0 0 0	29 4 4	0	-1.909375 0 0	1.97023837761251e-08
0	0	0 0 0	30 4 4	0	-1.90625 0 0	1.94585123698739e-08
0	0	0 0 0	31 4 4	0	-1.903125 0 0	1.92268625069691e-08
0	0	0 0 0	32 4 4	0	-1.9 0 0	1.88395409046123e-08
0	0	0 0 0	33 4 4	0	-1.896875 0 0	1.8523821083346e-08
0	0	0 0 0	34 4 4	0	-1.89375 0 0	1.81384753387757e-08
0	0	0 0 0	35 4 4	0	-1.890625 0 0	1.77130196852056e-08
0	0	0 0 0	36 4 4	0	-1.8875 0 0	1.74029829454847e-08
0	0	0 0 0	37 4 4	0	-1.884375 0 0	1.71079993943492e-08
0	0	0 0 0	38 4 4	0	-1.88125 0 0	1.66096781095243e-08
0	0	0 0 0	39 4 4	0	-1.878125 0 0	1.63901259396291e-08
0	0	0 0 0	40 4 4	0	-1.875 0 0	1.61325866982452e-08
0	0	0 0 0	41 4 4	0	-1.871875 0 0	1.55728057848006e-08
0	0	0 0 0	42 4 4	0	-1.86875 0 0	1.53971500995172e-08
0	0	0 0 0	43 4 4	0	-1.865625 0 0	1.47673108224299e-08
0	0	0 0 0	44 4 4	0	-1.8625 0 0	1.44875682489134e-08
0	0	0 0 0	45 4 4	0	-1.859375 0 0	1.42500585179819e-08
0	0	0 0 0	46 4 4	0	-1.85625 0 0	1.39165563370686e-08
0	0	0 0 0	47 4 4	0	-1.853125 0 0	1.33912036666801e-08
0	0	0 0 0	48 4 4	0	-1.85 0 0	1.33275153442529e-08
0	0	0 0 0	49 4 4	0	-1.846875 0 0	1.26217944807015e-08
0	0	0 0 0	50 4 4	0	-1.84375 0 0	1.24392009144443e-08
0	0	0 0 0	51 4 4	0	-1.840625 0 0	1.18625287349329e-08
0	0	0 0 0	52 4 4	0	-1.8375 0 0	1.14881578778509e-08
0	0	0 0 0	53 4 4	0	-1.834375 0 0	1.10811134282808e-08
0	0	0 0 0	54 4 4	0	-1.83125 0 0	1.06642229576002e-08
0	0	0 0 0	55 4 4	0	-1.828125 0 0	1.04817802037738e-08
0	0	0 0 0	56 4 4	0	-1.825 0 0	9.87998142434341e-09
0	0	0 0 0	57 4 4	0	-1.821875 0 0	9.52645797122557e-09
0	0	0 0 0	58 4 4	0	-1.81875 0 0	9.19771357743646e-09
0	0	0 0 0	59 4 4	0	-1.815625 0 0	8.56349701042576e-09
0	0	0 0 0	60 4 4	0	-1.8125 0 0	8.31868248407234e-09
0	0	0 0 0	61 4 4	0	-1.809375 0 0	7.93726797164159e-09
