# 1D ASCII output created by CarpetIOASCII
# created on 127.0.0.1ip-172-30-0-219 by admin on Aug 18 2016 at 05:03:37+0000
# parameter filename: "/home/admin/simulations/ONE_BH/1BH_Boosted_AngularMomentum/1BH_P0.1_S0.75_convergence/1bh_p0.1_s0.75_convergence/twopunmid_1bh_p0.1_s0.75_convergence_60.par"
#
# ADMCONSTRAINTS::HAMILTONIAN z (admconstraints-hamiltonian)
#
# iteration 0   time 0
# time level 0
# refinement level 0   multigrid level 0   map 0   component 0
# column format: 1:it	2:tl	3:rl 4:c 5:ml	6:ix 7:iy 8:iz	9:time	10:x 11:y 12:z	13:data
# data columns: 13:ham
0	0	0 0 0	640 4 0	0	0 0 -0.0125	-3.43963756790593e-07
0	0	0 0 0	640 4 1	0	0 0 -0.009375	-3.43963756790593e-07
0	0	0 0 0	640 4 2	0	0 0 -0.00625	4.39994237727982e-09
0	0	0 0 0	640 4 3	0	0 0 -0.003125	1.3067753344081e-08
0	0	0 0 0	640 4 4	0	0 0 0	-1.76719971341097e-08
0	0	0 0 0	640 4 5	0	0 0 0.003125	1.30033972332746e-08
0	0	0 0 0	640 4 6	0	0 0 0.00625	4.03527523696386e-09
0	0	0 0 0	640 4 7	0	0 0 0.009375	-3.43907447302271e-07
0	0	0 0 0	640 4 8	0	0 0 0.0125	-3.43907447302271e-07


