# 1D ASCII output created by CarpetIOASCII
# created on 127.0.0.1ip-172-30-0-219 by admin on Aug 17 2016 at 22:18:47+0000
# parameter filename: "/home/admin/simulations/ONE_BH/1BH_Boosted_AngularMomentum/1BH_P0.1_S0.75_convergence/1bh_p0.1_s0.75_convergence/twopunnear_1bh_p0.1_s0.75_convergence_20.par"
#
# ADMCONSTRAINTS::HAMILTONIAN y (admconstraints-hamiltonian)
#
# iteration 0   time 0
# time level 0
# refinement level 0   multigrid level 0   map 0   component 0
# column format: 1:it	2:tl	3:rl 4:c 5:ml	6:ix 7:iy 8:iz	9:time	10:x 11:y 12:z	13:data
# data columns: 13:ham
0	0	0 0 0	20 0 20	0	3 0.46875 0.5	4.92282498554611e-05
0	0	0 0 0	20 1 20	0	3 0.4703125 0.5	4.92282498554611e-05
0	0	0 0 0	20 2 20	0	3 0.471875 0.5	4.60555970181326e-05
0	0	0 0 0	20 3 20	0	3 0.4734375 0.5	4.57923504980778e-05
0	0	0 0 0	20 4 20	0	3 0.475 0.5	4.55252693560698e-05
0	0	0 0 0	20 5 20	0	3 0.4765625 0.5	4.52526538478604e-05
0	0	0 0 0	20 6 20	0	3 0.478125 0.5	4.49750915708577e-05
0	0	0 0 0	20 7 20	0	3 0.4796875 0.5	4.46935076648391e-05
0	0	0 0 0	20 8 20	0	3 0.48125 0.5	4.44067526470041e-05
0	0	0 0 0	20 9 20	0	3 0.4828125 0.5	4.41152230199471e-05
0	0	0 0 0	20 10 20	0	3 0.484375 0.5	4.38195859378127e-05
0	0	0 0 0	20 11 20	0	3 0.4859375 0.5	4.35196849978836e-05
0	0	0 0 0	20 12 20	0	3 0.4875 0.5	4.32145016875524e-05
0	0	0 0 0	20 13 20	0	3 0.4890625 0.5	4.29052201613919e-05
0	0	0 0 0	20 14 20	0	3 0.490625 0.5	4.25921978290042e-05
0	0	0 0 0	20 15 20	0	3 0.4921875 0.5	4.22742522589933e-05
0	0	0 0 0	20 16 20	0	3 0.49375 0.5	4.19528941691602e-05
0	0	0 0 0	20 17 20	0	3 0.4953125 0.5	4.1626737285555e-05
0	0	0 0 0	20 18 20	0	3 0.496875 0.5	4.12968312993589e-05
0	0	0 0 0	20 19 20	0	3 0.4984375 0.5	4.09624522152707e-05
0	0	0 0 0	20 20 20	0	3 0.5 0.5	4.06246712846836e-05
0	0	0 0 0	20 21 20	0	3 0.5015625 0.5	4.02827719560017e-05
0	0	0 0 0	20 22 20	0	3 0.503125 0.5	3.99373207460654e-05
0	0	0 0 0	20 23 20	0	3 0.5046875 0.5	3.95879260264437e-05
0	0	0 0 0	20 24 20	0	3 0.50625 0.5	3.92346383184528e-05
0	0	0 0 0	20 25 20	0	3 0.5078125 0.5	3.88778258209529e-05
0	0	0 0 0	20 26 20	0	3 0.509375 0.5	3.85178542382375e-05
0	0	0 0 0	20 27 20	0	3 0.5109375 0.5	3.81542100487825e-05
0	0	0 0 0	20 28 20	0	3 0.5125 0.5	3.77865176367162e-05
0	0	0 0 0	20 29 20	0	3 0.5140625 0.5	3.74166104482182e-05
0	0	0 0 0	20 30 20	0	3 0.515625 0.5	3.70426449448347e-05
0	0	0 0 0	20 31 20	0	3 0.5171875 0.5	3.66656099168028e-05
0	0	0 0 0	20 32 20	0	3 0.51875 0.5	3.62851887903276e-05
0	0	0 0 0	20 33 20	0	3 0.5203125 0.5	3.59022280758056e-05
0	0	0 0 0	20 34 20	0	3 0.521875 0.5	3.55158986649617e-05
0	0	0 0 0	20 35 20	0	3 0.5234375 0.5	3.51268051388964e-05
0	0	0 0 0	20 36 20	0	3 0.525 0.5	3.47346671542362e-05
0	0	0 0 0	20 37 20	0	3 0.5265625 0.5	3.43396097879922e-05
0	0	0 0 0	20 38 20	0	3 0.528125 0.5	3.39423112641069e-05
0	0	0 0 0	20 39 20	0	3 0.5296875 0.5	3.59239235469822e-05
0	0	0 0 0	20 40 20	0	3 0.53125 0.5	3.59239235469822e-05


