# 1D ASCII output created by CarpetIOASCII
# created on 127.0.0.1ip-172-30-0-219 by admin on Aug 17 2016 at 22:44:28+0000
# parameter filename: "/home/admin/simulations/ONE_BH/1BH_Boosted_AngularMomentum/1BH_P0.1_S0.75_convergence/1bh_p0.1_s0.75_convergence/twopunnear_1bh_p0.1_s0.75_convergence_40.par"
#
# ADMCONSTRAINTS::HAMILTONIAN z (admconstraints-hamiltonian)
#
# iteration 0   time 0
# time level 0
# refinement level 0   multigrid level 0   map 0   component 0
# column format: 1:it	2:tl	3:rl 4:c 5:ml	6:ix 7:iy 8:iz	9:time	10:x 11:y 12:z	13:data
# data columns: 13:ham
0	0	0 0 0	20 20 0	0	3 0.5 0.46875	2.9140284618645e-06
0	0	0 0 0	20 20 1	0	3 0.5 0.4703125	2.9140284618645e-06
0	0	0 0 0	20 20 2	0	3 0.5 0.471875	-3.91632115626095e-10
0	0	0 0 0	20 20 3	0	3 0.5 0.4734375	-6.23484971984389e-10
0	0	0 0 0	20 20 4	0	3 0.5 0.475	-3.03851208083294e-10
0	0	0 0 0	20 20 5	0	3 0.5 0.4765625	-4.80817385906107e-10
0	0	0 0 0	20 20 6	0	3 0.5 0.478125	-7.86405232600096e-10
0	0	0 0 0	20 20 7	0	3 0.5 0.4796875	-4.95539137501666e-10
0	0	0 0 0	20 20 8	0	3 0.5 0.48125	-5.41470090986707e-10
0	0	0 0 0	20 20 9	0	3 0.5 0.4828125	-6.31248518734306e-10
0	0	0 0 0	20 20 10	0	3 0.5 0.484375	-6.8130416586154e-10
0	0	0 0 0	20 20 11	0	3 0.5 0.4859375	-4.36084890420574e-10
0	0	0 0 0	20 20 12	0	3 0.5 0.4875	-6.96754647033782e-10
0	0	0 0 0	20 20 13	0	3 0.5 0.4890625	-9.49363997138075e-10
0	0	0 0 0	20 20 14	0	3 0.5 0.490625	-4.46053458058593e-10
0	0	0 0 0	20 20 15	0	3 0.5 0.4921875	-1.00075344539041e-09
0	0	0 0 0	20 20 16	0	3 0.5 0.49375	-3.25567843517671e-10
0	0	0 0 0	20 20 17	0	3 0.5 0.4953125	-6.25070786797188e-10
0	0	0 0 0	20 20 18	0	3 0.5 0.496875	-6.15178352703083e-10
0	0	0 0 0	20 20 19	0	3 0.5 0.4984375	-7.01333581487606e-10
0	0	0 0 0	20 20 20	0	3 0.5 0.5	-8.60292587168132e-10
0	0	0 0 0	20 20 21	0	3 0.5 0.5015625	-7.31158911193575e-10
0	0	0 0 0	20 20 22	0	3 0.5 0.503125	-6.19089092490643e-10
0	0	0 0 0	20 20 23	0	3 0.5 0.5046875	-6.55332094146033e-10
0	0	0 0 0	20 20 24	0	3 0.5 0.50625	-8.73224076380907e-10
0	0	0 0 0	20 20 25	0	3 0.5 0.5078125	-8.82204212460103e-10
0	0	0 0 0	20 20 26	0	3 0.5 0.509375	-8.38490908650069e-10
0	0	0 0 0	20 20 27	0	3 0.5 0.5109375	-5.03262181927866e-10
0	0	0 0 0	20 20 28	0	3 0.5 0.5125	-1.0236302916411e-09
0	0	0 0 0	20 20 29	0	3 0.5 0.5140625	-5.8035797695366e-10
0	0	0 0 0	20 20 30	0	3 0.5 0.515625	-5.59675555900085e-10
0	0	0 0 0	20 20 31	0	3 0.5 0.5171875	-6.22462095756227e-10
0	0	0 0 0	20 20 32	0	3 0.5 0.51875	-1.04719130589181e-09
0	0	0 0 0	20 20 33	0	3 0.5 0.5203125	-7.51555775946322e-10
0	0	0 0 0	20 20 34	0	3 0.5 0.521875	-1.25863364175416e-09
0	0	0 0 0	20 20 35	0	3 0.5 0.5234375	-3.95516570883547e-10
0	0	0 0 0	20 20 36	0	3 0.5 0.525	-9.03237130922552e-10
0	0	0 0 0	20 20 37	0	3 0.5 0.5265625	-9.9987306628746e-10
0	0	0 0 0	20 20 38	0	3 0.5 0.528125	-7.43655463597559e-10
0	0	0 0 0	20 20 39	0	3 0.5 0.5296875	2.38076626099537e-06
0	0	0 0 0	20 20 40	0	3 0.5 0.53125	2.38076626099537e-06


