# 1D ASCII output created by CarpetIOASCII
# created on 127.0.0.1ip-172-30-0-219 by admin on Aug 09 2016 at 21:17:23+0000
# parameter filename: "/home/admin/simulations/ONE_BH/1BH_Convergence/1bh_p0.1_dx0.0015625_near/manybhnear_1bh_p0.1_dx0.0015625_near_32x33x41.par"
#
# ADMCONSTRAINTS::HAMILTONIAN x (admconstraints-hamiltonian)
#
# iteration 0   time 0
# time level 0
# refinement level 0   multigrid level 0   map 0   component 0
# column format: 1:it	2:tl	3:rl 4:c 5:ml	6:ix 7:iy 8:iz	9:time	10:x 11:y 12:z	13:data
# data columns: 13:ham
0	0	0 0 0	0 3 3	0	0 0.00078125 0.00078125	-7.34834403869089e-08
0	0	0 0 0	1 3 3	0	0.0015625 0.00078125 0.00078125	-7.34834403869089e-08
0	0	0 0 0	2 3 3	0	0.003125 0.00078125 0.00078125	1.20672472589487e-09
0	0	0 0 0	3 3 3	0	0.0046875 0.00078125 0.00078125	-7.39886414776684e-10
0	0	0 0 0	4 3 3	0	0.00625 0.00078125 0.00078125	-5.83779878929845e-10
0	0	0 0 0	5 3 3	0	0.0078125 0.00078125 0.00078125	4.59013071421512e-10
0	0	0 0 0	6 3 3	0	0.009375 0.00078125 0.00078125	-6.43447876469243e-10
0	0	0 0 0	7 3 3	0	0.0109375 0.00078125 0.00078125	-1.31119936468745e-09
0	0	0 0 0	8 3 3	0	0.0125 0.00078125 0.00078125	5.16390983250868e-11
0	0	0 0 0	9 3 3	0	0.0140625 0.00078125 0.00078125	3.89398512349801e-12
0	0	0 0 0	10 3 3	0	0.015625 0.00078125 0.00078125	-1.31498528483254e-10
0	0	0 0 0	11 3 3	0	0.0171875 0.00078125 0.00078125	-5.69389505000479e-10
0	0	0 0 0	12 3 3	0	0.01875 0.00078125 0.00078125	-2.65072515966049e-10
0	0	0 0 0	13 3 3	0	0.0203125 0.00078125 0.00078125	4.30560389858697e-10
0	0	0 0 0	14 3 3	0	0.021875 0.00078125 0.00078125	-7.82259373054671e-10
0	0	0 0 0	15 3 3	0	0.0234375 0.00078125 0.00078125	6.33912773130834e-10
0	0	0 0 0	16 3 3	0	0.025 0.00078125 0.00078125	-1.2446134574351e-10
0	0	0 0 0	17 3 3	0	0.0265625 0.00078125 0.00078125	2.27448322383337e-10
0	0	0 0 0	18 3 3	0	0.028125 0.00078125 0.00078125	6.55653443267391e-10
0	0	0 0 0	19 3 3	0	0.0296875 0.00078125 0.00078125	-1.25856466481195e-09
0	0	0 0 0	20 3 3	0	0.03125 0.00078125 0.00078125	1.52288218065741e-09
0	0	0 0 0	21 3 3	0	0.0328125 0.00078125 0.00078125	8.86444099709987e-10
0	0	0 0 0	22 3 3	0	0.034375 0.00078125 0.00078125	-8.49311659791973e-10
0	0	0 0 0	23 3 3	0	0.0359375 0.00078125 0.00078125	-1.09208286836436e-09
0	0	0 0 0	24 3 3	0	0.0375 0.00078125 0.00078125	-5.8044236794395e-10
0	0	0 0 0	25 3 3	0	0.0390625 0.00078125 0.00078125	-4.82913813104613e-11
0	0	0 0 0	26 3 3	0	0.040625 0.00078125 0.00078125	-1.47084624221947e-09
0	0	0 0 0	27 3 3	0	0.0421875 0.00078125 0.00078125	1.62350271122819e-09
