# 1D ASCII output created by CarpetIOASCII
# created on 127.0.0.1ip-172-30-0-219 by admin on Aug 09 2016 at 22:16:44+0000
# parameter filename: "/home/admin/simulations/ONE_BH/1BH_Convergence/1bh_p0.1_dx0.0015625_near_convergence_smallergrid/manybhmid_1bh_p0.1_dx0.0015625_near_convergence_smallergrid_16x17x25.par"
#
# ADMCONSTRAINTS::HAMILTONIAN x (admconstraints-hamiltonian)
#
# iteration 0   time 0
# time level 0
# refinement level 0   multigrid level 0   map 0   component 0
# column format: 1:it	2:tl	3:rl 4:c 5:ml	6:ix 7:iy 8:iz	9:time	10:x 11:y 12:z	13:data
# data columns: 13:ham
0	0	0 0 0	0 4 4	0	-2 0 0	-2.90896306432624e-08
0	0	0 0 0	1 4 4	0	-1.996875 0 0	-2.90896306432624e-08
0	0	0 0 0	2 4 4	0	-1.99375 0 0	-6.15552100732678e-10
0	0	0 0 0	3 4 4	0	-1.990625 0 0	3.63947508943778e-10
0	0	0 0 0	4 4 4	0	-1.9875 0 0	-3.52129542972174e-11
0	0	0 0 0	5 4 4	0	-1.984375 0 0	4.51997905846335e-10
0	0	0 0 0	6 4 4	0	-1.98125 0 0	-4.65975385772859e-10
0	0	0 0 0	7 4 4	0	-1.978125 0 0	-7.49693509447544e-11
0	0	0 0 0	8 4 4	0	-1.975 0 0	6.66862143440918e-11
0	0	0 0 0	9 4 4	0	-1.971875 0 0	4.25283368905242e-10
0	0	0 0 0	10 4 4	0	-1.96875 0 0	6.81612769318999e-10
0	0	0 0 0	11 4 4	0	-1.965625 0 0	6.92817951310687e-11
0	0	0 0 0	12 4 4	0	-1.9625 0 0	6.82976824292574e-10
0	0	0 0 0	13 4 4	0	-1.959375 0 0	-5.4043925667394e-10
0	0	0 0 0	14 4 4	0	-1.95625 0 0	6.31851685095565e-11
0	0	0 0 0	15 4 4	0	-1.953125 0 0	1.06013121444946e-10
0	0	0 0 0	16 4 4	0	-1.95 0 0	5.07017220810241e-10
0	0	0 0 0	17 4 4	0	-1.946875 0 0	-3.88304013048497e-10
0	0	0 0 0	18 4 4	0	-1.94375 0 0	-4.29330076847398e-10
0	0	0 0 0	19 4 4	0	-1.940625 0 0	-3.88072188858661e-11
0	0	0 0 0	20 4 4	0	-1.9375 0 0	4.73945546220281e-10
0	0	0 0 0	21 4 4	0	-1.934375 0 0	4.66159920574035e-10
0	0	0 0 0	22 4 4	0	-1.93125 0 0	7.47842744680408e-10
0	0	0 0 0	23 4 4	0	-1.928125 0 0	-1.58185429571757e-10
0	0	0 0 0	24 4 4	0	-1.925 0 0	7.89912537953901e-10
0	0	0 0 0	25 4 4	0	-1.921875 0 0	-2.2427280690939e-10
0	0	0 0 0	26 4 4	0	-1.91875 0 0	1.75377556240982e-10
0	0	0 0 0	27 4 4	0	-1.915625 0 0	3.49456527558019e-10
0	0	0 0 0	28 4 4	0	-1.9125 0 0	-2.24545771408159e-10
0	0	0 0 0	29 4 4	0	-1.909375 0 0	-1.76320828868416e-10
0	0	0 0 0	30 4 4	0	-1.90625 0 0	-2.72749373813382e-11
0	0	0 0 0	31 4 4	0	-1.903125 0 0	-1.30176261073757e-10
0	0	0 0 0	32 4 4	0	-1.9 0 0	-7.80568125963838e-10
0	0	0 0 0	33 4 4	0	-1.896875 0 0	-5.21944910252328e-11
0	0	0 0 0	34 4 4	0	-1.89375 0 0	3.72060749139554e-10
0	0	0 0 0	35 4 4	0	-1.890625 0 0	-7.98212367324235e-10
0	0	0 0 0	36 4 4	0	-1.8875 0 0	-1.93913672459308e-10
0	0	0 0 0	37 4 4	0	-1.884375 0 0	-3.2418471623526e-10
0	0	0 0 0	38 4 4	0	-1.88125 0 0	4.05439927521367e-10
0	0	0 0 0	39 4 4	0	-1.878125 0 0	2.66381185474529e-10
0	0	0 0 0	40 4 4	0	-1.875 0 0	4.6656584386164e-10
0	0	0 0 0	41 4 4	0	-1.871875 0 0	5.59240622696267e-11
0	0	0 0 0	42 4 4	0	-1.86875 0 0	2.17226312079159e-11
0	0	0 0 0	43 4 4	0	-1.865625 0 0	-8.60683693775953e-11
0	0	0 0 0	44 4 4	0	-1.8625 0 0	-4.94646095391678e-10
0	0	0 0 0	45 4 4	0	-1.859375 0 0	3.91412353957922e-10
0	0	0 0 0	46 4 4	0	-1.85625 0 0	2.81564555877504e-11
0	0	0 0 0	47 4 4	0	-1.853125 0 0	1.78497988064614e-10
0	0	0 0 0	48 4 4	0	-1.85 0 0	6.18719473143578e-10
0	0	0 0 0	49 4 4	0	-1.846875 0 0	-8.0126242835534e-10
0	0	0 0 0	50 4 4	0	-1.84375 0 0	3.25548090316318e-10
0	0	0 0 0	51 4 4	0	-1.840625 0 0	-2.12609254474864e-11
0	0	0 0 0	52 4 4	0	-1.8375 0 0	-3.52575893014604e-10
0	0	0 0 0	53 4 4	0	-1.834375 0 0	-1.15916979153926e-10
0	0	0 0 0	54 4 4	0	-1.83125 0 0	1.42148211319695e-10
0	0	0 0 0	55 4 4	0	-1.828125 0 0	4.26480216132686e-10
0	0	0 0 0	56 4 4	0	-1.825 0 0	1.94004432581708e-10
0	0	0 0 0	57 4 4	0	-1.821875 0 0	3.8530877441564e-10
0	0	0 0 0	58 4 4	0	-1.81875 0 0	1.30278110158479e-10
0	0	0 0 0	59 4 4	0	-1.815625 0 0	-6.79217312276638e-11
0	0	0 0 0	60 4 4	0	-1.8125 0 0	-1.44313494842923e-10
0	0	0 0 0	61 4 4	0	-1.809375 0 0	-3.30452954361076e-11
0	0	0 0 0	62 4 4	0	-1.80625 0 0	-1.5984124593848e-10
0	0	0 0 0	63 4 4	0	-1.803125 0 0	3.09735990517866e-10
0	0	0 0 0	64 4 4	0	-1.8 0 0	7.69757547904471e-11
0	0	0 0 0	65 4 4	0	-1.796875 0 0	3.61135549470457e-10
0	0	0 0 0	66 4 4	0	-1.79375 0 0	-2.42117067361788e-10
0	0	0 0 0	67 4 4	0	-1.790625 0 0	1.42894847674326e-10
0	0	0 0 0	68 4 4	0	-1.7875 0 0	2.78485722153619e-10
0	0	0 0 0	69 4 4	0	-1.784375 0 0	-8.51122898559448e-10
0	0	0 0 0	70 4 4	0	-1.78125 0 0	9.20720431564189e-10
0	0	0 0 0	71 4 4	0	-1.778125 0 0	-2.18657627228569e-10
0	0	0 0 0	72 4 4	0	-1.775 0 0	4.9731728895316e-10
0	0	0 0 0	73 4 4	0	-1.771875 0 0	-6.70625844353262e-11
0	0	0 0 0	74 4 4	0	-1.76875 0 0	-7.41202840355798e-10
0	0	0 0 0	75 4 4	0	-1.765625 0 0	2.4768586460262e-11
0	0	0 0 0	76 4 4	0	-1.7625 0 0	-4.61040918468695e-10
0	0	0 0 0	77 4 4	0	-1.759375 0 0	2.77559063731857e-10
0	0	0 0 0	78 4 4	0	-1.75625 0 0	3.68532547320309e-10
0	0	0 0 0	79 4 4	0	-1.753125 0 0	-2.09696352553783e-10
0	0	0 0 0	80 4 4	0	-1.75 0 0	-1.75485408092347e-10
0	0	0 0 0	81 4 4	0	-1.746875 0 0	7.0482521389941e-11
0	0	0 0 0	82 4 4	0	-1.74375 0 0	-8.72043296677293e-11
0	0	0 0 0	83 4 4	0	-1.740625 0 0	3.85157236643509e-11
