# 1D ASCII output created by CarpetIOASCII
# created on 127.0.0.1ip-172-30-0-219 by admin on Aug 09 2016 at 22:15:15+0000
# parameter filename: "/home/admin/simulations/ONE_BH/1BH_Convergence/1bh_p0.1_dx0.0015625_near_convergence_smallergrid/manybhnear_1bh_p0.1_dx0.0015625_near_convergence_smallergrid_32x33x41.par"
#
# ADMCONSTRAINTS::HAMILTONIAN y (admconstraints-hamiltonian)
#
# iteration 0   time 0
# time level 0
# refinement level 0   multigrid level 0   map 0   component 0
# column format: 1:it	2:tl	3:rl 4:c 5:ml	6:ix 7:iy 8:iz	9:time	10:x 11:y 12:z	13:data
# data columns: 13:ham
0	0	0 0 0	40 0 40	0	3 0.4375 0.5	4.95958040846816e-06
0	0	0 0 0	40 1 40	0	3 0.4390625 0.5	4.95958040846816e-06
0	0	0 0 0	40 2 40	0	3 0.440625 0.5	-1.04389167828508e-10
0	0	0 0 0	40 3 40	0	3 0.4421875 0.5	7.23389940613869e-11
0	0	0 0 0	40 4 40	0	3 0.44375 0.5	-2.14762900497233e-10
0	0	0 0 0	40 5 40	0	3 0.4453125 0.5	-1.8746835008833e-10
0	0	0 0 0	40 6 40	0	3 0.446875 0.5	-1.46742558100425e-10
0	0	0 0 0	40 7 40	0	3 0.4484375 0.5	-1.13097691043125e-10
0	0	0 0 0	40 8 40	0	3 0.45 0.5	-1.46630141188708e-10
0	0	0 0 0	40 9 40	0	3 0.4515625 0.5	-1.71750131477966e-10
0	0	0 0 0	40 10 40	0	3 0.453125 0.5	1.23055121322747e-11
0	0	0 0 0	40 11 40	0	3 0.4546875 0.5	-1.0786885956942e-10
0	0	0 0 0	40 12 40	0	3 0.45625 0.5	-7.93264931823676e-11
0	0	0 0 0	40 13 40	0	3 0.4578125 0.5	-3.82064649232308e-10
0	0	0 0 0	40 14 40	0	3 0.459375 0.5	6.61220947786867e-12
0	0	0 0 0	40 15 40	0	3 0.4609375 0.5	-1.28336150029534e-10
0	0	0 0 0	40 16 40	0	3 0.4625 0.5	3.10208992824676e-10
0	0	0 0 0	40 17 40	0	3 0.4640625 0.5	-7.43708453653479e-11
0	0	0 0 0	40 18 40	0	3 0.465625 0.5	1.28776953076809e-10
0	0	0 0 0	40 19 40	0	3 0.4671875 0.5	-3.87703556867409e-11
0	0	0 0 0	40 20 40	0	3 0.46875 0.5	-1.42874705989782e-10
0	0	0 0 0	40 21 40	0	3 0.4703125 0.5	-4.30786813447777e-10
0	0	0 0 0	40 22 40	0	3 0.471875 0.5	2.14545644596463e-10
0	0	0 0 0	40 23 40	0	3 0.4734375 0.5	-5.72585926914525e-10
0	0	0 0 0	40 24 40	0	3 0.475 0.5	1.45859158898112e-10
0	0	0 0 0	40 25 40	0	3 0.4765625 0.5	-3.70375639175118e-10
0	0	0 0 0	40 26 40	0	3 0.478125 0.5	-2.82008383659105e-10
0	0	0 0 0	40 27 40	0	3 0.4796875 0.5	6.31348518929063e-11
0	0	0 0 0	40 28 40	0	3 0.48125 0.5	-1.01000422218431e-11
0	0	0 0 0	40 29 40	0	3 0.4828125 0.5	-3.93535374806128e-10
0	0	0 0 0	40 30 40	0	3 0.484375 0.5	3.81391499870536e-11
0	0	0 0 0	40 31 40	0	3 0.4859375 0.5	3.48040471768139e-11
0	0	0 0 0	40 32 40	0	3 0.4875 0.5	-2.87813349216827e-10
0	0	0 0 0	40 33 40	0	3 0.4890625 0.5	-3.37509498647692e-10
0	0	0 0 0	40 34 40	0	3 0.490625 0.5	-1.21342996414753e-10
0	0	0 0 0	40 35 40	0	3 0.4921875 0.5	-3.15242729544227e-10
