# 1D ASCII output created by CarpetIOASCII
# created on 127.0.0.1ip-172-30-0-219 by admin on Aug 10 2016 at 06:53:51+0000
# parameter filename: "/home/admin/simulations/ONE_BH/1BH_Convergence/1bh_p0.1_dx0.0015625_near_convergence_smallergrid_0.1away/manybhmid_1bh_p0.1_dx0.0015625_near_convergence_smallergrid_0.1away_32x33x41.par"
#
# ADMCONSTRAINTS::HAMILTONIAN x (admconstraints-hamiltonian)
#
# iteration 0   time 0
# time level 0
# refinement level 0   multigrid level 0   map 0   component 0
# column format: 1:it	2:tl	3:rl 4:c 5:ml	6:ix 7:iy 8:iz	9:time	10:x 11:y 12:z	13:data
# data columns: 13:ham
0	0	0 0 0	0 4 4	0	-2 0 0	-2.90896305345305e-08
0	0	0 0 0	1 4 4	0	-1.996875 0 0	-2.90896305345305e-08
0	0	0 0 0	2 4 4	0	-1.99375 0 0	-6.15548978786075e-10
0	0	0 0 0	3 4 4	0	-1.990625 0 0	4.76504397585128e-10
0	0	0 0 0	4 4 4	0	-1.9875 0 0	-7.66653250445734e-10
0	0	0 0 0	5 4 4	0	-1.984375 0 0	6.76972968202444e-10
0	0	0 0 0	6 4 4	0	-1.98125 0 0	-5.22191393871976e-10
0	0	0 0 0	7 4 4	0	-1.978125 0 0	-7.49607697962673e-11
0	0	0 0 0	8 4 4	0	-1.975 0 0	2.35143878300021e-10
0	0	0 0 0	9 4 4	0	-1.971875 0 0	-3.04503406254523e-10
0	0	0 0 0	10 4 4	0	-1.96875 0 0	8.33408229851829e-12
0	0	0 0 0	11 4 4	0	-1.965625 0 0	4.0578072396354e-10
0	0	0 0 0	12 4 4	0	-1.9625 0 0	-3.26071706948142e-10
0	0	0 0 0	13 4 4	0	-1.959375 0 0	-3.16283061928811e-10
0	0	0 0 0	14 4 4	0	-1.95625 0 0	2.87177256679135e-10
0	0	0 0 0	15 4 4	0	-1.953125 0 0	-1.73891270699726e-10
0	0	0 0 0	16 4 4	0	-1.95 0 0	5.07046608123679e-10
0	0	0 0 0	17 4 4	0	-1.946875 0 0	-3.32374780191605e-10
0	0	0 0 0	18 4 4	0	-1.94375 0 0	-4.29330583996516e-10
0	0	0 0 0	19 4 4	0	-1.940625 0 0	-3.88065013608684e-11
0	0	0 0 0	20 4 4	0	-1.9375 0 0	6.41493590438822e-10
0	0	0 0 0	21 4 4	0	-1.934375 0 0	4.66130653417303e-10
0	0	0 0 0	22 4 4	0	-1.93125 0 0	-1.44912258055871e-10
0	0	0 0 0	23 4 4	0	-1.928125 0 0	6.78413939405481e-10
0	0	0 0 0	24 4 4	0	-1.925 0 0	5.66928756530797e-10
0	0	0 0 0	25 4 4	0	-1.921875 0 0	-2.24276991740041e-10
0	0	0 0 0	26 4 4	0	-1.91875 0 0	2.31066200190571e-10
0	0	0 0 0	27 4 4	0	-1.915625 0 0	4.05123255024765e-10
0	0	0 0 0	28 4 4	0	-1.9125 0 0	-3.35821515981181e-10
0	0	0 0 0	29 4 4	0	-1.909375 0 0	-6.50930734416881e-11
0	0	0 0 0	30 4 4	0	-1.90625 0 0	-1.94038402207865e-10
0	0	0 0 0	31 4 4	0	-1.903125 0 0	4.81000436027934e-10
0	0	0 0 0	32 4 4	0	-1.9 0 0	-8.36098333877868e-10
0	0	0 0 0	33 4 4	0	-1.896875 0 0	1.14333001467498e-10
0	0	0 0 0	34 4 4	0	-1.89375 0 0	1.50120698708925e-10
0	0	0 0 0	35 4 4	0	-1.890625 0 0	-8.5366659441778e-10
0	0	0 0 0	36 4 4	0	-1.8875 0 0	-1.3848931886256e-10
0	0	0 0 0	37 4 4	0	-1.884375 0 0	-6.01197263603052e-10
0	0	0 0 0	38 4 4	0	-1.88125 0 0	5.16203269663789e-10
0	0	0 0 0	39 4 4	0	-1.878125 0 0	2.66380685074569e-10
0	0	0 0 0	40 4 4	0	-1.875 0 0	5.77208463182132e-10
0	0	0 0 0	41 4 4	0	-1.871875 0 0	-5.46653598310163e-11
0	0	0 0 0	42 4 4	0	-1.86875 0 0	1.87536526035531e-10
0	0	0 0 0	43 4 4	0	-1.865625 0 0	-1.41322728571132e-10
0	0	0 0 0	44 4 4	0	-1.8625 0 0	-4.94644734433348e-10
0	0	0 0 0	45 4 4	0	-1.859375 0 0	3.36221686830871e-10
0	0	0 0 0	46 4 4	0	-1.85625 0 0	2.81509591570743e-11
0	0	0 0 0	47 4 4	0	-1.853125 0 0	-9.71873537187031e-11
0	0	0 0 0	48 4 4	0	-1.85 0 0	8.39165940688257e-10
0	0	0 0 0	49 4 4	0	-1.846875 0 0	-1.02160771116018e-09
0	0	0 0 0	50 4 4	0	-1.84375 0 0	3.25553833118385e-10
0	0	0 0 0	51 4 4	0	-1.840625 0 0	3.37701558340495e-11
0	0	0 0 0	52 4 4	0	-1.8375 0 0	-9.02624620920524e-10
0	0	0 0 0	53 4 4	0	-1.834375 0 0	-1.15916865651511e-10
0	0	0 0 0	54 4 4	0	-1.83125 0 0	1.4214831972636e-10
0	0	0 0 0	55 4 4	0	-1.828125 0 0	-1.77690154772167e-10
0	0	0 0 0	56 4 4	0	-1.825 0 0	2.4889738817343e-10
0	0	0 0 0	57 4 4	0	-1.821875 0 0	2.75566781931169e-10
0	0	0 0 0	58 4 4	0	-1.81875 0 0	2.39971722804403e-10
0	0	0 0 0	59 4 4	0	-1.815625 0 0	-1.31042413655273e-11
0	0	0 0 0	60 4 4	0	-1.8125 0 0	-8.95310515856189e-11
0	0	0 0 0	61 4 4	0	-1.809375 0 0	-1.97309599946549e-10
0	0	0 0 0	62 4 4	0	-1.80625 0 0	1.6857481845167e-10
0	0	0 0 0	63 4 4	0	-1.803125 0 0	-1.8268619340271e-10
0	0	0 0 0	64 4 4	0	-1.8 0 0	-8.70335194023833e-11
0	0	0 0 0	65 4 4	0	-1.796875 0 0	6.34414491507964e-10
0	0	0 0 0	66 4 4	0	-1.79375 0 0	-6.24549640140543e-10
0	0	0 0 0	67 4 4	0	-1.790625 0 0	3.36911710281575e-11
0	0	0 0 0	68 4 4	0	-1.7875 0 0	5.64253210941137e-12
0	0	0 0 0	69 4 4	0	-1.784375 0 0	2.16335198046551e-11
0	0	0 0 0	70 4 4	0	-1.78125 0 0	4.84553222253412e-10
0	0	0 0 0	71 4 4	0	-1.778125 0 0	5.44272276960201e-10
0	0	0 0 0	72 4 4	0	-1.775 0 0	4.97290722367857e-10
0	0	0 0 0	73 4 4	0	-1.771875 0 0	-1.26243104511814e-11
0	0	0 0 0	74 4 4	0	-1.76875 0 0	-6.32385776678916e-10
0	0	0 0 0	75 4 4	0	-1.765625 0 0	-1.38360528993708e-10
0	0	0 0 0	76 4 4	0	-1.7625 0 0	3.54328795118672e-10
0	0	0 0 0	77 4 4	0	-1.759375 0 0	-2.11448556499414e-10
0	0	0 0 0	78 4 4	0	-1.75625 0 0	2.05631142051032e-10
0	0	0 0 0	79 4 4	0	-1.753125 0 0	-4.68707014118688e-11
0	0	0 0 0	80 4 4	0	-1.75 0 0	-3.92461362033422e-10
0	0	0 0 0	81 4 4	0	-1.746875 0 0	7.21145387830757e-10
0	0	0 0 0	82 4 4	0	-1.74375 0 0	-1.95593581560132e-10
0	0	0 0 0	83 4 4	0	-1.740625 0 0	5.80184947800806e-10
0	0	0 0 0	84 4 4	0	-1.7375 0 0	-9.76885851386249e-10
0	0	0 0 0	85 4 4	0	-1.734375 0 0	3.70392567582579e-10
0	0	0 0 0	86 4 4	0	-1.73125 0 0	6.03899226632454e-11
0	0	0 0 0	87 4 4	0	-1.728125 0 0	-1.33137623660657e-10
0	0	0 0 0	88 4 4	0	-1.725 0 0	4.26360604658641e-10
0	0	0 0 0	89 4 4	0	-1.721875 0 0	-8.1051987081064e-10
0	0	0 0 0	90 4 4	0	-1.71875 0 0	5.21884945686463e-10
0	0	0 0 0	91 4 4	0	-1.715625 0 0	9.60747373042296e-11
0	0	0 0 0	92 4 4	0	-1.7125 0 0	6.52312712580514e-11
0	0	0 0 0	93 4 4	0	-1.709375 0 0	-4.92675341455116e-10
0	0	0 0 0	94 4 4	0	-1.70625 0 0	-3.41818106737684e-10
0	0	0 0 0	95 4 4	0	-1.703125 0 0	2.98793736863592e-10
