# 1D ASCII output created by CarpetIOASCII
# created on 127.0.0.1ip-172-30-0-219 by admin on Aug 14 2016 at 04:49:01+0000
# parameter filename: "/home/admin/simulations/ONE_BH/1BH_Convergence/1bh_p0.1_dx0.003125_near_convergence/manybhnear_1bh_p0.1_dx0.003125_near_convergence_40x41x49.par"
#
# ADMCONSTRAINTS::HAMILTONIAN x (admconstraints-hamiltonian)
#
# iteration 0   time 0
# time level 0
# refinement level 0   multigrid level 0   map 0   component 0
# column format: 1:it	2:tl	3:rl 4:c 5:ml	6:ix 7:iy 8:iz	9:time	10:x 11:y 12:z	13:data
# data columns: 13:ham
0	0	0 0 0	0 3 3	0	0 0.1078125 0.1078125	-0.000513772598949315
0	0	0 0 0	1 3 3	0	0.003125 0.1078125 0.1078125	-0.000513772598949315
0	0	0 0 0	2 3 3	0	0.00625 0.1078125 0.1078125	-8.22116350987094e-06
0	0	0 0 0	3 3 3	0	0.009375 0.1078125 0.1078125	-8.27615544234225e-06
0	0	0 0 0	4 3 3	0	0.0125 0.1078125 0.1078125	-8.3308534166316e-06
0	0	0 0 0	5 3 3	0	0.015625 0.1078125 0.1078125	-8.38669068214324e-06
0	0	0 0 0	6 3 3	0	0.01875 0.1078125 0.1078125	-8.44286365596039e-06
0	0	0 0 0	7 3 3	0	0.021875 0.1078125 0.1078125	-8.49892934260261e-06
0	0	0 0 0	8 3 3	0	0.025 0.1078125 0.1078125	-8.55602240535226e-06
0	0	0 0 0	9 3 3	0	0.028125 0.1078125 0.1078125	-8.6131861574036e-06
0	0	0 0 0	10 3 3	0	0.03125 0.1078125 0.1078125	-8.67117747564553e-06
0	0	0 0 0	11 3 3	0	0.034375 0.1078125 0.1078125	-8.72904919747874e-06
0	0	0 0 0	12 3 3	0	0.0375 0.1078125 0.1078125	-8.78769987824256e-06
0	0	0 0 0	13 3 3	0	0.040625 0.1078125 0.1078125	-8.84708777792873e-06
0	0	0 0 0	14 3 3	0	0.04375 0.1078125 0.1078125	-8.90616598855064e-06
0	0	0 0 0	15 3 3	0	0.046875 0.1078125 0.1078125	-8.96648534859775e-06
0	0	0 0 0	16 3 3	0	0.05 0.1078125 0.1078125	-9.02678677445871e-06
0	0	0 0 0	17 3 3	0	0.053125 0.1078125 0.1078125	-9.08764219423211e-06
0	0	0 0 0	18 3 3	0	0.05625 0.1078125 0.1078125	-9.1490633791483e-06
0	0	0 0 0	19 3 3	0	0.059375 0.1078125 0.1078125	-9.21102088957226e-06
0	0	0 0 0	20 3 3	0	0.0625 0.1078125 0.1078125	-9.27309929032446e-06
0	0	0 0 0	21 3 3	0	0.065625 0.1078125 0.1078125	-9.33611186645076e-06
