# 1D ASCII output created by CarpetIOASCII
# created on 127.0.0.1ip-172-30-0-219 by admin on Jun 28 2016 at 22:11:49+0000
# parameter filename: "/home/admin/simulations/GenerateSimulations/One_BH/manybhfar_One_BH_16x17x25.par"
#
# ADMCONSTRAINTS::MOMENTUM y (admconstraints-momentum)
#
# iteration 0   time 0
# time level 0
# refinement level 0   multigrid level 0   map 0   component 0
# column format: 1:it	2:tl	3:rl 4:c 5:ml	6:ix 7:iy 8:iz	9:time	10:x 11:y 12:z	13:data
# data columns: 13:momx 14:momy 15:momz
0	0	0 0 0	20 0 20	0	5 4.9375 5	-1.80917288799837e-12 -1.66954788759406e-10 1.56717306558189e-10
0	0	0 0 0	20 1 20	0	5 4.940625 5	-1.80917288799837e-12 -1.66954788759406e-10 1.56717306558189e-10
0	0	0 0 0	20 2 20	0	5 4.94375 5	4.93176463209344e-17 -1.37063483392902e-16 1.70799111616146e-16
0	0	0 0 0	20 3 20	0	5 4.946875 5	1.9895109865109e-17 -1.03066969021903e-17 6.22975792046593e-17
0	0	0 0 0	20 4 20	0	5 4.95 5	3.87602276663568e-18 -5.30005455755961e-17 -1.56633332606265e-17
0	0	0 0 0	20 5 20	0	5 4.953125 5	-1.74149973955484e-17 -4.55127743218681e-17 9.79746069430104e-17
0	0	0 0 0	20 6 20	0	5 4.95625 5	2.90024081139872e-18 -1.20434532572405e-16 1.23439805469264e-16
0	0	0 0 0	20 7 20	0	5 4.959375 5	7.94720192431875e-17 8.55028938276381e-17 8.75289966374704e-17
0	0	0 0 0	20 8 20	0	5 4.9625 5	3.05609487369352e-17 2.47807959048718e-17 9.03750273402448e-17
0	0	0 0 0	20 9 20	0	5 4.965625 5	-4.38153202955704e-17 -1.21186697829567e-16 -5.31259064517897e-18
0	0	0 0 0	20 10 20	0	5 4.96875 5	3.79877336184609e-17 3.69679059499667e-17 9.3556483090132e-17
0	0	0 0 0	20 11 20	0	5 4.971875 5	6.40899009210494e-17 -4.13385959577989e-17 2.98121716115624e-17
0	0	0 0 0	20 12 20	0	5 4.975 5	-4.68917439599981e-18 -6.84876959831937e-17 1.58395161136554e-17
0	0	0 0 0	20 13 20	0	5 4.978125 5	8.49743452685514e-18 -8.24942327989908e-17 -6.5390943528032e-19
0	0	0 0 0	20 14 20	0	5 4.98125 5	-8.00954354923666e-18 -3.22550146314438e-18 1.27275170654431e-16
0	0	0 0 0	20 15 20	0	5 4.984375 5	1.73607872869241e-17 1.84280488004646e-17 9.35192136404528e-17
0	0	0 0 0	20 16 20	0	5 4.9875 5	1.98408997564847e-17 -6.22738622821362e-17 2.16027282867737e-17
0	0	0 0 0	20 17 20	0	5 4.990625 5	-1.66696084019646e-18 -2.81214938488428e-17 -7.02359719863266e-18
0	0	0 0 0	20 18 20	0	5 4.99375 5	3.09133144429929e-17 1.18594777010969e-16 1.6696035829919e-16
0	0	0 0 0	20 19 20	0	5 4.996875 5	-1.82688066063807e-17 -8.06510891057655e-17 4.01967955449001e-17
0	0	0 0 0	20 20 20	0	5 5 5	0 -1.76081209075224e-16 1.76081209075224e-16
0	0	0 0 0	20 21 20	0	5 5.003125 5	2.90159606411433e-17 1.1028368973251e-17 3.46436475427009e-17
0	0	0 0 0	20 22 20	0	5 5.00625 5	4.99817201515818e-17 4.47233396150271e-18 4.85891979862957e-17
0	0	0 0 0	20 23 20	0	5 5.009375 5	-1.37558150634098e-17 -7.95634988014909e-17 5.77642588709543e-17
0	0	0 0 0	20 24 20	0	5 5.0125 5	1.78622307916987e-17 -2.11622711542014e-17 1.23704079748807e-16
0	0	0 0 0	20 25 20	0	5 5.015625 5	1.52601455777335e-17 7.6819112052387e-17 1.25736958822217e-16
0	0	0 0 0	20 26 20	0	5 5.01875 5	-3.70932668261603e-17 -8.32701149786758e-17 -3.67713943062037e-17
0	0	0 0 0	20 27 20	0	5 5.021875 5	9.81609541914064e-17 -5.42406018103764e-17 1.77141694325186e-16
0	0	0 0 0	20 28 20	0	5 5.025 5	-2.01526078810743e-17 -4.0379754661507e-17 -3.50739402799061e-17
0	0	0 0 0	20 29 20	0	5 5.028125 5	-1.2400562347803e-17 -5.80285331504976e-17 5.64801569229167e-18
0	0	0 0 0	20 30 20	0	5 5.03125 5	3.79741810913048e-17 2.57260846740076e-17 1.51615509426731e-16
0	0	0 0 0	20 31 20	0	5 5.034375 5	8.55164463547942e-18 -1.38669457860896e-16 1.71473349842161e-16
0	0	0 0 0	20 32 20	0	5 5.0375 5	2.28224557308199e-17 7.04731412115578e-18 1.28894697649581e-16
0	0	0 0 0	20 33 20	0	5 5.040625 5	-2.90972758040797e-17 8.84946141973403e-17 -1.51856066783751e-17
0	0	0 0 0	20 34 20	0	5 5.04375 5	-4.49943901581484e-17 -1.89261041734501e-16 -9.36818439663256e-18
0	0	0 0 0	20 35 20	0	5 5.046875 5	-6.54587061638123e-18 4.88636366612061e-17 7.76458162089072e-17
0	0	0 0 0	20 36 20	0	5 5.05 5	2.98426647976635e-17 9.5921399078866e-17 4.30834838291427e-17
0	0	0 0 0	20 37 20	0	5 5.053125 5	-3.50061776441257e-17 -1.14512078205203e-16 7.65480615092656e-17
0	0	0 0 0	20 38 20	0	5 5.05625 5	6.9917487598159e-17 3.06625926906057e-18 1.34871362125408e-16
0	0	0 0 0	20 39 20	0	5 5.059375 5	1.65886325943082e-12 -1.46273635182216e-10 1.55767692117153e-10
0	0	0 0 0	20 40 20	0	5 5.0625 5	1.65886325943082e-12 -1.46273635182216e-10 1.55767692117153e-10


