# 1D ASCII output created by CarpetIOASCII
# created on 127.0.0.1ip-172-30-0-219 by admin on Jun 28 2016 at 21:59:47+0000
# parameter filename: "/home/admin/simulations/GenerateSimulations/One_BH/manybhmid_One_BH_24x25x33.par"
#
# ADMBASE::LAPSE y (admbase-lapse)
#
# iteration 0   time 0
# time level 0
# refinement level 0   multigrid level 0   map 0   component 0
# column format: 1:it	2:tl	3:rl 4:c 5:ml	6:ix 7:iy 8:iz	9:time	10:x 11:y 12:z	13:data
# data columns: 13:alp
0	0	0 0 0	640 0 4	0	0 -0.0125 0	1
0	0	0 0 0	640 1 4	0	0 -0.009375 0	1
0	0	0 0 0	640 2 4	0	0 -0.00625 0	1
0	0	0 0 0	640 3 4	0	0 -0.003125 0	1
0	0	0 0 0	640 4 4	0	0 0 0	1
0	0	0 0 0	640 5 4	0	0 0.003125 0	1
0	0	0 0 0	640 6 4	0	0 0.00625 0	1
0	0	0 0 0	640 7 4	0	0 0.009375 0	1
0	0	0 0 0	640 8 4	0	0 0.0125 0	1


# iteration 1   time 0.00078125
# time level 0
# refinement level 0   multigrid level 0   map 0   component 0
# column format: 1:it	2:tl	3:rl 4:c 5:ml	6:ix 7:iy 8:iz	9:time	10:x 11:y 12:z	13:data
# data columns: 13:alp
1	0	0 0 0	640 0 4	0.00078125	0 -0.0125 0	1
1	0	0 0 0	640 1 4	0.00078125	0 -0.009375 0	1
1	0	0 0 0	640 2 4	0.00078125	0 -0.00625 0	1
1	0	0 0 0	640 3 4	0.00078125	0 -0.003125 0	0
1	0	0 0 0	640 4 4	0.00078125	0 0 0	0
1	0	0 0 0	640 5 4	0.00078125	0 0.003125 0	0
1	0	0 0 0	640 6 4	0.00078125	0 0.00625 0	1
1	0	0 0 0	640 7 4	0.00078125	0 0.009375 0	1
1	0	0 0 0	640 8 4	0.00078125	0 0.0125 0	1


# iteration 2   time 0.0015625
# time level 0
# refinement level 0   multigrid level 0   map 0   component 0
# column format: 1:it	2:tl	3:rl 4:c 5:ml	6:ix 7:iy 8:iz	9:time	10:x 11:y 12:z	13:data
# data columns: 13:alp
2	0	0 0 0	640 0 4	0.0015625	0 -0.0125 0	1
2	0	0 0 0	640 1 4	0.0015625	0 -0.009375 0	1
2	0	0 0 0	640 2 4	0.0015625	0 -0.00625 0	1
2	0	0 0 0	640 3 4	0.0015625	0 -0.003125 0	0
2	0	0 0 0	640 4 4	0.0015625	0 0 0	0
2	0	0 0 0	640 5 4	0.0015625	0 0.003125 0	0
2	0	0 0 0	640 6 4	0.0015625	0 0.00625 0	1
2	0	0 0 0	640 7 4	0.0015625	0 0.009375 0	1
2	0	0 0 0	640 8 4	0.0015625	0 0.0125 0	1


# iteration 3   time 0.00234375
# time level 0
# refinement level 0   multigrid level 0   map 0   component 0
# column format: 1:it	2:tl	3:rl 4:c 5:ml	6:ix 7:iy 8:iz	9:time	10:x 11:y 12:z	13:data
# data columns: 13:alp
3	0	0 0 0	640 0 4	0.00234375	0 -0.0125 0	1
3	0	0 0 0	640 1 4	0.00234375	0 -0.009375 0	1
3	0	0 0 0	640 2 4	0.00234375	0 -0.00625 0	1
3	0	0 0 0	640 3 4	0.00234375	0 -0.003125 0	0
3	0	0 0 0	640 4 4	0.00234375	0 0 0	0
3	0	0 0 0	640 5 4	0.00234375	0 0.003125 0	0
3	0	0 0 0	640 6 4	0.00234375	0 0.00625 0	1
3	0	0 0 0	640 7 4	0.00234375	0 0.009375 0	1
3	0	0 0 0	640 8 4	0.00234375	0 0.0125 0	1


# iteration 4   time 0.003125
# time level 0
# refinement level 0   multigrid level 0   map 0   component 0
# column format: 1:it	2:tl	3:rl 4:c 5:ml	6:ix 7:iy 8:iz	9:time	10:x 11:y 12:z	13:data
# data columns: 13:alp
4	0	0 0 0	640 0 4	0.003125	0 -0.0125 0	1
4	0	0 0 0	640 1 4	0.003125	0 -0.009375 0	1
4	0	0 0 0	640 2 4	0.003125	0 -0.00625 0	1
4	0	0 0 0	640 3 4	0.003125	0 -0.003125 0	0
4	0	0 0 0	640 4 4	0.003125	0 0 0	0
4	0	0 0 0	640 5 4	0.003125	0 0.003125 0	0
4	0	0 0 0	640 6 4	0.003125	0 0.00625 0	1
4	0	0 0 0	640 7 4	0.003125	0 0.009375 0	1
4	0	0 0 0	640 8 4	0.003125	0 0.0125 0	1


# iteration 5   time 0.00390625
# time level 0
# refinement level 0   multigrid level 0   map 0   component 0
# column format: 1:it	2:tl	3:rl 4:c 5:ml	6:ix 7:iy 8:iz	9:time	10:x 11:y 12:z	13:data
# data columns: 13:alp
5	0	0 0 0	640 0 4	0.00390625	0 -0.0125 0	1
5	0	0 0 0	640 1 4	0.00390625	0 -0.009375 0	1
5	0	0 0 0	640 2 4	0.00390625	0 -0.00625 0	1
5	0	0 0 0	640 3 4	0.00390625	0 -0.003125 0	0
5	0	0 0 0	640 4 4	0.00390625	0 0 0	0
5	0	0 0 0	640 5 4	0.00390625	0 0.003125 0	0
5	0	0 0 0	640 6 4	0.00390625	0 0.00625 0	1
5	0	0 0 0	640 7 4	0.00390625	0 0.009375 0	1
5	0	0 0 0	640 8 4	0.00390625	0 0.0125 0	1


