# 1D ASCII output created by CarpetIOASCII
# created on 127.0.0.1ip-172-30-0-219 by admin on Jun 28 2016 at 21:59:47+0000
# parameter filename: "/home/admin/simulations/GenerateSimulations/One_BH/manybhmid_One_BH_24x25x33.par"
#
# ADMBASE::METRIC z (admbase-metric)
#
# iteration 0   time 0
# time level 0
# refinement level 0   multigrid level 0   map 0   component 0
# column format: 1:it	2:tl	3:rl 4:c 5:ml	6:ix 7:iy 8:iz	9:time	10:x 11:y 12:z	13:data
# data columns: 13:gxx 14:gxy 15:gxz 16:gyy 17:gyz 18:gzz
0	0	0 0 0	640 4 0	0	0 0 -0.0125	1.82777414214296 0 0 1.82777414214296 0 1.82777414214296
0	0	0 0 0	640 4 1	0	0 0 -0.009375	1.82794585498746 0 0 1.82794585498746 0 1.82794585498746
0	0	0 0 0	640 4 2	0	0 0 -0.00625	1.82811661525983 0 0 1.82811661525983 0 1.82811661525983
0	0	0 0 0	640 4 3	0	0 0 -0.003125	1.82828642125161 0 0 1.82828642125161 0 1.82828642125161
0	0	0 0 0	640 4 4	0	0 0 0	1.82845527126219 0 0 1.82845527126219 0 1.82845527126219
0	0	0 0 0	640 4 5	0	0 0 0.003125	1.82862316359892 0 0 1.82862316359892 0 1.82862316359892
0	0	0 0 0	640 4 6	0	0 0 0.00625	1.82879009657712 0 0 1.82879009657712 0 1.82879009657712
0	0	0 0 0	640 4 7	0	0 0 0.009375	1.82895606852012 0 0 1.82895606852012 0 1.82895606852012
0	0	0 0 0	640 4 8	0	0 0 0.0125	1.82912107775932 0 0 1.82912107775932 0 1.82912107775932


# iteration 1   time 0.00078125
# time level 0
# refinement level 0   multigrid level 0   map 0   component 0
# column format: 1:it	2:tl	3:rl 4:c 5:ml	6:ix 7:iy 8:iz	9:time	10:x 11:y 12:z	13:data
# data columns: 13:gxx 14:gxy 15:gxz 16:gyy 17:gyz 18:gzz
1	0	0 0 0	640 4 0	0.00078125	0 0 -0.0125	1.82777414214296 0 0 1.82777414214296 0 1.82777414214296
1	0	0 0 0	640 4 1	0.00078125	0 0 -0.009375	1.82794585498746 0 0 1.82794585498746 0 1.82794585498746
1	0	0 0 0	640 4 2	0.00078125	0 0 -0.00625	1.82811661525983 0 0 1.82811661525983 0 1.82811661525983
1	0	0 0 0	640 4 3	0.00078125	0 0 -0.003125	-nan -nan -nan -nan -nan -nan
1	0	0 0 0	640 4 4	0.00078125	0 0 0	-nan -nan -nan -nan -nan -nan
1	0	0 0 0	640 4 5	0.00078125	0 0 0.003125	-nan -nan -nan -nan -nan -nan
1	0	0 0 0	640 4 6	0.00078125	0 0 0.00625	1.82879009657712 0 0 1.82879009657712 0 1.82879009657712
1	0	0 0 0	640 4 7	0.00078125	0 0 0.009375	1.82895606852012 0 0 1.82895606852012 0 1.82895606852012
1	0	0 0 0	640 4 8	0.00078125	0 0 0.0125	1.82912107775932 0 0 1.82912107775932 0 1.82912107775932


# iteration 2   time 0.0015625
# time level 0
# refinement level 0   multigrid level 0   map 0   component 0
# column format: 1:it	2:tl	3:rl 4:c 5:ml	6:ix 7:iy 8:iz	9:time	10:x 11:y 12:z	13:data
# data columns: 13:gxx 14:gxy 15:gxz 16:gyy 17:gyz 18:gzz
2	0	0 0 0	640 4 0	0.0015625	0 0 -0.0125	1.82777414214296 0 0 1.82777414214296 0 1.82777414214296
2	0	0 0 0	640 4 1	0.0015625	0 0 -0.009375	1.82794585498746 0 0 1.82794585498746 0 1.82794585498746
2	0	0 0 0	640 4 2	0.0015625	0 0 -0.00625	1.82811661525983 0 0 1.82811661525983 0 1.82811661525983
2	0	0 0 0	640 4 3	0.0015625	0 0 -0.003125	-nan -nan -nan -nan -nan -nan
2	0	0 0 0	640 4 4	0.0015625	0 0 0	-nan -nan -nan -nan -nan -nan
2	0	0 0 0	640 4 5	0.0015625	0 0 0.003125	-nan -nan -nan -nan -nan -nan
2	0	0 0 0	640 4 6	0.0015625	0 0 0.00625	1.82879009657712 0 0 1.82879009657712 0 1.82879009657712
2	0	0 0 0	640 4 7	0.0015625	0 0 0.009375	1.82895606852012 0 0 1.82895606852012 0 1.82895606852012
2	0	0 0 0	640 4 8	0.0015625	0 0 0.0125	1.82912107775932 0 0 1.82912107775932 0 1.82912107775932


# iteration 3   time 0.00234375
# time level 0
# refinement level 0   multigrid level 0   map 0   component 0
# column format: 1:it	2:tl	3:rl 4:c 5:ml	6:ix 7:iy 8:iz	9:time	10:x 11:y 12:z	13:data
# data columns: 13:gxx 14:gxy 15:gxz 16:gyy 17:gyz 18:gzz
3	0	0 0 0	640 4 0	0.00234375	0 0 -0.0125	1.82777414214296 0 0 1.82777414214296 0 1.82777414214296
3	0	0 0 0	640 4 1	0.00234375	0 0 -0.009375	1.82794585498746 0 0 1.82794585498746 0 1.82794585498746
3	0	0 0 0	640 4 2	0.00234375	0 0 -0.00625	1.82811661525983 0 0 1.82811661525983 0 1.82811661525983
3	0	0 0 0	640 4 3	0.00234375	0 0 -0.003125	-nan -nan -nan -nan -nan -nan
3	0	0 0 0	640 4 4	0.00234375	0 0 0	-nan -nan -nan -nan -nan -nan
3	0	0 0 0	640 4 5	0.00234375	0 0 0.003125	-nan -nan -nan -nan -nan -nan
