# 1D ASCII output created by CarpetIOASCII
# created on 127.0.0.1ip-172-30-0-219 by admin on Jun 28 2016 at 22:00:06+0000
# parameter filename: "/home/admin/simulations/GenerateSimulations/One_BH/manybhmid_One_BH_32x33x41.par"
#
# ADMCONSTRAINTS::MOMENTUM y (admconstraints-momentum)
#
# iteration 0   time 0
# time level 0
# refinement level 0   multigrid level 0   map 0   component 0
# column format: 1:it	2:tl	3:rl 4:c 5:ml	6:ix 7:iy 8:iz	9:time	10:x 11:y 12:z	13:data
# data columns: 13:momx 14:momy 15:momz
0	0	0 0 0	640 0 4	0	0 -0.0125 0	-1.64928520059865e-12 -5.61442583190633e-09 5.71913617223967e-09
0	0	0 0 0	640 1 4	0	0 -0.009375 0	-1.64928520059865e-12 -5.61442583190633e-09 5.71913617223967e-09
0	0	0 0 0	640 2 4	0	0 -0.00625 0	1.41488383509358e-17 3.82051161540442e-15 -3.84664088776132e-15
0	0	0 0 0	640 3 4	0	0 -0.003125 0	3.8597597340484e-17 3.77866141154648e-15 -3.86734914925579e-15
0	0	0 0 0	640 4 4	0	0 0 0	0 3.86387970230384e-15 -3.86387970230384e-15
0	0	0 0 0	640 5 4	0	0 0.003125 0	8.87961579265628e-17 3.97045677585917e-15 -3.86756598969029e-15
0	0	0 0 0	640 6 4	0	0 0.00625 0	1.16551733542192e-16 3.9265465878735e-15 -3.814223242804e-15
0	0	0 0 0	640 7 4	0	0 0.009375 0	1.57472876427013e-12 -5.6898741922478e-09 5.58370419356542e-09
0	0	0 0 0	640 8 4	0	0 0.0125 0	1.57472876427013e-12 -5.6898741922478e-09 5.58370419356542e-09


# iteration 1   time 0.00078125
# time level 0
# refinement level 0   multigrid level 0   map 0   component 0
# column format: 1:it	2:tl	3:rl 4:c 5:ml	6:ix 7:iy 8:iz	9:time	10:x 11:y 12:z	13:data
# data columns: 13:momx 14:momy 15:momz
1	0	0 0 0	640 0 4	0.00078125	0 -0.0125 0	-1.64928520059865e-12 -5.61442583190633e-09 5.7191361713723e-09
1	0	0 0 0	640 1 4	0.00078125	0 -0.009375 0	-1.64928520059865e-12 -5.61442583190633e-09 5.7191361713723e-09
1	0	0 0 0	640 2 4	0.00078125	0 -0.00625 0	-nan -nan -nan
1	0	0 0 0	640 3 4	0.00078125	0 -0.003125 0	-nan -nan -nan
1	0	0 0 0	640 4 4	0.00078125	0 0 0	-nan -nan -nan
1	0	0 0 0	640 5 4	0.00078125	0 0.003125 0	-nan -nan -nan
1	0	0 0 0	640 6 4	0.00078125	0 0.00625 0	-nan -nan -nan
1	0	0 0 0	640 7 4	0.00078125	0 0.009375 0	1.57472876427013e-12 -5.68987419138044e-09 5.58370419356542e-09
1	0	0 0 0	640 8 4	0.00078125	0 0.0125 0	1.57472876427013e-12 -5.68987419138044e-09 5.58370419356542e-09


# iteration 2   time 0.0015625
# time level 0
# refinement level 0   multigrid level 0   map 0   component 0
# column format: 1:it	2:tl	3:rl 4:c 5:ml	6:ix 7:iy 8:iz	9:time	10:x 11:y 12:z	13:data
# data columns: 13:momx 14:momy 15:momz
2	0	0 0 0	640 0 4	0.0015625	0 -0.0125 0	-1.64928520059865e-12 -5.61442583190633e-09 5.71913617093862e-09
2	0	0 0 0	640 1 4	0.0015625	0 -0.009375 0	-1.64928520059865e-12 -5.61442583190633e-09 5.71913617093862e-09
2	0	0 0 0	640 2 4	0.0015625	0 -0.00625 0	-nan -nan -nan
2	0	0 0 0	640 3 4	0.0015625	0 -0.003125 0	-nan -nan -nan
2	0	0 0 0	640 4 4	0.0015625	0 0 0	-nan -nan -nan
2	0	0 0 0	640 5 4	0.0015625	0 0.003125 0	-nan -nan -nan
2	0	0 0 0	640 6 4	0.0015625	0 0.00625 0	-nan -nan -nan
2	0	0 0 0	640 7 4	0.0015625	0 0.009375 0	1.57472876427013e-12 -5.68987419094676e-09 5.58370419356542e-09
2	0	0 0 0	640 8 4	0.0015625	0 0.0125 0	1.57472876427013e-12 -5.68987419094676e-09 5.58370419356542e-09


# iteration 3   time 0.00234375
# time level 0
# refinement level 0   multigrid level 0   map 0   component 0
# column format: 1:it	2:tl	3:rl 4:c 5:ml	6:ix 7:iy 8:iz	9:time	10:x 11:y 12:z	13:data
# data columns: 13:momx 14:momy 15:momz
3	0	0 0 0	640 0 4	0.00234375	0 -0.0125 0	-1.64928520059865e-12 -5.61442583190633e-09 5.71913617072178e-09
3	0	0 0 0	640 1 4	0.00234375	0 -0.009375 0	-1.64928520059865e-12 -5.61442583190633e-09 5.71913617072178e-09
3	0	0 0 0	640 2 4	0.00234375	0 -0.00625 0	-nan -nan -nan
3	0	0 0 0	640 3 4	0.00234375	0 -0.003125 0	-nan -nan -nan
3	0	0 0 0	640 4 4	0.00234375	0 0 0	-nan -nan -nan
3	0	0 0 0	640 5 4	0.00234375	0 0.003125 0	-nan -nan -nan
3	0	0 0 0	640 6 4	0.00234375	0 0.00625 0	-nan -nan -nan
3	0	0 0 0	640 7 4	0.00234375	0 0.009375 0	1.57472876427013e-12 -5.68987419072992e-09 5.58370419356542e-09
3	0	0 0 0	640 8 4	0.00234375	0 0.0125 0	1.57472876427013e-12 -5.68987419072992e-09 5.58370419356542e-09


# iteration 4   time 0.003125
# time level 0
# refinement level 0   multigrid level 0   map 0   component 0
# column format: 1:it	2:tl	3:rl 4:c 5:ml	6:ix 7:iy 8:iz	9:time	10:x 11:y 12:z	13:data
# data columns: 13:momx 14:momy 15:momz
4	0	0 0 0	640 0 4	0.003125	0 -0.0125 0	-1.64928520059865e-12 -5.61442583190633e-09 5.71913617061336e-09
4	0	0 0 0	640 1 4	0.003125	0 -0.009375 0	-1.64928520059865e-12 -5.61442583190633e-09 5.71913617061336e-09
4	0	0 0 0	640 2 4	0.003125	0 -0.00625 0	-nan -nan -nan
4	0	0 0 0	640 3 4	0.003125	0 -0.003125 0	-nan -nan -nan
4	0	0 0 0	640 4 4	0.003125	0 0 0	-nan -nan -nan
4	0	0 0 0	640 5 4	0.003125	0 0.003125 0	-nan -nan -nan
4	0	0 0 0	640 6 4	0.003125	0 0.00625 0	-nan -nan -nan
4	0	0 0 0	640 7 4	0.003125	0 0.009375 0	1.57472876427013e-12 -5.68987419040465e-09 5.58370419356542e-09
4	0	0 0 0	640 8 4	0.003125	0 0.0125 0	1.57472876427013e-12 -5.68987419040465e-09 5.58370419356542e-09


# iteration 5   time 0.00390625
# time level 0
# refinement level 0   multigrid level 0   map 0   component 0
# column format: 1:it	2:tl	3:rl 4:c 5:ml	6:ix 7:iy 8:iz	9:time	10:x 11:y 12:z	13:data
# data columns: 13:momx 14:momy 15:momz
5	0	0 0 0	640 0 4	0.00390625	0 -0.0125 0	-1.64928520059865e-12 -5.61442583190633e-09 5.71913617050494e-09
5	0	0 0 0	640 1 4	0.00390625	0 -0.009375 0	-1.64928520059865e-12 -5.61442583190633e-09 5.71913617050494e-09
5	0	0 0 0	640 2 4	0.00390625	0 -0.00625 0	-nan -nan -nan
5	0	0 0 0	640 3 4	0.00390625	0 -0.003125 0	-nan -nan -nan
5	0	0 0 0	640 4 4	0.00390625	0 0 0	-nan -nan -nan
5	0	0 0 0	640 5 4	0.00390625	0 0.003125 0	-nan -nan -nan
5	0	0 0 0	640 6 4	0.00390625	0 0.00625 0	-nan -nan -nan
5	0	0 0 0	640 7 4	0.00390625	0 0.009375 0	1.57472876427013e-12 -5.68987419040465e-09 5.58370419356542e-09
5	0	0 0 0	640 8 4	0.00390625	0 0.0125 0	1.57472876427013e-12 -5.68987419040465e-09 5.58370419356542e-09


