# 1D ASCII output created by CarpetIOASCII
# created on 127.0.0.1ip-172-30-0-219 by admin on Jun 28 2016 at 22:00:35+0000
# parameter filename: "/home/admin/simulations/GenerateSimulations/One_BH/twopunfar_One_BH_20.par"
#
# ADMCONSTRAINTS::HAMILTONIAN z (admconstraints-hamiltonian)
#
# iteration 0   time 0
# time level 0
# refinement level 0   multigrid level 0   map 0   component 0
# column format: 1:it	2:tl	3:rl 4:c 5:ml	6:ix 7:iy 8:iz	9:time	10:x 11:y 12:z	13:data
# data columns: 13:ham
0	0	0 0 0	20 20 0	0	5 5 4.9375	8.76126206149259e-10
0	0	0 0 0	20 20 1	0	5 5 4.940625	8.76126206149259e-10
0	0	0 0 0	20 20 2	0	5 5 4.94375	-1.22582003637503e-10
0	0	0 0 0	20 20 3	0	5 5 4.946875	-1.07977746320377e-09
0	0	0 0 0	20 20 4	0	5 5 4.95	6.09544055481548e-10
0	0	0 0 0	20 20 5	0	5 5 4.953125	-1.37847842522543e-09
0	0	0 0 0	20 20 6	0	5 5 4.95625	-3.16653189204e-10
0	0	0 0 0	20 20 7	0	5 5 4.959375	-6.58267904381439e-10
0	0	0 0 0	20 20 8	0	5 5 4.9625	-4.81460620288544e-10
0	0	0 0 0	20 20 9	0	5 5 4.965625	-4.02124283310821e-11
0	0	0 0 0	20 20 10	0	5 5 4.96875	-6.01410142813009e-10
0	0	0 0 0	20 20 11	0	5 5 4.971875	-3.43235794352525e-10
0	0	0 0 0	20 20 12	0	5 5 4.975	-2.79543340292188e-10
0	0	0 0 0	20 20 13	0	5 5 4.978125	-6.64854690394042e-10
0	0	0 0 0	20 20 14	0	5 5 4.98125	2.22688836047507e-10
0	0	0 0 0	20 20 15	0	5 5 4.984375	-8.61460173635108e-10
0	0	0 0 0	20 20 16	0	5 5 4.9875	1.87165160755673e-10
0	0	0 0 0	20 20 17	0	5 5 4.990625	-2.87461393646452e-11
0	0	0 0 0	20 20 18	0	5 5 4.99375	-1.25746622261949e-09
0	0	0 0 0	20 20 19	0	5 5 4.996875	-8.12048275810163e-10
0	0	0 0 0	20 20 20	0	5 5 5	3.89507405660361e-11
0	0	0 0 0	20 20 21	0	5 5 5.003125	-4.3072804139514e-10
0	0	0 0 0	20 20 22	0	5 5 5.00625	-5.48001316563519e-10
0	0	0 0 0	20 20 23	0	5 5 5.009375	-7.70608863172056e-10
0	0	0 0 0	20 20 24	0	5 5 5.0125	-4.90410137150918e-10
0	0	0 0 0	20 20 25	0	5 5 5.015625	-1.65324177286761e-10
0	0	0 0 0	20 20 26	0	5 5 5.01875	-9.64706130008124e-10
0	0	0 0 0	20 20 27	0	5 5 5.021875	-1.46835736657531e-10
0	0	0 0 0	20 20 28	0	5 5 5.025	-1.06562656790664e-09
0	0	0 0 0	20 20 29	0	5 5 5.028125	-3.18041225225246e-10
0	0	0 0 0	20 20 30	0	5 5 5.03125	1.6413017311651e-10
0	0	0 0 0	20 20 31	0	5 5 5.034375	-8.91453061725812e-10
0	0	0 0 0	20 20 32	0	5 5 5.0375	-3.84871359499201e-10
0	0	0 0 0	20 20 33	0	5 5 5.040625	-2.99893236766837e-10
0	0	0 0 0	20 20 34	0	5 5 5.04375	1.25153472753316e-10
0	0	0 0 0	20 20 35	0	5 5 5.046875	-1.14588212757457e-09
0	0	0 0 0	20 20 36	0	5 5 5.05	-2.47499824853336e-10
0	0	0 0 0	20 20 37	0	5 5 5.053125	-9.46142784963167e-10
0	0	0 0 0	20 20 38	0	5 5 5.05625	-8.75121954949102e-11
0	0	0 0 0	20 20 39	0	5 5 5.059375	1.87607296554594e-09
0	0	0 0 0	20 20 40	0	5 5 5.0625	1.87607296554594e-09


