# 1D ASCII output created by CarpetIOASCII
# created on 127.0.0.1ip-172-30-0-219 by admin on Jun 28 2016 at 21:50:01+0000
# parameter filename: "/home/admin/simulations/GenerateSimulations/One_BH/twopunmid_One_BH_30.par"
#
# ADMCONSTRAINTS::MOMENTUM x (admconstraints-momentum)
#
# iteration 0   time 0
# time level 0
# refinement level 0   multigrid level 0   map 0   component 0
# column format: 1:it	2:tl	3:rl 4:c 5:ml	6:ix 7:iy 8:iz	9:time	10:x 11:y 12:z	13:data
# data columns: 13:momx 14:momy 15:momz
0	0	0 0 0	0 4 4	0	-2 0 0	0 0 2.53200465752886e-24
0	0	0 0 0	1 4 4	0	-1.996875 0 0	0 0 2.53200465752886e-24
0	0	0 0 0	2 4 4	0	-1.99375 0 0	0 4.23572464133652e-24 -5.08286956960382e-24
0	0	0 0 0	3 4 4	0	-1.990625 0 0	0 3.40112942308061e-24 -2.55084706731046e-24
0	0	0 0 0	4 4 4	0	-1.9875 0 0	0 5.97389674184949e-24 -5.12048292158528e-24
0	0	0 0 0	5 4 4	0	-1.984375 0 0	0 3.42615722943134e-24 -4.28269653678918e-24
0	0	0 0 0	6 4 4	0	-1.98125 0 0	0 5.15795281809988e-24 -2.57897640904994e-24
0	0	0 0 0	7 4 4	0	-1.978125 0 0	0 2.58831688067571e-24 -5.17663376135143e-24
0	0	0 0 0	8 4 4	0	-1.975 0 0	0 1.73175953129784e-24 2.59763929694676e-24
0	0	0 0 0	9 4 4	0	-1.971875 0 0	0 0 -8.68981206295546e-25
0	0	0 0 0	10 4 4	0	-1.96875 0 0	0 6.97661282275244e-24 -4.36038301422028e-24
0	0	0 0 0	11 4 4	0	-1.965625 0 0	0 1.75033188594616e-24 2.62549782891925e-24
0	0	0 0 0	12 4 4	0	-1.9625 0 0	0 5.2694952881377e-24 -2.63474764406885e-24
0	0	0 0 0	13 4 4	0	-1.959375 0 0	0 2.64397921897322e-24 8.81326406324406e-25
0	0	0 0 0	14 4 4	0	-1.95625 0 0	0 4.42198753263699e-24 -2.65319251958219e-24
0	0	0 0 0	15 4 4	0	-1.953125 0 0	0 3.549850017053e-24 3.549850017053e-24
0	0	0 0 0	16 4 4	0	-1.95 0 0	0 5.34312833284142e-24 -8.90521388806903e-25
0	0	0 0 0	17 4 4	0	-1.946875 0 0	0 2.68072244921756e-24 -2.68072244921756e-24
0	0	0 0 0	18 4 4	0	-1.94375 0 0	0 2.68986233082754e-24 -3.58648310777005e-24
0	0	0 0 0	19 4 4	0	-1.940625 0 0	0 3.59864504238641e-24 -4.49830630298301e-24
0	0	0 0 0	20 4 4	0	-1.9375 0 0	0 2.7080867735228e-24 -2.7080867735228e-24
0	0	0 0 0	21 4 4	0	-1.934375 0 0	0 5.43434255662352e-24 -1.81144751887451e-24
