# 1D ASCII output created by CarpetIOASCII
# created on 127.0.0.1ip-172-30-0-219 by admin on Jun 28 2016 at 21:35:36+0000
# parameter filename: "/home/admin/simulations/GenerateSimulations/One_BH/twopunnear_One_BH_20.par"
#
# ADMBASE::CURV z (admbase-curv)
#
# iteration 0   time 0
# time level 0
# refinement level 0   multigrid level 0   map 0   component 0
# column format: 1:it	2:tl	3:rl 4:c 5:ml	6:ix 7:iy 8:iz	9:time	10:x 11:y 12:z	13:data
# data columns: 13:kxx 14:kxy 15:kxz 16:kyy 17:kyz 18:kzz
0	0	0 0 0	20 20 0	0	3 0.5 0.4375	-8.78407827328465e-18 0 0 -0.30038544612559 0.0402301936775345 0.300385446125591
0	0	0 0 0	20 20 1	0	3 0.5 0.440625	0 0 0 -0.29863851617093 0.0378526966751229 0.29863851617093
0	0	0 0 0	20 20 2	0	3 0.5 0.44375	0 0 0 -0.296882013024816 0.0355160788468948 0.296882013024816
0	0	0 0 0	20 20 3	0	3 0.5 0.446875	0 0 0 -0.295116640200688 0.0332199697044088 0.295116640200688
0	0	0 0 0	20 20 4	0	3 0.5 0.45	0 0 0 -0.2933430839382 0.0309639921934767 0.2933430839382
0	0	0 0 0	20 20 5	0	3 0.5 0.453125	-8.56386816341544e-18 0 0 -0.291562013382181 0.0287477631729198 0.291562013382181
0	0	0 0 0	20 20 6	0	3 0.5 0.45625	0 0 0 -0.289774080769306 0.0265708938787608 0.289774080769306
0	0	0 0 0	20 20 7	0	3 0.5 0.459375	0 0 0 -0.287979921621876 0.0244329903739989 0.287979921621876
0	0	0 0 0	20 20 8	0	3 0.5 0.4625	0 0 0 -0.286180154948156 0.0223336539841297 0.286180154948156
0	0	0 0 0	20 20 9	0	3 0.5 0.465625	0 0 0 -0.284375383448722 0.0202724817185865 0.284375383448722
0	0	0 0 0	20 20 10	0	3 0.5 0.46875	0 0 0 -0.282566193728295 0.0182490666782857 0.282566193728295
0	0	0 0 0	20 20 11	0	3 0.5 0.471875	-1.66170143759315e-17 0 0 -0.28075315651256 0.0162629984494755 0.28075315651256
0	0	0 0 0	20 20 12	0	3 0.5 0.475	4.1334471379734e-18 0 0 -0.278936826869483 0.0143138634840919 0.278936826869483
0	0	0 0 0	20 20 13	0	3 0.5 0.478125	0 0 0 -0.277117744434665 0.0124012454668372 0.277117744434665
0	0	0 0 0	20 20 14	0	3 0.5 0.48125	-1.63689612604023e-17 0 0 -0.275296433640286 0.0105247256692025 0.275296433640286
0	0	0 0 0	20 20 15	0	3 0.5 0.484375	0 0 0 -0.27347340394721 0.00868388329066241 0.27347340394721
0	0	0 0 0	20 20 16	0	3 0.5 0.4875	-1.62062975489337e-17 0 0 -0.271649150079855 0.00687829578727841 0.271649150079855
0	0	0 0 0	20 20 17	0	3 0.5 0.490625	0 0 0 -0.269824152263416 0.00510753918794802 0.269824152263416
0	0	0 0 0	20 20 18	0	3 0.5 0.49375	0 0 0 -0.267998876463089 0.00337118839854681 0.267998876463089
0	0	0 0 0	20 20 19	0	3 0.5 0.496875	0 0 0 -0.266173774624932 0.00166881749420898 0.266173774624932
0	0	0 0 0	20 20 20	0	3 0.5 0.5	0 0 0 -0.264349284918021 0 0.264349284918021
0	0	0 0 0	20 20 21	0	3 0.5 0.503125	0 0 0 -0.262525831977586 -0.0016356908397672 0.262525831977586
0	0	0 0 0	20 20 22	0	3 0.5 0.50625	0 0 0 -0.260703827148819 -0.0032386818033148 0.260703827148819
0	0	0 0 0	20 20 23	0	3 0.5 0.509375	0 0 0 -0.258883668731055 -0.00480939944402592 0.258883668731055
0	0	0 0 0	20 20 24	0	3 0.5 0.5125	0 0 0 -0.257065742222066 -0.00634826985365467 0.257065742222066
0	0	0 0 0	20 20 25	0	3 0.5 0.515625	0 0 0 -0.255250420562192 -0.00785571843586291 0.255250420562192
0	0	0 0 0	20 20 26	0	3 0.5 0.51875	0 0 0 -0.253438064378071 -0.0093321696898251 0.253438064378071
0	0	0 0 0	20 20 27	0	3 0.5 0.521875	7.67501375868228e-18 0 0 -0.251629022225731 -0.0107780470036433 0.251629022225731
0	0	0 0 0	20 20 28	0	3 0.5 0.525	0 0 0 -0.249823630832825 -0.0121937724573165 0.249823630832825
0	0	0 0 0	20 20 29	0	3 0.5 0.528125	0 0 0 -0.248022215339811 -0.013579766635007 0.248022215339811
0	0	0 0 0	20 20 30	0	3 0.5 0.53125	0 0 0 -0.246225089539859 -0.0149364484463518 0.246225089539859
0	0	0 0 0	20 20 31	0	3 0.5 0.534375	-6.16297582203915e-33 0 0 -0.244432556117339 -0.0162642349565649 0.244432556117339
0	0	0 0 0	20 20 32	0	3 0.5 0.5375	7.49098146674081e-18 0 0 -0.242644906884678 -0.0175635412250828 0.242644906884678
0	0	0 0 0	20 20 33	0	3 0.5 0.540625	0 0 0 -0.240862423017466 -0.0188347801525038 0.240862423017466
0	0	0 0 0	20 20 34	0	3 0.5 0.54375	-7.41918164490368e-18 0 0 -0.239085375287631 -0.0200783623355776 0.239085375287631
0	0	0 0 0	20 20 35	0	3 0.5 0.546875	0 0 0 -0.237314024294569 -0.0212946959300037 0.237314024294569
0	0	0 0 0	20 20 36	0	3 0.5 0.55	-7.34840498990188e-18 0 0 -0.235548620694077 -0.0224841865207983 0.235548620694078
0	0	0 0 0	20 20 37	0	3 0.5 0.553125	7.31339747765116e-18 0 0 -0.233789405424998 -0.0236472369999966 0.233789405424997
0	0	0 0 0	20 20 38	0	3 0.5 0.55625	0 0 0 -0.232036609933437 -0.0247842474514577 0.232036609933437
0	0	0 0 0	20 20 39	0	3 0.5 0.559375	7.24413810575772e-18 0 0 -0.230290456394484 -0.0258956150425431 0.230290456394484
0	0	0 0 0	20 20 40	0	3 0.5 0.5625	0 0 0 -0.228551157931312 -0.0269817339224466 0.228551157931312


