# 1D ASCII output created by CarpetIOASCII
# created on 127.0.0.1ip-172-30-0-219 by admin on Jun 28 2016 at 21:35:36+0000
# parameter filename: "/home/admin/simulations/GenerateSimulations/One_BH/twopunnear_One_BH_20.par"
#
# ADMCONSTRAINTS::HAMILTONIAN x (admconstraints-hamiltonian)
#
# iteration 0   time 0
# time level 0
# refinement level 0   multigrid level 0   map 0   component 0
# column format: 1:it	2:tl	3:rl 4:c 5:ml	6:ix 7:iy 8:iz	9:time	10:x 11:y 12:z	13:data
# data columns: 13:ham
0	0	0 0 0	0 20 20	0	2.9375 0.5 0.5	1.60401047121026e-05
0	0	0 0 0	1 20 20	0	2.940625 0.5 0.5	1.60401047121026e-05
0	0	0 0 0	2 20 20	0	2.94375 0.5 0.5	2.62411532856192e-06
0	0	0 0 0	3 20 20	0	2.946875 0.5 0.5	2.55671023339892e-06
0	0	0 0 0	4 20 20	0	2.95 0.5 0.5	2.48875755543302e-06
0	0	0 0 0	5 20 20	0	2.953125 0.5 0.5	2.42023385915355e-06
0	0	0 0 0	6 20 20	0	2.95625 0.5 0.5	2.35143439783416e-06
0	0	0 0 0	7 20 20	0	2.959375 0.5 0.5	2.28224675079833e-06
0	0	0 0 0	8 20 20	0	2.9625 0.5 0.5	2.21275393911743e-06
0	0	0 0 0	9 20 20	0	2.965625 0.5 0.5	2.14313727134102e-06
0	0	0 0 0	10 20 20	0	2.96875 0.5 0.5	2.07343969595738e-06
0	0	0 0 0	11 20 20	0	2.971875 0.5 0.5	2.00360036963442e-06
0	0	0 0 0	12 20 20	0	2.975 0.5 0.5	1.93374234109742e-06
0	0	0 0 0	13 20 20	0	2.978125 0.5 0.5	1.86408108617301e-06
0	0	0 0 0	14 20 20	0	2.98125 0.5 0.5	1.79467150095407e-06
0	0	0 0 0	15 20 20	0	2.984375 0.5 0.5	1.72533647686802e-06
0	0	0 0 0	16 20 20	0	2.9875 0.5 0.5	1.65639307298871e-06
0	0	0 0 0	17 20 20	0	2.990625 0.5 0.5	1.5877729439783e-06
0	0	0 0 0	18 20 20	0	2.99375 0.5 0.5	1.51968425583533e-06
0	0	0 0 0	19 20 20	0	2.996875 0.5 0.5	1.45206096872257e-06
0	0	0 0 0	20 20 20	0	3 0.5 0.5	1.38502027011633e-06
0	0	0 0 0	21 20 20	0	3.003125 0.5 0.5	1.31853849906103e-06
0	0	0 0 0	22 20 20	0	3.00625 0.5 0.5	1.25292387233408e-06
0	0	0 0 0	23 20 20	0	3.009375 0.5 0.5	1.18787918517837e-06
0	0	0 0 0	24 20 20	0	3.0125 0.5 0.5	1.12383953655877e-06
0	0	0 0 0	25 20 20	0	3.015625 0.5 0.5	1.06060211455287e-06
0	0	0 0 0	26 20 20	0	3.01875 0.5 0.5	9.98344008424929e-07
0	0	0 0 0	27 20 20	0	3.021875 0.5 0.5	9.3691472957051e-07
0	0	0 0 0	28 20 20	0	3.025 0.5 0.5	8.76625281597682e-07
0	0	0 0 0	29 20 20	0	3.028125 0.5 0.5	8.17467428092938e-07
0	0	0 0 0	30 20 20	0	3.03125 0.5 0.5	7.59395296974323e-07
0	0	0 0 0	31 20 20	0	3.034375 0.5 0.5	7.02497437680017e-07
0	0	0 0 0	32 20 20	0	3.0375 0.5 0.5	6.46877575724092e-07
0	0	0 0 0	33 20 20	0	3.040625 0.5 0.5	5.92411352487226e-07
0	0	0 0 0	34 20 20	0	3.04375 0.5 0.5	5.3939320059245e-07
0	0	0 0 0	35 20 20	0	3.046875 0.5 0.5	4.87595253794576e-07
0	0	0 0 0	36 20 20	0	3.05 0.5 0.5	4.37313460258017e-07
0	0	0 0 0	37 20 20	0	3.053125 0.5 0.5	3.88392513699532e-07
0	0	0 0 0	38 20 20	0	3.05625 0.5 0.5	3.40992251705863e-07
0	0	0 0 0	39 20 20	0	3.059375 0.5 0.5	1.36632688819602e-05
0	0	0 0 0	40 20 20	0	3.0625 0.5 0.5	1.36632688819602e-05


