# 1D ASCII output created by CarpetIOASCII
# created on 127.0.0.1ip-172-30-0-219 by admin on Jun 28 2016 at 21:35:36+0000
# parameter filename: "/home/admin/simulations/GenerateSimulations/One_BH/twopunnear_One_BH_20.par"
#
# ADMCONSTRAINTS::MOMENTUM z (admconstraints-momentum)
#
# iteration 0   time 0
# time level 0
# refinement level 0   multigrid level 0   map 0   component 0
# column format: 1:it	2:tl	3:rl 4:c 5:ml	6:ix 7:iy 8:iz	9:time	10:x 11:y 12:z	13:data
# data columns: 13:momx 14:momy 15:momz
0	0	0 0 0	20 20 0	0	3 0.5 0.4375	0 -2.0149422896628e-06 5.37882888759604e-06
0	0	0 0 0	20 20 1	0	3 0.5 0.440625	0 -2.0149422896628e-06 5.37882888759604e-06
0	0	0 0 0	20 20 2	0	3 0.5 0.44375	1.31405303305243e-16 1.9115806593889e-10 -2.04043185993152e-10
0	0	0 0 0	20 20 3	0	3 0.5 0.446875	0 1.88766181505318e-10 -2.00895639533571e-10
0	0	0 0 0	20 20 4	0	3 0.5 0.45	0 1.86394670531609e-10 -1.97762944041668e-10
0	0	0 0 0	20 20 5	0	3 0.5 0.453125	1.0842021724855e-19 1.84037279339633e-10 -1.94648376410089e-10
0	0	0 0 0	20 20 6	0	3 0.5 0.45625	0 1.81694624623585e-10 -1.91555583894942e-10
0	0	0 0 0	20 20 7	0	3 0.5 0.459375	0 1.79374467536297e-10 -1.88489535611625e-10
0	0	0 0 0	20 20 8	0	3 0.5 0.4625	0 1.77072997757655e-10 -1.85440648080293e-10
0	0	0 0 0	20 20 9	0	3 0.5 0.465625	0 1.74789046084034e-10 -1.82417946199831e-10
0	0	0 0 0	20 20 10	0	3 0.5 0.46875	0 1.72519054597586e-10 -1.79425386007126e-10
0	0	0 0 0	20 20 11	0	3 0.5 0.471875	-1.09905574224856e-15 1.70274724008157e-10 -1.76442477815841e-10
0	0	0 0 0	20 20 12	0	3 0.5 0.475	1.0842021724855e-19 1.68046523744969e-10 -1.73501303601942e-10
0	0	0 0 0	20 20 13	0	3 0.5 0.478125	0 1.65841946946077e-10 -1.70586465092493e-10
0	0	0 0 0	20 20 14	0	3 0.5 0.48125	-1.11542719505309e-15 1.63651909731999e-10 -1.67681849308488e-10
0	0	0 0 0	20 20 15	0	3 0.5 0.484375	0 1.61481750714232e-10 -1.64823697225425e-10
0	0	0 0 0	20 20 16	0	3 0.5 0.4875	0 1.59338780884866e-10 -1.61992221719975e-10
0	0	0 0 0	20 20 17	0	3 0.5 0.490625	1.41488383509358e-16 1.57206947980215e-10 -1.59180417111382e-10
0	0	0 0 0	20 20 18	0	3 0.5 0.49375	0 1.55097054123365e-10 -1.56407973378458e-10
0	0	0 0 0	20 20 19	0	3 0.5 0.496875	0 1.53009287531813e-10 -1.5366499652586e-10
0	0	0 0 0	20 20 20	0	3 0.5 0.5	0 1.5094397780302e-10 -1.5094397780302e-10
0	0	0 0 0	20 20 21	0	3 0.5 0.503125	0 1.48900839574972e-10 -1.48259542663565e-10
0	0	0 0 0	20 20 22	0	3 0.5 0.50625	0 1.4687523593182e-10 -1.45607267562631e-10
0	0	0 0 0	20 20 23	0	3 0.5 0.509375	-1.45933612416549e-16 1.44872936563845e-10 -1.42984751642927e-10
0	0	0 0 0	20 20 24	0	3 0.5 0.5125	-1.17234780910858e-15 1.4289163342146e-10 -1.40392449402005e-10
0	0	0 0 0	20 20 25	0	3 0.5 0.515625	0 1.40926837907673e-10 -1.37838331894236e-10
0	0	0 0 0	20 20 26	0	3 0.5 0.51875	0 1.38978884824115e-10 -1.3530602506473e-10
0	0	0 0 0	20 20 27	0	3 0.5 0.521875	1.0842021724855e-19 1.37061347514622e-10 -1.32809162972647e-10
0	0	0 0 0	20 20 28	0	3 0.5 0.525	0 1.35162012658563e-10 -1.30352454524862e-10
0	0	0 0 0	20 20 29	0	3 0.5 0.528125	0 1.33281734607249e-10 -1.27922989041906e-10
0	0	0 0 0	20 20 30	0	3 0.5 0.53125	-7.54604712049911e-17 1.31423343562032e-10 -1.25525744312793e-10
0	0	0 0 0	20 20 31	0	3 0.5 0.534375	-6.06177434636646e-16 1.29591049696787e-10 -1.23158385399724e-10
0	0	0 0 0	20 20 32	0	3 0.5 0.5375	0 1.27769305552361e-10 -1.20824707877665e-10
0	0	0 0 0	20 20 33	0	3 0.5 0.540625	0 1.25974913660343e-10 -1.18533570112045e-10
0	0	0 0 0	20 20 34	0	3 0.5 0.54375	7.68699340292223e-17 1.24198349521487e-10 -1.16264390476184e-10
0	0	0 0 0	20 20 35	0	3 0.5 0.546875	-6.18320498968483e-16 1.22446310035773e-10 -1.14029221828793e-10
0	0	0 0 0	20 20 36	0	3 0.5 0.55	-1.0842021724855e-19 1.20707385059537e-10 -1.11828026005956e-10
0	0	0 0 0	20 20 37	0	3 0.5 0.553125	-7.79541362017078e-17 1.18996131524829e-10 -1.09655967465982e-10
0	0	0 0 0	20 20 38	0	3 0.5 0.55625	0 1.17300716882818e-10 -1.07521216756445e-10
0	0	0 0 0	20 20 39	0	3 0.5 0.559375	1.0842021724855e-19 -3.51825417583846e-06 1.52623319782212e-06
0	0	0 0 0	20 20 40	0	3 0.5 0.5625	1.0842021724855e-19 -3.51825417583846e-06 1.52623319782212e-06


