# 1D ASCII output created by CarpetIOASCII
# created on 127.0.0.1ip-172-30-0-219 by admin on Jun 30 2016 at 17:17:24+0000
# parameter filename: "/home/admin/simulations/GenerateSimulations/ONE_BH/1BH_NoP_NoS/1bh_nop_nos/manybhfar_1bh_nop_nos_24x25x33.par"
#
# ADMCONSTRAINTS::HAMILTONIAN x (admconstraints-hamiltonian)
#
# iteration 0   time 0
# time level 0
# refinement level 0   multigrid level 0   map 0   component 0
# column format: 1:it	2:tl	3:rl 4:c 5:ml	6:ix 7:iy 8:iz	9:time	10:x 11:y 12:z	13:data
# data columns: 13:ham
0	0	0 0 0	0 20 20	0	4.9375 5 5	3.17066852200537e-09
0	0	0 0 0	1 20 20	0	4.940625 5 5	3.17066852200537e-09
0	0	0 0 0	2 20 20	0	4.94375 5 5	1.21613372800963e-10
0	0	0 0 0	3 20 20	0	4.946875 5 5	-6.3991293297247e-10
0	0	0 0 0	4 20 20	0	4.95 5 5	3.94746130314566e-10
0	0	0 0 0	5 20 20	0	4.953125 5 5	1.04328494194422e-10
0	0	0 0 0	6 20 20	0	4.95625 5 5	-1.31282155285684e-11
0	0	0 0 0	7 20 20	0	4.959375 5 5	4.58984905204324e-11
0	0	0 0 0	8 20 20	0	4.9625 5 5	6.92709549226719e-10
0	0	0 0 0	9 20 20	0	4.965625 5 5	2.80647603680823e-11
0	0	0 0 0	10 20 20	0	4.96875 5 5	-3.81595037686477e-10
0	0	0 0 0	11 20 20	0	4.971875 5 5	5.54787050717834e-10
0	0	0 0 0	12 20 20	0	4.975 5 5	8.01823739782909e-10
0	0	0 0 0	13 20 20	0	4.978125 5 5	-6.56913291341779e-10
0	0	0 0 0	14 20 20	0	4.98125 5 5	4.64876008781506e-10
0	0	0 0 0	15 20 20	0	4.984375 5 5	-3.84158115474681e-10
0	0	0 0 0	16 20 20	0	4.9875 5 5	2.66884343401094e-10
0	0	0 0 0	17 20 20	0	4.990625 5 5	-1.62230868929608e-10
0	0	0 0 0	18 20 20	0	4.99375 5 5	-4.44105485242555e-10
0	0	0 0 0	19 20 20	0	4.996875 5 5	3.08934456358725e-10
0	0	0 0 0	20 20 20	0	5 5 5	-7.88721323495556e-12
0	0	0 0 0	21 20 20	0	5.003125 5 5	-6.43095012138606e-10
0	0	0 0 0	22 20 20	0	5.00625 5 5	3.1154884314738e-10
0	0	0 0 0	23 20 20	0	5.009375 5 5	-2.69608619717782e-10
0	0	0 0 0	24 20 20	0	5.0125 5 5	-2.74294781983306e-10
0	0	0 0 0	25 20 20	0	5.015625 5 5	-3.90442871176649e-11
0	0	0 0 0	26 20 20	0	5.01875 5 5	4.39678409566019e-10
0	0	0 0 0	27 20 20	0	5.021875 5 5	2.12656930910146e-10
0	0	0 0 0	28 20 20	0	5.025 5 5	-7.84865039063151e-10
0	0	0 0 0	29 20 20	0	5.028125 5 5	1.73045025140747e-10
0	0	0 0 0	30 20 20	0	5.03125 5 5	-7.89697748816362e-10
0	0	0 0 0	31 20 20	0	5.034375 5 5	2.10300490780316e-10
0	0	0 0 0	32 20 20	0	5.0375 5 5	-2.28616262205883e-11
0	0	0 0 0	33 20 20	0	5.040625 5 5	-2.60452211880979e-10
0	0	0 0 0	34 20 20	0	5.04375 5 5	-2.26600816236044e-10
0	0	0 0 0	35 20 20	0	5.046875 5 5	1.50315506135951e-10
0	0	0 0 0	36 20 20	0	5.05 5 5	-3.51975816765063e-10
0	0	0 0 0	37 20 20	0	5.053125 5 5	-9.56272782313972e-11
0	0	0 0 0	38 20 20	0	5.05625 5 5	3.75432551800309e-11
0	0	0 0 0	39 20 20	0	5.059375 5 5	3.53929196974384e-09
0	0	0 0 0	40 20 20	0	5.0625 5 5	3.53929196974384e-09


