# 1D ASCII output created by CarpetIOASCII
# created on 127.0.0.1ip-172-30-0-219 by admin on Jun 30 2016 at 17:15:56+0000
# parameter filename: "/home/admin/simulations/GenerateSimulations/ONE_BH/1BH_NoP_NoS/1bh_nop_nos/manybhmid_1bh_nop_nos_32x33x41.par"
#
# ADMBASE::METRIC z (admbase-metric)
#
# iteration 0   time 0
# time level 0
# refinement level 0   multigrid level 0   map 0   component 0
# column format: 1:it	2:tl	3:rl 4:c 5:ml	6:ix 7:iy 8:iz	9:time	10:x 11:y 12:z	13:data
# data columns: 13:gxx 14:gxy 15:gxz 16:gyy 17:gyz 18:gzz
0	0	0 0 0	640 4 0	0	0 0 -0.0125	1.82387109600448 0 0 1.82387109600448 0 1.82387109600448
0	0	0 0 0	640 4 1	0	0 0 -0.009375	1.8240419658055 0 0 1.8240419658055 0 1.8240419658055
0	0	0 0 0	640 4 2	0	0 0 -0.00625	1.82421188773867 0 0 1.82421188773867 0 1.82421188773867
0	0	0 0 0	640 4 3	0	0 0 -0.003125	1.82438086010345 0 0 1.82438086010345 0 1.82438086010345
0	0	0 0 0	640 4 4	0	0 0 0	1.82454888120717 0 0 1.82454888120717 0 1.82454888120717
0	0	0 0 0	640 4 5	0	0 0 0.003125	1.82471594936505 0 0 1.82471594936505 0 1.82471594936505
0	0	0 0 0	640 4 6	0	0 0 0.00625	1.82488206290024 0 0 1.82488206290024 0 1.82488206290024
0	0	0 0 0	640 4 7	0	0 0 0.009375	1.82504722014388 0 0 1.82504722014388 0 1.82504722014388
0	0	0 0 0	640 4 8	0	0 0 0.0125	1.82521141943511 0 0 1.82521141943511 0 1.82521141943511


# iteration 1   time 0.00078125
# time level 0
# refinement level 0   multigrid level 0   map 0   component 0
# column format: 1:it	2:tl	3:rl 4:c 5:ml	6:ix 7:iy 8:iz	9:time	10:x 11:y 12:z	13:data
# data columns: 13:gxx 14:gxy 15:gxz 16:gyy 17:gyz 18:gzz
1	0	0 0 0	640 4 0	0.00078125	0 0 -0.0125	1.82387109600448 0 0 1.82387109600448 0 1.82387109600448
1	0	0 0 0	640 4 1	0.00078125	0 0 -0.009375	1.8240419658055 0 0 1.8240419658055 0 1.8240419658055
1	0	0 0 0	640 4 2	0.00078125	0 0 -0.00625	1.82421188773867 0 0 1.82421188773867 0 1.82421188773867
1	0	0 0 0	640 4 3	0.00078125	0 0 -0.003125	-nan -nan -nan -nan -nan -nan
1	0	0 0 0	640 4 4	0.00078125	0 0 0	-nan -nan -nan -nan -nan -nan
1	0	0 0 0	640 4 5	0.00078125	0 0 0.003125	-nan -nan -nan -nan -nan -nan
1	0	0 0 0	640 4 6	0.00078125	0 0 0.00625	1.82488206290024 0 0 1.82488206290024 0 1.82488206290024
1	0	0 0 0	640 4 7	0.00078125	0 0 0.009375	1.82504722014388 0 0 1.82504722014388 0 1.82504722014388
1	0	0 0 0	640 4 8	0.00078125	0 0 0.0125	1.82521141943511 0 0 1.82521141943511 0 1.82521141943511


# iteration 2   time 0.0015625
# time level 0
# refinement level 0   multigrid level 0   map 0   component 0
# column format: 1:it	2:tl	3:rl 4:c 5:ml	6:ix 7:iy 8:iz	9:time	10:x 11:y 12:z	13:data
# data columns: 13:gxx 14:gxy 15:gxz 16:gyy 17:gyz 18:gzz
2	0	0 0 0	640 4 0	0.0015625	0 0 -0.0125	1.82387109600448 0 0 1.82387109600448 0 1.82387109600448
2	0	0 0 0	640 4 1	0.0015625	0 0 -0.009375	1.8240419658055 0 0 1.8240419658055 0 1.8240419658055
2	0	0 0 0	640 4 2	0.0015625	0 0 -0.00625	1.82421188773867 0 0 1.82421188773867 0 1.82421188773867
2	0	0 0 0	640 4 3	0.0015625	0 0 -0.003125	-nan -nan -nan -nan -nan -nan
2	0	0 0 0	640 4 4	0.0015625	0 0 0	-nan -nan -nan -nan -nan -nan
2	0	0 0 0	640 4 5	0.0015625	0 0 0.003125	-nan -nan -nan -nan -nan -nan
2	0	0 0 0	640 4 6	0.0015625	0 0 0.00625	1.82488206290024 0 0 1.82488206290024 0 1.82488206290024
2	0	0 0 0	640 4 7	0.0015625	0 0 0.009375	1.82504722014388 0 0 1.82504722014388 0 1.82504722014388
2	0	0 0 0	640 4 8	0.0015625	0 0 0.0125	1.82521141943511 0 0 1.82521141943511 0 1.82521141943511


# iteration 3   time 0.00234375
# time level 0
# refinement level 0   multigrid level 0   map 0   component 0
# column format: 1:it	2:tl	3:rl 4:c 5:ml	6:ix 7:iy 8:iz	9:time	10:x 11:y 12:z	13:data
# data columns: 13:gxx 14:gxy 15:gxz 16:gyy 17:gyz 18:gzz
3	0	0 0 0	640 4 0	0.00234375	0 0 -0.0125	1.82387109600448 0 0 1.82387109600448 0 1.82387109600448
3	0	0 0 0	640 4 1	0.00234375	0 0 -0.009375	1.8240419658055 0 0 1.8240419658055 0 1.8240419658055
3	0	0 0 0	640 4 2	0.00234375	0 0 -0.00625	1.82421188773867 0 0 1.82421188773867 0 1.82421188773867
3	0	0 0 0	640 4 3	0.00234375	0 0 -0.003125	-nan -nan -nan -nan -nan -nan
3	0	0 0 0	640 4 4	0.00234375	0 0 0	-nan -nan -nan -nan -nan -nan
3	0	0 0 0	640 4 5	0.00234375	0 0 0.003125	-nan -nan -nan -nan -nan -nan
3	0	0 0 0	640 4 6	0.00234375	0 0 0.00625	1.82488206290024 0 0 1.82488206290024 0 1.82488206290024
3	0	0 0 0	640 4 7	0.00234375	0 0 0.009375	1.82504722014388 0 0 1.82504722014388 0 1.82504722014388
3	0	0 0 0	640 4 8	0.00234375	0 0 0.0125	1.82521141943511 0 0 1.82521141943511 0 1.82521141943511


# iteration 4   time 0.003125
# time level 0
# refinement level 0   multigrid level 0   map 0   component 0
# column format: 1:it	2:tl	3:rl 4:c 5:ml	6:ix 7:iy 8:iz	9:time	10:x 11:y 12:z	13:data
# data columns: 13:gxx 14:gxy 15:gxz 16:gyy 17:gyz 18:gzz
4	0	0 0 0	640 4 0	0.003125	0 0 -0.0125	1.82387109600448 0 0 1.82387109600448 0 1.82387109600448
4	0	0 0 0	640 4 1	0.003125	0 0 -0.009375	1.8240419658055 0 0 1.8240419658055 0 1.8240419658055
4	0	0 0 0	640 4 2	0.003125	0 0 -0.00625	1.82421188773867 0 0 1.82421188773867 0 1.82421188773867
4	0	0 0 0	640 4 3	0.003125	0 0 -0.003125	-nan -nan -nan -nan -nan -nan
4	0	0 0 0	640 4 4	0.003125	0 0 0	-nan -nan -nan -nan -nan -nan
4	0	0 0 0	640 4 5	0.003125	0 0 0.003125	-nan -nan -nan -nan -nan -nan
4	0	0 0 0	640 4 6	0.003125	0 0 0.00625	1.82488206290024 0 0 1.82488206290024 0 1.82488206290024
4	0	0 0 0	640 4 7	0.003125	0 0 0.009375	1.82504722014388 0 0 1.82504722014388 0 1.82504722014388
4	0	0 0 0	640 4 8	0.003125	0 0 0.0125	1.82521141943511 0 0 1.82521141943511 0 1.82521141943511


# iteration 5   time 0.00390625
# time level 0
# refinement level 0   multigrid level 0   map 0   component 0
# column format: 1:it	2:tl	3:rl 4:c 5:ml	6:ix 7:iy 8:iz	9:time	10:x 11:y 12:z	13:data
# data columns: 13:gxx 14:gxy 15:gxz 16:gyy 17:gyz 18:gzz
5	0	0 0 0	640 4 0	0.00390625	0 0 -0.0125	1.82387109600448 0 0 1.82387109600448 0 1.82387109600448
5	0	0 0 0	640 4 1	0.00390625	0 0 -0.009375	1.8240419658055 0 0 1.8240419658055 0 1.8240419658055
5	0	0 0 0	640 4 2	0.00390625	0 0 -0.00625	1.82421188773867 0 0 1.82421188773867 0 1.82421188773867
5	0	0 0 0	640 4 3	0.00390625	0 0 -0.003125	-nan -nan -nan -nan -nan -nan
5	0	0 0 0	640 4 4	0.00390625	0 0 0	-nan -nan -nan -nan -nan -nan
5	0	0 0 0	640 4 5	0.00390625	0 0 0.003125	-nan -nan -nan -nan -nan -nan
5	0	0 0 0	640 4 6	0.00390625	0 0 0.00625	1.82488206290024 0 0 1.82488206290024 0 1.82488206290024
5	0	0 0 0	640 4 7	0.00390625	0 0 0.009375	1.82504722014388 0 0 1.82504722014388 0 1.82504722014388
