# 1D ASCII output created by CarpetIOASCII
# created on 127.0.0.1ip-172-30-0-219 by admin on Jul 03 2016 at 05:46:24+0000
# parameter filename: "/home/admin/simulations/GenerateSimulations/ONE_BH/1BH_P0.0_NoS/1bh_p0.0_nos/twopunfar_1bh_p0.0_nos_20.par"
#
# ADMBASE::METRIC y (admbase-metric)
#
# iteration 0   time 0
# time level 0
# refinement level 0   multigrid level 0   map 0   component 0
# column format: 1:it	2:tl	3:rl 4:c 5:ml	6:ix 7:iy 8:iz	9:time	10:x 11:y 12:z	13:data
# data columns: 13:gxx 14:gxy 15:gxz 16:gyy 17:gyz 18:gzz
0	0	0 0 0	20 0 20	0	5 4.9375 5	1.54779125366688 0 0 1.54779125366688 0 1.54779125366688
0	0	0 0 0	20 1 20	0	5 4.940625 5	1.54764599301668 0 0 1.54764599301668 0 1.54764599301668
0	0	0 0 0	20 2 20	0	5 4.94375 5	1.54750076040465 0 0 1.54750076040465 0 1.54750076040465
0	0	0 0 0	20 3 20	0	5 4.946875 5	1.54735555588716 0 0 1.54735555588716 0 1.54735555588716
0	0	0 0 0	20 4 20	0	5 4.95 5	1.54721037952041 0 0 1.54721037952041 0 1.54721037952041
0	0	0 0 0	20 5 20	0	5 4.953125 5	1.54706523136042 0 0 1.54706523136042 0 1.54706523136042
0	0	0 0 0	20 6 20	0	5 4.95625 5	1.5469201114631 0 0 1.5469201114631 0 1.5469201114631
0	0	0 0 0	20 7 20	0	5 4.959375 5	1.54677501988418 0 0 1.54677501988418 0 1.54677501988418
0	0	0 0 0	20 8 20	0	5 4.9625 5	1.54662995667922 0 0 1.54662995667922 0 1.54662995667922
0	0	0 0 0	20 9 20	0	5 4.965625 5	1.54648492190366 0 0 1.54648492190366 0 1.54648492190366
0	0	0 0 0	20 10 20	0	5 4.96875 5	1.54633991561275 0 0 1.54633991561275 0 1.54633991561275
0	0	0 0 0	20 11 20	0	5 4.971875 5	1.54619493786162 0 0 1.54619493786162 0 1.54619493786162
0	0	0 0 0	20 12 20	0	5 4.975 5	1.54604998870521 0 0 1.54604998870521 0 1.54604998870521
0	0	0 0 0	20 13 20	0	5 4.978125 5	1.54590506819834 0 0 1.54590506819834 0 1.54590506819834
0	0	0 0 0	20 14 20	0	5 4.98125 5	1.54576017639566 0 0 1.54576017639566 0 1.54576017639566
0	0	0 0 0	20 15 20	0	5 4.984375 5	1.54561531335166 0 0 1.54561531335166 0 1.54561531335166
0	0	0 0 0	20 16 20	0	5 4.9875 5	1.54547047912069 0 0 1.54547047912069 0 1.54547047912069
0	0	0 0 0	20 17 20	0	5 4.990625 5	1.54532567375694 0 0 1.54532567375694 0 1.54532567375694
0	0	0 0 0	20 18 20	0	5 4.99375 5	1.54518089731444 0 0 1.54518089731444 0 1.54518089731444
0	0	0 0 0	20 19 20	0	5 4.996875 5	1.5450361498471 0 0 1.5450361498471 0 1.5450361498471
0	0	0 0 0	20 20 20	0	5 5 5	1.54489143140864 0 0 1.54489143140864 0 1.54489143140864
0	0	0 0 0	20 21 20	0	5 5.003125 5	1.54474674205264 0 0 1.54474674205264 0 1.54474674205264
0	0	0 0 0	20 22 20	0	5 5.00625 5	1.54460208183253 0 0 1.54460208183253 0 1.54460208183253
0	0	0 0 0	20 23 20	0	5 5.009375 5	1.54445745080161 0 0 1.54445745080161 0 1.54445745080161
0	0	0 0 0	20 24 20	0	5 5.0125 5	1.54431284901298 0 0 1.54431284901298 0 1.54431284901298
0	0	0 0 0	20 25 20	0	5 5.015625 5	1.54416827651965 0 0 1.54416827651965 0 1.54416827651965
0	0	0 0 0	20 26 20	0	5 5.01875 5	1.54402373337442 0 0 1.54402373337442 0 1.54402373337442
0	0	0 0 0	20 27 20	0	5 5.021875 5	1.54387921962999 0 0 1.54387921962999 0 1.54387921962999
0	0	0 0 0	20 28 20	0	5 5.025 5	1.54373473533887 0 0 1.54373473533887 0 1.54373473533887
0	0	0 0 0	20 29 20	0	5 5.028125 5	1.54359028055344 0 0 1.54359028055344 0 1.54359028055344
0	0	0 0 0	20 30 20	0	5 5.03125 5	1.54344585532594 0 0 1.54344585532594 0 1.54344585532594
0	0	0 0 0	20 31 20	0	5 5.034375 5	1.54330145970844 0 0 1.54330145970844 0 1.54330145970844
0	0	0 0 0	20 32 20	0	5 5.0375 5	1.54315709375288 0 0 1.54315709375288 0 1.54315709375288
0	0	0 0 0	20 33 20	0	5 5.040625 5	1.54301275751102 0 0 1.54301275751102 0 1.54301275751102
0	0	0 0 0	20 34 20	0	5 5.04375 5	1.54286845103451 0 0 1.54286845103451 0 1.54286845103451
0	0	0 0 0	20 35 20	0	5 5.046875 5	1.54272417437484 0 0 1.54272417437484 0 1.54272417437484
0	0	0 0 0	20 36 20	0	5 5.05 5	1.54257992758333 0 0 1.54257992758333 0 1.54257992758333
0	0	0 0 0	20 37 20	0	5 5.053125 5	1.54243571071117 0 0 1.54243571071117 0 1.54243571071117
0	0	0 0 0	20 38 20	0	5 5.05625 5	1.54229152380941 0 0 1.54229152380941 0 1.54229152380941
0	0	0 0 0	20 39 20	0	5 5.059375 5	1.54214736692894 0 0 1.54214736692894 0 1.54214736692894
0	0	0 0 0	20 40 20	0	5 5.0625 5	1.54200324012051 0 0 1.54200324012051 0 1.54200324012051


