# 1D ASCII output created by CarpetIOASCII
# created on 127.0.0.1ip-172-30-0-219 by admin on Jul 06 2016 at 05:07:29+0000
# parameter filename: "/home/admin/simulations/ONE_BH/1BH_P0.1_NoS/1bh_p0.1_nos/manybhmid_1bh_p0.1_nos_24x25x33.par"
#
# ADMBASE::METRIC y (admbase-metric)
#
# iteration 0   time 0
# time level 0
# refinement level 0   multigrid level 0   map 0   component 0
# column format: 1:it	2:tl	3:rl 4:c 5:ml	6:ix 7:iy 8:iz	9:time	10:x 11:y 12:z	13:data
# data columns: 13:gxx 14:gxy 15:gxz 16:gyy 17:gyz 18:gzz
0	0	0 0 0	640 0 4	0	0 -0.0125 0	1.85712921558275 0 0 1.85712921558275 0 1.85712921558275
0	0	0 0 0	640 1 4	0	0 -0.009375 0	1.85713325706828 0 0 1.85713325706828 0 1.85713325706828
0	0	0 0 0	640 2 4	0	0 -0.00625 0	1.85713614387589 0 0 1.85713614387589 0 1.85713614387589
0	0	0 0 0	640 3 4	0	0 -0.003125 0	1.85713787597334 0 0 1.85713787597334 0 1.85713787597334
0	0	0 0 0	640 4 4	0	0 0 0	1.85713845334131 0 0 1.85713845334131 0 1.85713845334131
0	0	0 0 0	640 5 4	0	0 0.003125 0	1.85713787597334 0 0 1.85713787597334 0 1.85713787597334
0	0	0 0 0	640 6 4	0	0 0.00625 0	1.85713614387589 0 0 1.85713614387589 0 1.85713614387589
0	0	0 0 0	640 7 4	0	0 0.009375 0	1.85713325706828 0 0 1.85713325706828 0 1.85713325706828
0	0	0 0 0	640 8 4	0	0 0.0125 0	1.85712921558275 0 0 1.85712921558275 0 1.85712921558275


# iteration 1   time 0.00078125
# time level 0
# refinement level 0   multigrid level 0   map 0   component 0
# column format: 1:it	2:tl	3:rl 4:c 5:ml	6:ix 7:iy 8:iz	9:time	10:x 11:y 12:z	13:data
# data columns: 13:gxx 14:gxy 15:gxz 16:gyy 17:gyz 18:gzz
1	0	0 0 0	640 0 4	0.00078125	0 -0.0125 0	1.85712921558275 0 0 1.85712921558275 0 1.85712921558275
1	0	0 0 0	640 1 4	0.00078125	0 -0.009375 0	1.85713325706828 0 0 1.85713325706828 0 1.85713325706828
1	0	0 0 0	640 2 4	0.00078125	0 -0.00625 0	1.85713614387589 0 0 1.85713614387589 0 1.85713614387589
1	0	0 0 0	640 3 4	0.00078125	0 -0.003125 0	-nan -nan -nan -nan -nan -nan
1	0	0 0 0	640 4 4	0.00078125	0 0 0	-nan -nan -nan -nan -nan -nan
1	0	0 0 0	640 5 4	0.00078125	0 0.003125 0	-nan -nan -nan -nan -nan -nan
