# 1D ASCII output created by CarpetIOASCII
# created on 127.0.0.1ip-172-30-0-219 by admin on Jul 06 2016 at 05:07:51+0000
# parameter filename: "/home/admin/simulations/ONE_BH/1BH_P0.1_NoS/1bh_p0.1_nos/manybhmid_1bh_p0.1_nos_32x33x41.par"
#
# ADMCONSTRAINTS::MOMENTUM x (admconstraints-momentum)
#
# iteration 0   time 0
# time level 0
# refinement level 0   multigrid level 0   map 0   component 0
# column format: 1:it	2:tl	3:rl 4:c 5:ml	6:ix 7:iy 8:iz	9:time	10:x 11:y 12:z	13:data
# data columns: 13:momx 14:momy 15:momz
0	0	0 0 0	0 4 4	0	-2 0 0	-3.73288350914722e-09 0 0
0	0	0 0 0	1 4 4	0	-1.996875 0 0	-3.73288350914722e-09 0 0
0	0	0 0 0	2 4 4	0	-1.99375 0 0	-1.91185397260271e-15 0 0
0	0	0 0 0	3 4 4	0	-1.990625 0 0	-1.36242736900077e-15 0 0
0	0	0 0 0	4 4 4	0	-1.9875 0 0	-1.35532109544139e-15 0 0
0	0	0 0 0	5 4 4	0	-1.984375 0 0	-1.46044604772388e-15 0 0
0	0	0 0 0	6 4 4	0	-1.98125 0 0	-1.18137584561909e-15 0 0
0	0	0 0 0	7 4 4	0	-1.978125 0 0	-1.89224671392515e-15 0 0
0	0	0 0 0	8 4 4	0	-1.975 0 0	-1.49426537318758e-15 0 0
0	0	0 0 0	9 4 4	0	-1.971875 0 0	-1.2366232894292e-15 0 0
0	0	0 0 0	10 4 4	0	-1.96875 0 0	-1.95377411250039e-15 0 0
0	0	0 0 0	11 4 4	0	-1.965625 0 0	-1.3510754506435e-15 0 0
0	0	0 0 0	12 4 4	0	-1.9625 0 0	-1.15615416527993e-15 0 0
0	0	0 0 0	13 4 4	0	-1.959375 0 0	-1.77790154992587e-15 0 0
0	0	0 0 0	14 4 4	0	-1.95625 0 0	-1.88771691584676e-15 0 0
0	0	0 0 0	15 4 4	0	-1.953125 0 0	-1.45265968902868e-15 0 0
0	0	0 0 0	16 4 4	0	-1.95 0 0	-1.06051930305435e-15 0 0
0	0	0 0 0	17 4 4	0	-1.946875 0 0	-1.82013475179743e-15 0 0
0	0	0 0 0	18 4 4	0	-1.94375 0 0	-1.73314218167006e-15 0 0
0	0	0 0 0	19 4 4	0	-1.940625 0 0	-1.73862581330775e-15 0 0
0	0	0 0 0	20 4 4	0	-1.9375 0 0	-1.59224014556157e-15 0 0
0	0	0 0 0	21 4 4	0	-1.934375 0 0	-9.57769050516056e-16 0 0
0	0	0 0 0	22 4 4	0	-1.93125 0 0	-2.15101960116001e-15 0 0
0	0	0 0 0	23 4 4	0	-1.928125 0 0	-2.10787011175327e-15 0 0
0	0	0 0 0	24 4 4	0	-1.925 0 0	-1.13234324389753e-15 0 0
0	0	0 0 0	25 4 4	0	-1.921875 0 0	-1.16529593206119e-15 0 0
0	0	0 0 0	26 4 4	0	-1.91875 0 0	-1.43746782919795e-15 0 0
0	0	0 0 0	27 4 4	0	-1.915625 0 0	-2.0206786749644e-15 0 0
0	0	0 0 0	28 4 4	0	-1.9125 0 0	-2.02813404557896e-15 0 0
0	0	0 0 0	29 4 4	0	-1.909375 0 0	-1.1627300301549e-15 0 0
0	0	0 0 0	30 4 4	0	-1.90625 0 0	-1.46664927013398e-15 0 0
0	0	0 0 0	31 4 4	0	-1.903125 0 0	-1.6039792080953e-15 0 0
0	0	0 0 0	32 4 4	0	-1.9 0 0	-2.13333890496428e-15 0 0
0	0	0 0 0	33 4 4	0	-1.896875 0 0	-2.07943157085993e-15 0 0
0	0	0 0 0	34 4 4	0	-1.89375 0 0	-9.04676815451155e-16 0 0
0	0	0 0 0	35 4 4	0	-1.890625 0 0	-1.56169229815071e-15 0 0
