# 1D ASCII output created by CarpetIOASCII
# created on 127.0.0.1ip-172-30-0-219 by admin on Jul 06 2016 at 05:08:27+0000
# parameter filename: "/home/admin/simulations/ONE_BH/1BH_P0.1_NoS/1bh_p0.1_nos/manybhmid_1bh_p0.1_nos_40x41x49.par"
#
# ADMCONSTRAINTS::MOMENTUM y (admconstraints-momentum)
#
# iteration 0   time 0
# time level 0
# refinement level 0   multigrid level 0   map 0   component 0
# column format: 1:it	2:tl	3:rl 4:c 5:ml	6:ix 7:iy 8:iz	9:time	10:x 11:y 12:z	13:data
# data columns: 13:momx 14:momy 15:momz
0	0	0 0 0	640 0 4	0	0 -0.0125 0	-3.16537633303832e-08 -2.54874126734146e-10 0
0	0	0 0 0	640 1 4	0	0 -0.009375 0	-3.16537633303832e-08 -2.54874126734146e-10 0
0	0	0 0 0	640 2 4	0	0 -0.00625 0	-4.58593823049233e-14 -1.12397545155678e-15 0
0	0	0 0 0	640 3 4	0	0 -0.003125 0	-4.59088460056978e-14 -2.78237617678829e-16 0
0	0	0 0 0	640 4 4	0	0 0 0	-4.49686760996348e-14 0 0
0	0	0 0 0	640 5 4	0	0 0.003125 0	-4.59069778364823e-14 2.78237617678829e-16 0
0	0	0 0 0	640 6 4	0	0 0.00625 0	-4.58593823049233e-14 1.1231978753112e-15 0
0	0	0 0 0	640 7 4	0	0 0.009375 0	-3.16537633313173e-08 2.54874126734146e-10 0
0	0	0 0 0	640 8 4	0	0 0.0125 0	-3.16537633313173e-08 2.54874126734146e-10 0


# iteration 1   time 0.00078125
# time level 0
# refinement level 0   multigrid level 0   map 0   component 0
# column format: 1:it	2:tl	3:rl 4:c 5:ml	6:ix 7:iy 8:iz	9:time	10:x 11:y 12:z	13:data
# data columns: 13:momx 14:momy 15:momz
1	0	0 0 0	640 0 4	0.00078125	0 -0.0125 0	-3.16537634798371e-08 -2.54874126734146e-10 0
1	0	0 0 0	640 1 4	0.00078125	0 -0.009375 0	-3.16537634798371e-08 -2.54874126734146e-10 0
1	0	0 0 0	640 2 4	0.00078125	0 -0.00625 0	-nan -nan -nan
1	0	0 0 0	640 3 4	0.00078125	0 -0.003125 0	-nan -nan -nan
1	0	0 0 0	640 4 4	0.00078125	0 0 0	-nan -nan -nan
1	0	0 0 0	640 5 4	0.00078125	0 0.003125 0	-nan -nan -nan
1	0	0 0 0	640 6 4	0.00078125	0 0.00625 0	-nan -nan -nan
1	0	0 0 0	640 7 4	0.00078125	0 0.009375 0	-3.16537634807712e-08 2.54874126734146e-10 0
1	0	0 0 0	640 8 4	0.00078125	0 0.0125 0	-3.16537634807712e-08 2.54874126734146e-10 0


# iteration 2   time 0.0015625
# time level 0
# refinement level 0   multigrid level 0   map 0   component 0
# column format: 1:it	2:tl	3:rl 4:c 5:ml	6:ix 7:iy 8:iz	9:time	10:x 11:y 12:z	13:data
# data columns: 13:momx 14:momy 15:momz
2	0	0 0 0	640 0 4	0.0015625	0 -0.0125 0	-3.16537634798371e-08 -2.54874126734146e-10 0
2	0	0 0 0	640 1 4	0.0015625	0 -0.009375 0	-3.16537634798371e-08 -2.54874126734146e-10 0
2	0	0 0 0	640 2 4	0.0015625	0 -0.00625 0	-nan -nan -nan
2	0	0 0 0	640 3 4	0.0015625	0 -0.003125 0	-nan -nan -nan
2	0	0 0 0	640 4 4	0.0015625	0 0 0	-nan -nan -nan
2	0	0 0 0	640 5 4	0.0015625	0 0.003125 0	-nan -nan -nan
2	0	0 0 0	640 6 4	0.0015625	0 0.00625 0	-nan -nan -nan
2	0	0 0 0	640 7 4	0.0015625	0 0.009375 0	-3.16537634807712e-08 2.54874126734146e-10 0
2	0	0 0 0	640 8 4	0.0015625	0 0.0125 0	-3.16537634807712e-08 2.54874126734146e-10 0


# iteration 3   time 0.00234375
# time level 0
# refinement level 0   multigrid level 0   map 0   component 0
# column format: 1:it	2:tl	3:rl 4:c 5:ml	6:ix 7:iy 8:iz	9:time	10:x 11:y 12:z	13:data
# data columns: 13:momx 14:momy 15:momz
3	0	0 0 0	640 0 4	0.00234375	0 -0.0125 0	-3.16537634798371e-08 -2.54874126734146e-10 0
3	0	0 0 0	640 1 4	0.00234375	0 -0.009375 0	-3.16537634798371e-08 -2.54874126734146e-10 0
