# 1D ASCII output created by CarpetIOASCII
# created on 127.0.0.1ip-172-30-0-219 by admin on Jul 06 2016 at 05:07:03+0000
# parameter filename: "/home/admin/simulations/ONE_BH/1BH_P0.1_NoS/1bh_p0.1_nos/manybhnear_1bh_p0.1_nos_40x41x49.par"
#
# ADMBASE::CURV y (admbase-curv)
#
# iteration 0   time 0
# time level 0
# refinement level 0   multigrid level 0   map 0   component 0
# column format: 1:it	2:tl	3:rl 4:c 5:ml	6:ix 7:iy 8:iz	9:time	10:x 11:y 12:z	13:data
# data columns: 13:kxx 14:kxy 15:kxz 16:kyy 17:kyz 18:kzz
0	0	0 0 0	20 0 20	0	3 0.4375 0.5	0 0.0727598242858773 0.0831540848981455 0 0 0
0	0	0 0 0	20 1 20	0	3 0.440625 0.5	0 0.0727946821755945 0.0826038946673413 0 0 0
0	0	0 0 0	20 2 20	0	3 0.44375 0.5	0 0.0728251194869892 0.0820564726613962 0 0 0
0	0	0 0 0	20 3 20	0	3 0.446875 0.5	0 0.072851207787043 0.0815118408806075 0 0 0
0	0	0 0 0	20 4 20	0	3 0.45 0.5	0 0.0728730181068212 0.0809700201186902 0 0 0
0	0	0 0 0	20 5 20	0	3 0.453125 0.5	0 0.072890620927744 0.0804310299892347 0 0 0
0	0	0 0 0	20 6 20	0	3 0.45625 0.5	0 0.072904086168664 0.0798948889519605 0 0 0
0	0	0 0 0	20 7 20	0	3 0.459375 0.5	0 0.0729134831737282 0.0793616143387518 0 0 0
0	0	0 0 0	20 8 20	0	3 0.4625 0.5	0 0.0729188807010026 0.0788312223794623 0 0 0
0	0	0 0 0	20 9 20	0	3 0.465625 0.5	0 0.0729203469118377 0.0783037282274767 0 0 0
0	0	0 0 0	20 10 20	0	3 0.46875 0.5	0 0.0729179493609542 0.0777791459850178 0 0 0
0	0	0 0 0	20 11 20	0	3 0.471875 0.5	0 0.0729117549872287 0.0772574887281894 0 0 0
0	0	0 0 0	20 12 20	0	3 0.475 0.5	0 0.0729018301051563 0.0767387685317435 0 0 0
0	0	0 0 0	20 13 20	0	3 0.478125 0.5	0 0.0728882403969717 0.0762229964935652 0 0 0
0	0	0 0 0	20 14 20	0	3 0.48125 0.5	0 0.0728710509054082 0.0757101827588657 0 0 0
0	0	0 0 0	20 15 20	0	3 0.484375 0.5	0 0.0728503260270732 0.0752003365440756 0 0 0
0	0	0 0 0	20 16 20	0	3 0.4875 0.5	0 0.0728261295064217 0.0746934661604325 0 0 0
0	0	0 0 0	20 17 20	0	3 0.490625 0.5	0 0.0727985244303084 0.074189579037257 0 0 0
0	0	0 0 0	20 18 20	0	3 0.49375 0.5	0 0.0727675732230979 0.0736886817449092 0 0 0
0	0	0 0 0	20 19 20	0	3 0.496875 0.5	0 0.0727333376423158 0.0731907800174247 0 0 0
0	0	0 0 0	20 20 20	0	3 0.5 0.5	0 0.072695878774821 0.072695878774821 0 0 0
0	0	0 0 0	20 21 20	0	3 0.503125 0.5	0 0.0726552570334812 0.0722039821450745 0 0 0
0	0	0 0 0	20 22 20	0	3 0.50625 0.5	0 0.0726115321543341 0.0717150934857621 0 0 0
0	0	0 0 0	20 23 20	0	3 0.509375 0.5	0 0.0725647631942165 0.0712292154053658 0 0 0
0	0	0 0 0	20 24 20	0	3 0.5125 0.5	0 0.0725150085288433 0.0707463497842374 0 0 0
0	0	0 0 0	20 25 20	0	3 0.515625 0.5	0 0.072462325851322 0.0702664977952213 0 0 0
0	0	0 0 0	20 26 20	0	3 0.51875 0.5	0 0.0724067721710823 0.0697896599239347 0 0 0
0	0	0 0 0	20 27 20	0	3 0.521875 0.5	0 0.0723484038132088 0.069315835988703 0 0 0
0	0	0 0 0	20 28 20	0	3 0.525 0.5	0 0.0722872764181577 0.0688450251601502 0 0 0
0	0	0 0 0	20 29 20	0	3 0.528125 0.5	0 0.0722234449418442 0.0683772259804443 0 0 0
0	0	0 0 0	20 30 20	0	3 0.53125 0.5	0 0.0721569636560843 0.067912436382197 0 0 0
0	0	0 0 0	20 31 20	0	3 0.534375 0.5	0 0.0720878861493769 0.0674506537070193 0 0 0
0	0	0 0 0	20 32 20	0	3 0.5375 0.5	0 0.0720162653280112 0.0669918747237314 0 0 0
0	0	0 0 0	20 33 20	0	3 0.540625 0.5	0 0.0719421534174868 0.0665360956462305 0 0 0
0	0	0 0 0	20 34 20	0	3 0.54375 0.5	0 0.0718656019642304 0.0660833121510165 0 0 0
0	0	0 0 0	20 35 20	0	3 0.546875 0.5	0 0.0717866618375989 0.0656335193943761 0 0 0
0	0	0 0 0	20 36 20	0	3 0.55 0.5	0 0.0717053832321529 0.0651867120292299 0 0 0
0	0	0 0 0	20 37 20	0	3 0.553125 0.5	0 0.0716218156701899 0.0647428842216406 0 0 0
0	0	0 0 0	20 38 20	0	3 0.55625 0.5	0 0.0715360080045251 0.0643020296669888 0 0 0
0	0	0 0 0	20 39 20	0	3 0.559375 0.5	0 0.0714480084215058 0.0638641416058152 0 0 0
0	0	0 0 0	20 40 20	0	3 0.5625 0.5	0 0.0713578644442507 0.063429212839334 0 0 0


