# 1D ASCII output created by CarpetIOASCII
# created on 127.0.0.1ip-172-30-0-219 by admin on Jul 03 2016 at 06:01:23+0000
# parameter filename: "/home/admin/simulations/GenerateSimulations/ONE_BH/1BH_P0.1_NoS/1bh_p0.1_nos/twopunnear_1bh_p0.1_nos_40.par"
#
# ADMCONSTRAINTS::MOMENTUM z (admconstraints-momentum)
#
# iteration 0   time 0
# time level 0
# refinement level 0   multigrid level 0   map 0   component 0
# column format: 1:it	2:tl	3:rl 4:c 5:ml	6:ix 7:iy 8:iz	9:time	10:x 11:y 12:z	13:data
# data columns: 13:momx 14:momy 15:momz
0	0	0 0 0	20 20 0	0	3 0.5 0.4375	5.76420786572215e-07 1.57518665270379e-09 1.38813329537621e-09
0	0	0 0 0	20 20 1	0	3 0.5 0.440625	5.76420786572215e-07 1.57518665270379e-09 1.38813329537621e-09
0	0	0 0 0	20 20 2	0	3 0.5 0.44375	9.64067779600508e-12 3.23965409620292e-13 2.87461311807187e-13
0	0	0 0 0	20 20 3	0	3 0.5 0.446875	9.36850987412474e-12 3.19544981837797e-13 2.85133407770116e-13
0	0	0 0 0	20 20 4	0	3 0.5 0.45	9.11152685419137e-12 3.14782217219339e-13 2.83407005545813e-13
0	0	0 0 0	20 20 5	0	3 0.5 0.453125	8.87010343647576e-12 3.11194050129499e-13 2.81726410863298e-13
0	0	0 0 0	20 20 6	0	3 0.5 0.45625	8.64443130792203e-12 3.06591489934553e-13 2.7950843137399e-13
0	0	0 0 0	20 20 7	0	3 0.5 0.459375	8.42961052523183e-12 3.01604037968375e-13 2.77124840002835e-13
0	0	0 0 0	20 20 8	0	3 0.5 0.4625	8.22890735587001e-12 2.97867985702208e-13 2.75699073488435e-13
0	0	0 0 0	20 20 9	0	3 0.5 0.465625	8.04104764544344e-12 2.93613996505716e-13 2.73309166639625e-13
0	0	0 0 0	20 20 10	0	3 0.5 0.46875	7.86282063763855e-12 2.89329920698939e-13 2.70604692082996e-13
0	0	0 0 0	20 20 11	0	3 0.5 0.471875	7.69823148370069e-12 2.85092316507779e-13 2.69127697015946e-13
0	0	0 0 0	20 20 12	0	3 0.5 0.475	7.54365797259182e-12 2.81158898788637e-13 2.6740536054979e-13
0	0	0 0 0	20 20 13	0	3 0.5 0.478125	7.39703491601379e-12 2.7736294435244e-13 2.64867812470142e-13
0	0	0 0 0	20 20 14	0	3 0.5 0.48125	7.26139168325673e-12 2.73571855273491e-13 2.63041243517628e-13
0	0	0 0 0	20 20 15	0	3 0.5 0.484375	7.13513102768015e-12 2.69357710506839e-13 2.61005003417483e-13
0	0	0 0 0	20 20 16	0	3 0.5 0.4875	7.01463236454924e-12 2.66200202072436e-13 2.58944395873512e-13
0	0	0 0 0	20 20 17	0	3 0.5 0.490625	6.90332193535939e-12 2.62432843468538e-13 2.5697156804793e-13
0	0	0 0 0	20 20 18	0	3 0.5 0.49375	6.80126186489508e-12 2.5815105803885e-13 2.54872539089471e-13
0	0	0 0 0	20 20 19	0	3 0.5 0.496875	6.70484535134162e-12 2.54795235474573e-13 2.53326805604685e-13
0	0	0 0 0	20 20 20	0	3 0.5 0.5	6.61327695761614e-12 2.51019392988674e-13 2.51019392988674e-13
