# 1D ASCII output created by CarpetIOASCII
# created on 127.0.0.1ip-172-30-0-219 by admin on Jul 06 2016 at 05:10:52+0000
# parameter filename: "/home/admin/simulations/ONE_BH/1BH_P0.3_NoS/1bh_p0.3_nos/manybhfar_1bh_p0.3_nos_12x13x17.par"
#
# ADMBASE::METRIC y (admbase-metric)
#
# iteration 0   time 0
# time level 0
# refinement level 0   multigrid level 0   map 0   component 0
# column format: 1:it	2:tl	3:rl 4:c 5:ml	6:ix 7:iy 8:iz	9:time	10:x 11:y 12:z	13:data
# data columns: 13:gxx 14:gxy 15:gxz 16:gyy 17:gyz 18:gzz
0	0	0 0 0	20 0 20	0	5 4.9375 5	1.31794873441615 0 0 1.31794873441615 0 1.31794873441615
0	0	0 0 0	20 1 20	0	5 4.940625 5	1.31784792179664 0 0 1.31784792179664 0 1.31784792179664
0	0	0 0 0	20 2 20	0	5 4.94375 5	1.31774713826162 0 0 1.31774713826162 0 1.31774713826162
0	0	0 0 0	20 3 20	0	5 4.946875 5	1.31764638384652 0 0 1.31764638384652 0 1.31764638384652
0	0	0 0 0	20 4 20	0	5 4.95 5	1.3175456585866 0 0 1.3175456585866 0 1.3175456585866
0	0	0 0 0	20 5 20	0	5 4.953125 5	1.31744496251702 0 0 1.31744496251702 0 1.31744496251702
0	0	0 0 0	20 6 20	0	5 4.95625 5	1.31734429567282 0 0 1.31734429567282 0 1.31734429567282
0	0	0 0 0	20 7 20	0	5 4.959375 5	1.31724365808889 0 0 1.31724365808889 0 1.31724365808889
0	0	0 0 0	20 8 20	0	5 4.9625 5	1.31714304980002 0 0 1.31714304980002 0 1.31714304980002
0	0	0 0 0	20 9 20	0	5 4.965625 5	1.31704247084086 0 0 1.31704247084086 0 1.31704247084086
0	0	0 0 0	20 10 20	0	5 4.96875 5	1.31694192124595 0 0 1.31694192124595 0 1.31694192124595
0	0	0 0 0	20 11 20	0	5 4.971875 5	1.31684140104967 0 0 1.31684140104967 0 1.31684140104967
0	0	0 0 0	20 12 20	0	5 4.975 5	1.31674091028633 0 0 1.31674091028633 0 1.31674091028633
0	0	0 0 0	20 13 20	0	5 4.978125 5	1.31664044899008 0 0 1.31664044899008 0 1.31664044899008
0	0	0 0 0	20 14 20	0	5 4.98125 5	1.31654001719494 0 0 1.31654001719494 0 1.31654001719494
0	0	0 0 0	20 15 20	0	5 4.984375 5	1.31643961493483 0 0 1.31643961493483 0 1.31643961493483
0	0	0 0 0	20 16 20	0	5 4.9875 5	1.31633924224354 0 0 1.31633924224354 0 1.31633924224354
0	0	0 0 0	20 17 20	0	5 4.990625 5	1.31623889915473 0 0 1.31623889915473 0 1.31623889915473
0	0	0 0 0	20 18 20	0	5 4.99375 5	1.31613858570195 0 0 1.31613858570195 0 1.31613858570195
0	0	0 0 0	20 19 20	0	5 4.996875 5	1.31603830191861 0 0 1.31603830191861 0 1.31603830191861
0	0	0 0 0	20 20 20	0	5 5 5	1.315938047838 0 0 1.315938047838 0 1.315938047838
0	0	0 0 0	20 21 20	0	5 5.003125 5	1.31583782349331 0 0 1.31583782349331 0 1.31583782349331
0	0	0 0 0	20 22 20	0	5 5.00625 5	1.31573762891759 0 0 1.31573762891759 0 1.31573762891759
0	0	0 0 0	20 23 20	0	5 5.009375 5	1.31563746414377 0 0 1.31563746414377 0 1.31563746414377
0	0	0 0 0	20 24 20	0	5 5.0125 5	1.31553732920465 0 0 1.31553732920465 0 1.31553732920465
0	0	0 0 0	20 25 20	0	5 5.015625 5	1.31543722413294 0 0 1.31543722413294 0 1.31543722413294
0	0	0 0 0	20 26 20	0	5 5.01875 5	1.31533714896118 0 0 1.31533714896118 0 1.31533714896118
0	0	0 0 0	20 27 20	0	5 5.021875 5	1.31523710372184 0 0 1.31523710372184 0 1.31523710372184
0	0	0 0 0	20 28 20	0	5 5.025 5	1.31513708844724 0 0 1.31513708844724 0 1.31513708844724
0	0	0 0 0	20 29 20	0	5 5.028125 5	1.31503710316959 0 0 1.31503710316959 0 1.31503710316959
0	0	0 0 0	20 30 20	0	5 5.03125 5	1.31493714792096 0 0 1.31493714792096 0 1.31493714792096
0	0	0 0 0	20 31 20	0	5 5.034375 5	1.31483722273334 0 0 1.31483722273334 0 1.31483722273334
0	0	0 0 0	20 32 20	0	5 5.0375 5	1.31473732763856 0 0 1.31473732763856 0 1.31473732763856
0	0	0 0 0	20 33 20	0	5 5.040625 5	1.31463746266835 0 0 1.31463746266835 0 1.31463746266835
0	0	0 0 0	20 34 20	0	5 5.04375 5	1.31453762785433 0 0 1.31453762785433 0 1.31453762785433
0	0	0 0 0	20 35 20	0	5 5.046875 5	1.31443782322798 0 0 1.31443782322798 0 1.31443782322798
0	0	0 0 0	20 36 20	0	5 5.05 5	1.31433804882067 0 0 1.31433804882067 0 1.31433804882067
0	0	0 0 0	20 37 20	0	5 5.053125 5	1.31423830466366 0 0 1.31423830466366 0 1.31423830466366
0	0	0 0 0	20 38 20	0	5 5.05625 5	1.31413859078808 0 0 1.31413859078808 0 1.31413859078808
0	0	0 0 0	20 39 20	0	5 5.059375 5	1.31403890722495 0 0 1.31403890722495 0 1.31403890722495
0	0	0 0 0	20 40 20	0	5 5.0625 5	1.31393925400517 0 0 1.31393925400517 0 1.31393925400517


