# 1D ASCII output created by CarpetIOASCII
# created on 127.0.0.1ip-172-30-0-219 by admin on Jul 06 2016 at 05:11:36+0000
# parameter filename: "/home/admin/simulations/ONE_BH/1BH_P0.3_NoS/1bh_p0.3_nos/manybhfar_1bh_p0.3_nos_32x33x41.par"
#
# ADMBASE::CURV z (admbase-curv)
#
# iteration 0   time 0
# time level 0
# refinement level 0   multigrid level 0   map 0   component 0
# column format: 1:it	2:tl	3:rl 4:c 5:ml	6:ix 7:iy 8:iz	9:time	10:x 11:y 12:z	13:data
# data columns: 13:kxx 14:kxy 15:kxz 16:kyy 17:kyz 18:kzz
0	0	0 0 0	20 20 0	0	5 5 4.9375	0.00216083367537989 0.00540208418844972 0.0053345581360941 -0.00106872194510415 0.000929707184178698 -0.00109211173027574
0	0	0 0 0	20 20 1	0	5 5 4.940625	0.00215895619274946 0.00539739048187365 0.0053332964699014 -0.00106838008156059 0.00092898751712802 -0.00109057611118887
0	0	0 0 0	20 20 2	0	5 5 4.94375	0.00215708026423586 0.00539270066058966 0.00533203277815803 -0.00106803770729789 0.000928267955321051 -0.00108904255693797
0	0	0 0 0	20 20 3	0	5 5 4.946875	0.00215520588941129 0.00538801472352822 0.00533076706709073 -0.00106769482386992 0.000927548500405161 -0.00108751106554136
0	0	0 0 0	20 20 4	0	5 5 4.95	0.00215333306784474 0.00538333266961185 0.00532949934291573 -0.00106735143282892 0.000926829154022127 -0.00108598163501582
0	0	0 0 0	20 20 5	0	5 5 4.953125	0.00215146179910209 0.00537865449775522 0.00532822961183877 -0.00106700753572548 0.000926109917808153 -0.00108445426337661
0	0	0 0 0	20 20 6	0	5 5 4.95625	0.00214959208274605 0.00537398020686512 0.00532695788005505 -0.00106666313410857 0.000925390793393876 -0.00108292894863747
0	0	0 0 0	20 20 7	0	5 5 4.959375	0.0021477239183362 0.0053693097958405 0.0053256841537493 -0.00106631822952554 0.000924671782404377 -0.00108140568881066
0	0	0 0 0	20 20 8	0	5 5 4.9625	0.00214585730542902 0.00536464326357254 0.00532440843909575 -0.00106597282352205 0.000923952886459191 -0.00107988448190696
0	0	0 0 0	20 20 9	0	5 5 4.965625	0.00214399224357785 0.00535998060894462 0.00532313074225813 -0.00106562691764215 0.000923234107172316 -0.00107836532593569
0	0	0 0 0	20 20 10	0	5 5 4.96875	0.00214212873233296 0.00535532183083241 0.00532185106938971 -0.00106528051342822 0.000922515446152228 -0.00107684821890474
0	0	0 0 0	20 20 11	0	5 5 4.971875	0.00214026677124154 0.00535066692810385 0.00532056942663326 -0.00106493361242098 0.000921796905001888 -0.00107533315882056
0	0	0 0 0	20 20 12	0	5 5 4.975	0.00213840635984768 0.0053460158996192 0.00531928582012111 -0.00106458621615949 0.000921078485318748 -0.00107382014368819
0	0	0 0 0	20 20 13	0	5 5 4.978125	0.00213654749769244 0.0053413687442311 0.00531800025597508 -0.00106423832618114 0.000920360188694774 -0.0010723091715113
0	0	0 0 0	20 20 14	0	5 5 4.98125	0.00213469018431381 0.00533672546078453 0.00531671274030659 -0.00106388994402164 0.000919642016716444 -0.00107080024029217
0	0	0 0 0	20 20 15	0	5 5 4.984375	0.00213283441924677 0.00533208604811692 0.00531542327921655 -0.00106354107121504 0.000918923970964761 -0.00106929334803172
0	0	0 0 0	20 20 16	0	5 5 4.9875	0.00213098020202324 0.00532745050505811 0.00531413187879546 -0.0010631917092937 0.000918206053015271 -0.00106778849272954
0	0	0 0 0	20 20 17	0	5 5 4.990625	0.00212912753217217 0.00532281883043042 0.00531283854512336 -0.00106284185978829 0.000917488264438064 -0.00106628567238387
0	0	0 0 0	20 20 18	0	5 5 4.99375	0.00212727640921947 0.00531819102304868 0.00531154328426987 -0.0010624915242278 0.000916770606797787 -0.00106478488499167
0	0	0 0 0	20 20 19	0	5 5 4.996875	0.00212542683268809 0.00531356708172023 0.00531024610229416 -0.0010621407041395 0.000916053081653661 -0.00106328612854859
0	0	0 0 0	20 20 20	0	5 5 5	0.002123578802098 0.00530894700524499 0.00530894700524499 -0.001061789401049 0.000915335690559481 -0.001061789401049
0	0	0 0 0	20 20 21	0	5 5 5.003125	0.00212173231696618 0.00530433079241545 0.00530764599916071 -0.00106143761648017 0.000914618435063634 -0.00106029470048601
0	0	0 0 0	20 20 22	0	5 5 5.00625	0.00211988737680669 0.00529971844201672 0.00530634309006925 -0.0010610853519552 0.000913901316709103 -0.00105880202485149
0	0	0 0 0	20 20 23	0	5 5 5.009375	0.00211804398113063 0.00529510995282657 0.00530503828398812 -0.00106073260899454 0.000913184337033486 -0.00105731137213609
