# 1D ASCII output created by CarpetIOASCII
# created on 127.0.0.1ip-172-30-0-219 by admin on Jul 06 2016 at 05:07:20+0000
# parameter filename: "/home/admin/simulations/ONE_BH/1BH_P0.3_NoS/1bh_p0.3_nos/manybhnear_1bh_p0.3_nos_12x13x17.par"
#
# ADMBASE::METRIC y (admbase-metric)
#
# iteration 0   time 0
# time level 0
# refinement level 0   multigrid level 0   map 0   component 0
# column format: 1:it	2:tl	3:rl 4:c 5:ml	6:ix 7:iy 8:iz	9:time	10:x 11:y 12:z	13:data
# data columns: 13:gxx 14:gxy 15:gxz 16:gyy 17:gyz 18:gzz
0	0	0 0 0	20 0 20	0	3 0.4375 0.5	9.65022721717932 0 0 9.65022721717932 0 9.65022721717932
0	0	0 0 0	20 1 20	0	3 0.440625 0.5	9.59922771450049 0 0 9.59922771450049 0 9.59922771450049
0	0	0 0 0	20 2 20	0	3 0.44375 0.5	9.54854169993318 0 0 9.54854169993318 0 9.54854169993318
0	0	0 0 0	20 3 20	0	3 0.446875 0.5	9.49816998281443 0 0 9.49816998281443 0 9.49816998281443
0	0	0 0 0	20 4 20	0	3 0.45 0.5	9.4481132618165 0 0 9.4481132618165 0 9.4481132618165
0	0	0 0 0	20 5 20	0	3 0.453125 0.5	9.39837212826177 0 0 9.39837212826177 0 9.39837212826177
0	0	0 0 0	20 6 20	0	3 0.45625 0.5	9.34894706938266 0 0 9.34894706938266 0 9.34894706938266
0	0	0 0 0	20 7 20	0	3 0.459375 0.5	9.29983847152626 0 0 9.29983847152626 0 9.29983847152626
0	0	0 0 0	20 8 20	0	3 0.4625 0.5	9.25104662330285 0 0 9.25104662330285 0 9.25104662330285
0	0	0 0 0	20 9 20	0	3 0.465625 0.5	9.202571718678 0 0 9.202571718678 0 9.202571718678
0	0	0 0 0	20 10 20	0	3 0.46875 0.5	9.15441386000772 0 0 9.15441386000772 0 9.15441386000772
0	0	0 0 0	20 11 20	0	3 0.471875 0.5	9.10657306101655 0 0 9.10657306101655 0 9.10657306101655
0	0	0 0 0	20 12 20	0	3 0.475 0.5	9.05904924971827 0 0 9.05904924971827 0 9.05904924971827
0	0	0 0 0	20 13 20	0	3 0.478125 0.5	9.01184227127917 0 0 9.01184227127917 0 9.01184227127917
0	0	0 0 0	20 14 20	0	3 0.48125 0.5	8.96495189082388 0 0 8.96495189082388 0 8.96495189082388
0	0	0 0 0	20 15 20	0	3 0.484375 0.5	8.91837779618361 0 0 8.91837779618361 0 8.91837779618361
0	0	0 0 0	20 16 20	0	3 0.4875 0.5	8.87211960058719 0 0 8.87211960058719 0 8.87211960058719
0	0	0 0 0	20 17 20	0	3 0.490625 0.5	8.82617684529481 0 0 8.82617684529481 0 8.82617684529481
0	0	0 0 0	20 18 20	0	3 0.49375 0.5	8.78054900217487 0 0 8.78054900217487 0 8.78054900217487
0	0	0 0 0	20 19 20	0	3 0.496875 0.5	8.73523547622408 0 0 8.73523547622408 0 8.73523547622408
0	0	0 0 0	20 20 20	0	3 0.5 0.5	8.69023560803126 0 0 8.69023560803126 0 8.69023560803126
0	0	0 0 0	20 21 20	0	3 0.503125 0.5	8.64554867618518 0 0 8.64554867618518 0 8.64554867618518
0	0	0 0 0	20 22 20	0	3 0.50625 0.5	8.60117389962676 0 0 8.60117389962676 0 8.60117389962676
0	0	0 0 0	20 23 20	0	3 0.509375 0.5	8.5571104399464 0 0 8.5571104399464 0 8.5571104399464
0	0	0 0 0	20 24 20	0	3 0.5125 0.5	8.51335740362651 0 0 8.51335740362651 0 8.51335740362651
0	0	0 0 0	20 25 20	0	3 0.515625 0.5	8.46991384423026 0 0 8.46991384423026 0 8.46991384423026
0	0	0 0 0	20 26 20	0	3 0.51875 0.5	8.42677876453665 0 0 8.42677876453665 0 8.42677876453665
0	0	0 0 0	20 27 20	0	3 0.521875 0.5	8.38395111862307 0 0 8.38395111862307 0 8.38395111862307
0	0	0 0 0	20 28 20	0	3 0.525 0.5	8.34142981389535 0 0 8.34142981389535 0 8.34142981389535
0	0	0 0 0	20 29 20	0	3 0.528125 0.5	8.2992137130665 0 0 8.2992137130665 0 8.2992137130665
0	0	0 0 0	20 30 20	0	3 0.53125 0.5	8.25730163608455 0 0 8.25730163608455 0 8.25730163608455
0	0	0 0 0	20 31 20	0	3 0.534375 0.5	8.21569236201021 0 0 8.21569236201021 0 8.21569236201021
0	0	0 0 0	20 32 20	0	3 0.5375 0.5	8.17438463084529 0 0 8.17438463084529 0 8.17438463084529
0	0	0 0 0	20 33 20	0	3 0.540625 0.5	8.13337714531219 0 0 8.13337714531219 0 8.13337714531219
0	0	0 0 0	20 34 20	0	3 0.54375 0.5	8.09266857258574 0 0 8.09266857258574 0 8.09266857258574
0	0	0 0 0	20 35 20	0	3 0.546875 0.5	8.05225754597778 0 0 8.05225754597778 0 8.05225754597778
0	0	0 0 0	20 36 20	0	3 0.55 0.5	8.01214266657536 0 0 8.01214266657536 0 8.01214266657536
0	0	0 0 0	20 37 20	0	3 0.553125 0.5	7.97232250483346 0 0 7.97232250483346 0 7.97232250483346
0	0	0 0 0	20 38 20	0	3 0.55625 0.5	7.93279560212285 0 0 7.93279560212285 0 7.93279560212285
0	0	0 0 0	20 39 20	0	3 0.559375 0.5	7.89356047223402 0 0 7.89356047223402 0 7.89356047223402
0	0	0 0 0	20 40 20	0	3 0.5625 0.5	7.85461560283797 0 0 7.85461560283797 0 7.85461560283797


