# 1D ASCII output created by CarpetIOASCII
# created on 127.0.0.1ip-172-30-0-219 by admin on Jul 06 2016 at 05:07:40+0000
# parameter filename: "/home/admin/simulations/ONE_BH/1BH_P0.3_NoS/1bh_p0.3_nos/manybhnear_1bh_p0.3_nos_24x25x33.par"
#
# ADMBASE::CURV z (admbase-curv)
#
# iteration 0   time 0
# time level 0
# refinement level 0   multigrid level 0   map 0   component 0
# column format: 1:it	2:tl	3:rl 4:c 5:ml	6:ix 7:iy 8:iz	9:time	10:x 11:y 12:z	13:data
# data columns: 13:kxx 14:kxy 15:kxz 16:kyy 17:kyz 18:kzz
0	0	0 0 0	20 20 0	0	3 0.5 0.4375	0 0.246976727219783 0.21610463631731 0 0 0
0	0	0 0 0	20 20 1	0	3 0.5 0.440625	0 0.245340529591466 0.216206341702479 0 0 0
0	0	0 0 0	20 20 2	0	3 0.5 0.44375	0 0.24371258891547 0.21629492266248 0 0 0
0	0	0 0 0	20 20 3	0	3 0.5 0.446875	0 0.24209297034797 0.216370592248498 0 0 0
0	0	0 0 0	20 20 4	0	3 0.5 0.45	0 0.24048173545258 0.216433561907322 0 0 0
0	0	0 0 0	20 20 5	0	3 0.5 0.453125	0 0.238878942279319 0.216484041440633 0 0 0
0	0	0 0 0	20 20 6	0	3 0.5 0.45625	0 0.237284645442966 0.216522238966706 0 0 0
0	0	0 0 0	20 20 7	0	3 0.5 0.459375	0 0.235698896200749 0.216548360884438 0 0 0
0	0	0 0 0	20 20 8	0	3 0.5 0.4625	0 0.234121742529355 0.216562611839653 0 0 0
0	0	0 0 0	20 20 9	0	3 0.5 0.465625	0 0.232553229201198 0.216565194693616 0 0 0
0	0	0 0 0	20 20 10	0	3 0.5 0.46875	0 0.230993397859934 0.216556310493688 0 0 0
0	0	0 0 0	20 20 11	0	3 0.5 0.471875	0 0.229442287095172 0.216536158446069 0 0 0
0	0	0 0 0	20 20 12	0	3 0.5 0.475	0 0.227899932516371 0.216504935890553 0 0 0
0	0	0 0 0	20 20 13	0	3 0.5 0.478125	0 0.226366366825882 0.216462838277249 0 0 0
0	0	0 0 0	20 20 14	0	3 0.5 0.48125	0 0.224841619891118 0.216410059145201 0 0 0
0	0	0 0 0	20 20 15	0	3 0.5 0.484375	0 0.223325718815831 0.216346790102836 0 0 0
0	0	0 0 0	20 20 16	0	3 0.5 0.4875	0 0.221818688010463 0.216273220810202 0 0 0
0	0	0 0 0	20 20 17	0	3 0.5 0.490625	0 0.220320549261578 0.216189538962923 0 0 0
0	0	0 0 0	20 20 18	0	3 0.5 0.49375	0 0.218831321800322 0.216095930277818 0 0 0
0	0	0 0 0	20 20 19	0	3 0.5 0.496875	0 0.217351022369937 0.215992578480125 0 0 0
0	0	0 0 0	20 20 20	0	3 0.5 0.5	0 0.215879665292283 0.215879665292283 0 0 0
0	0	0 0 0	20 20 21	0	3 0.5 0.503125	0 0.214417262533373 0.215757370424206 0 0 0
0	0	0 0 0	20 20 22	0	3 0.5 0.50625	0 0.212963823767904 0.215625871565003 0 0 0
0	0	0 0 0	20 20 23	0	3 0.5 0.509375	0 0.211519356442789 0.215485344376091 0 0 0
0	0	0 0 0	20 20 24	0	3 0.5 0.5125	0 0.210083865839658 0.215335962485649 0 0 0
0	0	0 0 0	20 20 25	0	3 0.5 0.515625	0 0.208657355136351 0.215177897484362 0 0 0
0	0	0 0 0	20 20 26	0	3 0.5 0.51875	0 0.207239825467373 0.215011318922399 0 0 0
0	0	0 0 0	20 20 27	0	3 0.5 0.521875	0 0.205831275983329 0.2148363943076 0 0 0
0	0	0 0 0	20 20 28	0	3 0.5 0.525	0 0.204431703909324 0.21465328910479 0 0 0
0	0	0 0 0	20 20 29	0	3 0.5 0.528125	0 0.203041104602324 0.214462166736205 0 0 0
0	0	0 0 0	20 20 30	0	3 0.5 0.53125	0 0.201659471607502 0.214263188582971 0 0 0
0	0	0 0 0	20 20 31	0	3 0.5 0.534375	0 0.200286796713531 0.214056513987586 0 0 0
0	0	0 0 0	20 20 32	0	3 0.5 0.5375	0 0.198923070006869 0.213842300257384 0 0 0
0	0	0 0 0	20 20 33	0	3 0.5 0.540625	0 0.197568279925001 0.213620702668907 0 0 0
0	0	0 0 0	20 20 34	0	3 0.5 0.54375	0 0.196222413308672 0.213391874473181 0 0 0
0	0	0 0 0	20 20 35	0	3 0.5 0.546875	0 0.194885455453095 0.213155966901823 0 0 0
0	0	0 0 0	20 20 36	0	3 0.5 0.55	0 0.193557390158148 0.212913129173962 0 0 0
0	0	0 0 0	20 20 37	0	3 0.5 0.553125	0 0.192238199777567 0.212663508503933 0 0 0
0	0	0 0 0	20 20 38	0	3 0.5 0.55625	0 0.190927865267141 0.212407250109694 0 0 0
0	0	0 0 0	20 20 39	0	3 0.5 0.559375	0 0.189626366231908 0.212144497221947 0 0 0
0	0	0 0 0	20 20 40	0	3 0.5 0.5625	0 0.188333680972378 0.211875391093926 0 0 0


