# 1D ASCII output created by CarpetIOASCII
# created on 127.0.0.1ip-172-30-0-219 by admin on Jul 06 2016 at 05:08:45+0000
# parameter filename: "/home/admin/simulations/ONE_BH/1BH_P0.3_NoS/1bh_p0.3_nos/manybhnear_1bh_p0.3_nos_40x41x49.par"
#
# ADMCONSTRAINTS::MOMENTUM z (admconstraints-momentum)
#
# iteration 0   time 0
# time level 0
# refinement level 0   multigrid level 0   map 0   component 0
# column format: 1:it	2:tl	3:rl 4:c 5:ml	6:ix 7:iy 8:iz	9:time	10:x 11:y 12:z	13:data
# data columns: 13:momx 14:momy 15:momz
0	0	0 0 0	20 20 0	0	3 0.5 0.4375	2.14976608304066e-06 0 0
0	0	0 0 0	20 20 1	0	3 0.5 0.440625	2.14976608304066e-06 0 0
0	0	0 0 0	20 20 2	0	3 0.5 0.44375	3.55764289555749e-11 0 0
0	0	0 0 0	20 20 3	0	3 0.5 0.446875	3.45308399929412e-11 0 0
0	0	0 0 0	20 20 4	0	3 0.5 0.45	3.35506032678179e-11 0 0
0	0	0 0 0	20 20 5	0	3 0.5 0.453125	3.2642604765043e-11 0 0
0	0	0 0 0	20 20 6	0	3 0.5 0.45625	3.1782941729841e-11 0 0
0	0	0 0 0	20 20 7	0	3 0.5 0.459375	3.09777004395273e-11 0 0
0	0	0 0 0	20 20 8	0	3 0.5 0.4625	3.02275444258315e-11 0 0
0	0	0 0 0	20 20 9	0	3 0.5 0.465625	2.95254402524203e-11 0 0
0	0	0 0 0	20 20 10	0	3 0.5 0.46875	2.88671677707575e-11 0 0
0	0	0 0 0	20 20 11	0	3 0.5 0.471875	2.82603562946904e-11 0 0
0	0	0 0 0	20 20 12	0	3 0.5 0.475	2.76942609470088e-11 0 0
0	0	0 0 0	20 20 13	0	3 0.5 0.478125	2.71642556538831e-11 0 0
0	0	0 0 0	20 20 14	0	3 0.5 0.48125	2.66801867057631e-11 0 0
0	0	0 0 0	20 20 15	0	3 0.5 0.484375	2.62205194622583e-11 0 0
0	0	0 0 0	20 20 16	0	3 0.5 0.4875	2.57975745800165e-11 0 0
0	0	0 0 0	20 20 17	0	3 0.5 0.490625	2.54139122940478e-11 0 0
0	0	0 0 0	20 20 18	0	3 0.5 0.49375	2.50552028126586e-11 0 0
0	0	0 0 0	20 20 19	0	3 0.5 0.496875	2.4721966715522e-11 0 0
0	0	0 0 0	20 20 20	0	3 0.5 0.5	2.44186039449571e-11 0 0
0	0	0 0 0	20 20 21	0	3 0.5 0.503125	2.41363541024324e-11 0 0
0	0	0 0 0	20 20 22	0	3 0.5 0.50625	2.38805421834756e-11 0 0
0	0	0 0 0	20 20 23	0	3 0.5 0.509375	2.36499396455425e-11 0 0
0	0	0 0 0	20 20 24	0	3 0.5 0.5125	2.34315654986522e-11 0 0
0	0	0 0 0	20 20 25	0	3 0.5 0.515625	2.32326035579794e-11 0 0
0	0	0 0 0	20 20 26	0	3 0.5 0.51875	2.30575216038365e-11 0 0
0	0	0 0 0	20 20 27	0	3 0.5 0.521875	2.28971919549736e-11 0 0
0	0	0 0 0	20 20 28	0	3 0.5 0.525	2.27450996405365e-11 0 0
0	0	0 0 0	20 20 29	0	3 0.5 0.528125	2.26157001112504e-11 0 0
0	0	0 0 0	20 20 30	0	3 0.5 0.53125	2.24934302954505e-11 0 0
0	0	0 0 0	20 20 31	0	3 0.5 0.534375	2.2384980154222e-11 0 0
0	0	0 0 0	20 20 32	0	3 0.5 0.5375	2.2290216547538e-11 0 0
0	0	0 0 0	20 20 33	0	3 0.5 0.540625	2.2200028274022e-11 0 0
0	0	0 0 0	20 20 34	0	3 0.5 0.54375	2.21249910753452e-11 0 0
0	0	0 0 0	20 20 35	0	3 0.5 0.546875	2.20529922448365e-11 0 0
0	0	0 0 0	20 20 36	0	3 0.5 0.55	2.19927565742184e-11 0 0
0	0	0 0 0	20 20 37	0	3 0.5 0.553125	2.19383322272448e-11 0 0
0	0	0 0 0	20 20 38	0	3 0.5 0.55625	2.18903992155184e-11 0 0
0	0	0 0 0	20 20 39	0	3 0.5 0.559375	1.68653710030942e-06 0 0
0	0	0 0 0	20 20 40	0	3 0.5 0.5625	1.68653710030942e-06 0 0


