# 1D ASCII output created by CarpetIOASCII
# created on 127.0.0.1ip-172-30-0-219 by admin on Jul 03 2016 at 06:06:50+0000
# parameter filename: "/home/admin/simulations/GenerateSimulations/ONE_BH/1BH_P0.3_NoS/1bh_p0.3_nos/twopunmid_1bh_p0.3_nos_20.par"
#
# ADMCONSTRAINTS::HAMILTONIAN x (admconstraints-hamiltonian)
#
# iteration 0   time 0
# time level 0
# refinement level 0   multigrid level 0   map 0   component 0
# column format: 1:it	2:tl	3:rl 4:c 5:ml	6:ix 7:iy 8:iz	9:time	10:x 11:y 12:z	13:data
# data columns: 13:ham
0	0	0 0 0	0 4 4	0	-2 0 0	-9.24984964136511e-06
0	0	0 0 0	1 4 4	0	-1.996875 0 0	-9.24984964136511e-06
0	0	0 0 0	2 4 4	0	-1.99375 0 0	4.97956858464532e-06
0	0	0 0 0	3 4 4	0	-1.990625 0 0	4.80806912502983e-06
0	0	0 0 0	4 4 4	0	-1.9875 0 0	4.6356821178112e-06
0	0	0 0 0	5 4 4	0	-1.984375 0 0	4.46325675867674e-06
0	0	0 0 0	6 4 4	0	-1.98125 0 0	4.29005853254098e-06
0	0	0 0 0	7 4 4	0	-1.978125 0 0	4.11671646785418e-06
0	0	0 0 0	8 4 4	0	-1.975 0 0	3.94326797353496e-06
0	0	0 0 0	9 4 4	0	-1.971875 0 0	3.76928233020661e-06
0	0	0 0 0	10 4 4	0	-1.96875 0 0	3.59512796437583e-06
0	0	0 0 0	11 4 4	0	-1.965625 0 0	3.42092637760921e-06
0	0	0 0 0	12 4 4	0	-1.9625 0 0	3.24642898202959e-06
0	0	0 0 0	13 4 4	0	-1.959375 0 0	3.07172828984226e-06
0	0	0 0 0	14 4 4	0	-1.95625 0 0	2.89699637207558e-06
0	0	0 0 0	15 4 4	0	-1.953125 0 0	2.72229109728306e-06
0	0	0 0 0	16 4 4	0	-1.95 0 0	2.54745787852677e-06
0	0	0 0 0	17 4 4	0	-1.946875 0 0	2.37273747629607e-06
0	0	0 0 0	18 4 4	0	-1.94375 0 0	2.19794363377473e-06
0	0	0 0 0	19 4 4	0	-1.940625 0 0	2.02341902828237e-06
0	0	0 0 0	20 4 4	0	-1.9375 0 0	1.84897841085375e-06
0	0	0 0 0	21 4 4	0	-1.934375 0 0	1.67460368964358e-06
0	0	0 0 0	22 4 4	0	-1.93125 0 0	1.50047829154818e-06
0	0	0 0 0	23 4 4	0	-1.928125 0 0	1.32626062380279e-06
0	0	0 0 0	24 4 4	0	-1.925 0 0	1.15263341628487e-06
0	0	0 0 0	25 4 4	0	-1.921875 0 0	9.79169501430915e-07
0	0	0 0 0	26 4 4	0	-1.91875 0 0	8.05995111356693e-07
0	0	0 0 0	27 4 4	0	-1.915625 0 0	6.33135513788805e-07
0	0	0 0 0	28 4 4	0	-1.9125 0 0	4.60871519465876e-07
0	0	0 0 0	29 4 4	0	-1.909375 0 0	2.88590507376596e-07
0	0	0 0 0	30 4 4	0	-1.90625 0 0	1.16890137637902e-07
0	0	0 0 0	31 4 4	0	-1.903125 0 0	-5.40498550817649e-08
0	0	0 0 0	32 4 4	0	-1.9 0 0	-2.24837067124323e-07
0	0	0 0 0	33 4 4	0	-1.896875 0 0	-3.9512012248388e-07
0	0	0 0 0	34 4 4	0	-1.89375 0 0	-5.64637792723438e-07
0	0	0 0 0	35 4 4	0	-1.890625 0 0	-7.33980439343854e-07
0	0	0 0 0	36 4 4	0	-1.8875 0 0	-9.02345033715245e-07
0	0	0 0 0	37 4 4	0	-1.884375 0 0	-1.07042832277887e-06
0	0	0 0 0	38 4 4	0	-1.88125 0 0	-1.23766439020897e-06
0	0	0 0 0	39 4 4	0	-1.878125 0 0	-1.40418384159721e-06
0	0	0 0 0	40 4 4	0	-1.875 0 0	-1.57002944512754e-06
0	0	0 0 0	41 4 4	0	-1.871875 0 0	-1.73533957922498e-06
0	0	0 0 0	42 4 4	0	-1.86875 0 0	-1.8997709174113e-06
0	0	0 0 0	43 4 4	0	-1.865625 0 0	-2.06378502995979e-06
0	0	0 0 0	44 4 4	0	-1.8625 0 0	-2.22672696428474e-06
0	0	0 0 0	45 4 4	0	-1.859375 0 0	-2.38878556142348e-06
0	0	0 0 0	46 4 4	0	-1.85625 0 0	-2.5499741997356e-06
0	0	0 0 0	47 4 4	0	-1.853125 0 0	-2.71067239979259e-06
0	0	0 0 0	48 4 4	0	-1.85 0 0	-2.87001661120911e-06
0	0	0 0 0	49 4 4	0	-1.846875 0 0	-3.02906672952229e-06
0	0	0 0 0	50 4 4	0	-1.84375 0 0	-3.18664792928754e-06
0	0	0 0 0	51 4 4	0	-1.840625 0 0	-3.34382099852577e-06
0	0	0 0 0	52 4 4	0	-1.8375 0 0	-3.49973914085251e-06
0	0	0 0 0	53 4 4	0	-1.834375 0 0	-3.65478822831094e-06
0	0	0 0 0	54 4 4	0	-1.83125 0 0	-3.80895341495012e-06
0	0	0 0 0	55 4 4	0	-1.828125 0 0	-3.9616433941729e-06
0	0	0 0 0	56 4 4	0	-1.825 0 0	-4.11402823753829e-06
0	0	0 0 0	57 4 4	0	-1.821875 0 0	-4.26484893641024e-06
0	0	0 0 0	58 4 4	0	-1.81875 0 0	-4.41479253850749e-06
0	0	0 0 0	59 4 4	0	-1.815625 0 0	-4.56373755114894e-06
0	0	0 0 0	60 4 4	0	-1.8125 0 0	-4.71149167730427e-06
0	0	0 0 0	61 4 4	0	-1.809375 0 0	-4.85818420814066e-06
0	0	0 0 0	62 4 4	0	-1.80625 0 0	-5.00378600509946e-06
0	0	0 0 0	63 4 4	0	-1.803125 0 0	-5.14821914040578e-06
0	0	0 0 0	64 4 4	0	-1.8 0 0	-5.29144422935359e-06
0	0	0 0 0	65 4 4	0	-1.796875 0 0	-5.4335759800746e-06
0	0	0 0 0	66 4 4	0	-1.79375 0 0	-5.57499399843606e-06
0	0	0 0 0	67 4 4	0	-1.790625 0 0	-5.7144952420262e-06
0	0	0 0 0	68 4 4	0	-1.7875 0 0	-5.85318260115827e-06
