# 1D ASCII output created by CarpetIOASCII
# created on 127.0.0.1ip-172-30-0-219 by admin on Jul 03 2016 at 06:27:25+0000
# parameter filename: "/home/admin/simulations/GenerateSimulations/ONE_BH/1BH_P0.3_NoS/1bh_p0.3_nos/twopunmid_1bh_p0.3_nos_40.par"
#
# ADMBASE::CURV x (admbase-curv)
#
# iteration 0   time 0
# time level 0
# refinement level 0   multigrid level 0   map 0   component 0
# column format: 1:it	2:tl	3:rl 4:c 5:ml	6:ix 7:iy 8:iz	9:time	10:x 11:y 12:z	13:data
# data columns: 13:kxx 14:kxy 15:kxz 16:kyy 17:kyz 18:kzz
0	0	0 0 0	0 4 4	0	-2 0 0	-0.0140156647424061 0 0 0.00700783237120304 0 0.00700783237120304
0	0	0 0 0	1 4 4	0	-1.996875 0 0	-0.014059397817026 0 0 0.007029698908513 0 0.007029698908513
0	0	0 0 0	2 4 4	0	-1.99375 0 0	-0.014103130942414 0 0 0.00705156547120702 0 0.00705156547120702
0	0	0 0 0	3 4 4	0	-1.990625 0 0	-0.0141468644388261 0 0 0.00707343221941307 0 0.00707343221941307
0	0	0 0 0	4 4 4	0	-1.9875 0 0	-0.0141905986260069 0 0 0.00709529931300345 0 0.00709529931300345
0	0	0 0 0	5 4 4	0	-1.984375 0 0	-0.01423433382319 0 0 0.00711716691159498 0 0.00711716691159498
0	0	0 0 0	6 4 4	0	-1.98125 0 0	-0.0142780703490987 0 0 0.00713903517454935 0 0.00713903517454935
0	0	0 0 0	7 4 4	0	-1.978125 0 0	-0.0143218085219467 0 0 0.00716090426097337 0 0.00716090426097337
0	0	0 0 0	8 4 4	0	-1.975 0 0	-0.014365548659439 0 0 0.0071827743297195 0 0.0071827743297195
0	0	0 0 0	9 4 4	0	-1.971875 0 0	-0.0144092910787725 0 0 0.00720464553938623 0 0.00720464553938623
0	0	0 0 0	10 4 4	0	-1.96875 0 0	-0.0144530360966374 0 0 0.00722651804831868 0 0.00722651804831868
0	0	0 0 0	11 4 4	0	-1.965625 0 0	-0.0144967840292184 0 0 0.00724839201460918 0 0.00724839201460918
0	0	0 0 0	12 4 4	0	-1.9625 0 0	-0.0145405351921958 0 0 0.0072702675960979 0 0.0072702675960979
0	0	0 0 0	13 4 4	0	-1.959375 0 0	-0.0145842899007472 0 0 0.0072921449503736 0 0.0072921449503736
0	0	0 0 0	14 4 4	0	-1.95625 0 0	-0.0146280484695487 0 0 0.00731402423477434 0 0.00731402423477434
0	0	0 0 0	15 4 4	0	-1.953125 0 0	-0.0146718112127767 0 0 0.00733590560638834 0 0.00733590560638834
0	0	0 0 0	16 4 4	0	-1.95 0 0	-0.0147155784441096 0 0 0.00735778922205482 0 0.00735778922205482
0	0	0 0 0	17 4 4	0	-1.946875 0 0	-0.0147593504767298 0 0 0.00737967523836492 0 0.00737967523836492
0	0	0 0 0	18 4 4	0	-1.94375 0 0	-0.0148031276233253 0 0 0.00740156381166266 0 0.00740156381166266
0	0	0 0 0	19 4 4	0	-1.940625 0 0	-0.0148469101960919 0 0 0.00742345509804595 0 0.00742345509804595
0	0	0 0 0	20 4 4	0	-1.9375 0 0	-0.0148906985067353 0 0 0.00744534925336763 0 0.00744534925336763
0	0	0 0 0	21 4 4	0	-1.934375 0 0	-0.0149344928664732 0 0 0.0074672464332366 0 0.0074672464332366
0	0	0 0 0	22 4 4	0	-1.93125 0 0	-0.0149782935860378 0 0 0.00748914679301892 0 0.00748914679301892
0	0	0 0 0	23 4 4	0	-1.928125 0 0	-0.015022100975678 0 0 0.00751105048783902 0 0.00751105048783902
0	0	0 0 0	24 4 4	0	-1.925 0 0	-0.0150659153451618 0 0 0.0075329576725809 0 0.0075329576725809
0	0	0 0 0	25 4 4	0	-1.921875 0 0	-0.0151097370037788 0 0 0.00755486850188943 0 0.00755486850188943
0	0	0 0 0	26 4 4	0	-1.91875 0 0	-0.0151535662603431 0 0 0.00757678313017157 0 0.00757678313017157
0	0	0 0 0	27 4 4	0	-1.915625 0 0	-0.0151974034231956 0 0 0.00759870171159782 0 0.00759870171159782
0	0	0 0 0	28 4 4	0	-1.9125 0 0	-0.0152412488002069 0 0 0.00762062440010347 0 0.00762062440010347
0	0	0 0 0	29 4 4	0	-1.909375 0 0	-0.0152851026987802 0 0 0.0076425513493901 0 0.0076425513493901
0	0	0 0 0	30 4 4	0	-1.90625 0 0	-0.0153289654258539 0 0 0.00766448271292697 0 0.00766448271292697
0	0	0 0 0	31 4 4	0	-1.903125 0 0	-0.015372837287905 0 0 0.00768641864395251 0 0.00768641864395251
0	0	0 0 0	32 4 4	0	-1.9 0 0	-0.0154167185909516 0 0 0.00770835929547582 0 0.00770835929547582
0	0	0 0 0	33 4 4	0	-1.896875 0 0	-0.0154606096405564 0 0 0.00773030482027822 0 0.00773030482027822
0	0	0 0 0	34 4 4	0	-1.89375 0 0	-0.0155045107418295 0 0 0.00775225537091476 0 0.00775225537091476
0	0	0 0 0	35 4 4	0	-1.890625 0 0	-0.0155484221994318 0 0 0.00777421109971589 0 0.00777421109971589
0	0	0 0 0	36 4 4	0	-1.8875 0 0	-0.0155923443175781 0 0 0.00779617215878906 0 0.00779617215878906
0	0	0 0 0	37 4 4	0	-1.884375 0 0	-0.0156362774000407 0 0 0.00781813870002033 0 0.00781813870002033
0	0	0 0 0	38 4 4	0	-1.88125 0 0	-0.0156802217501521 0 0 0.00784011087507607 0 0.00784011087507607
0	0	0 0 0	39 4 4	0	-1.878125 0 0	-0.0157241776708094 0 0 0.0078620888354047 0 0.0078620888354047
0	0	0 0 0	40 4 4	0	-1.875 0 0	-0.0157681454644767 0 0 0.00788407273223834 0 0.00788407273223834
0	0	0 0 0	41 4 4	0	-1.871875 0 0	-0.0158121254331893 0 0 0.00790606271659463 0 0.00790606271659463
0	0	0 0 0	42 4 4	0	-1.86875 0 0	-0.0158561178785569 0 0 0.00792805893927847 0 0.00792805893927847
0	0	0 0 0	43 4 4	0	-1.865625 0 0	-0.0159001231017677 0 0 0.00795006155088384 0 0.00795006155088384
0	0	0 0 0	44 4 4	0	-1.8625 0 0	-0.0159441414035911 0 0 0.00797207070179557 0 0.00797207070179557
0	0	0 0 0	45 4 4	0	-1.859375 0 0	-0.0159881730843825 0 0 0.00799408654219123 0 0.00799408654219123
0	0	0 0 0	46 4 4	0	-1.85625 0 0	-0.016032218444086 0 0 0.00801610922204298 0 0.00801610922204298
0	0	0 0 0	47 4 4	0	-1.853125 0 0	-0.0160762777822389 0 0 0.00803813889111944 0 0.00803813889111944
0	0	0 0 0	48 4 4	0	-1.85 0 0	-0.0161203513979752 0 0 0.00806017569898759 0 0.00806017569898759
0	0	0 0 0	49 4 4	0	-1.846875 0 0	-0.0161644395900294 0 0 0.00808221979501469 0 0.00808221979501469
0	0	0 0 0	50 4 4	0	-1.84375 0 0	-0.0162085426567404 0 0 0.00810427132837022 0 0.00810427132837022
0	0	0 0 0	51 4 4	0	-1.840625 0 0	-0.0162526608960556 0 0 0.00812633044802782 0 0.00812633044802782
0	0	0 0 0	52 4 4	0	-1.8375 0 0	-0.0162967946055346 0 0 0.00814839730276731 0 0.00814839730276731
0	0	0 0 0	53 4 4	0	-1.834375 0 0	-0.0163409440823532 0 0 0.00817047204117659 0 0.00817047204117659
0	0	0 0 0	54 4 4	0	-1.83125 0 0	-0.0163851096233075 0 0 0.00819255481165373 0 0.00819255481165373
0	0	0 0 0	55 4 4	0	-1.828125 0 0	-0.0164292915248178 0 0 0.00821464576240892 0 0.00821464576240892
0	0	0 0 0	56 4 4	0	-1.825 0 0	-0.0164734900829331 0 0 0.00823674504146656 0 0.00823674504146656
0	0	0 0 0	57 4 4	0	-1.821875 0 0	-0.0165177055933345 0 0 0.00825885279666726 0 0.00825885279666726
0	0	0 0 0	58 4 4	0	-1.81875 0 0	-0.0165619383513399 0 0 0.00828096917566994 0 0.00828096917566994
0	0	0 0 0	59 4 4	0	-1.815625 0 0	-0.0166061886519077 0 0 0.00830309432595386 0 0.00830309432595386
0	0	0 0 0	60 4 4	0	-1.8125 0 0	-0.0166504567896415 0 0 0.00832522839482075 0 0.00832522839482075
0	0	0 0 0	61 4 4	0	-1.809375 0 0	-0.0166947430587937 0 0 0.00834737152939687 0 0.00834737152939687
