# 1D ASCII output created by CarpetIOASCII
# created on 127.0.0.1ip-172-30-0-219 by admin on Jul 03 2016 at 05:45:04+0000
# parameter filename: "/home/admin/simulations/GenerateSimulations/ONE_BH/1BH_P0.3_NoS/1bh_p0.3_nos/twopunnear_1bh_p0.3_nos_20.par"
#
# ADMBASE::CURV x (admbase-curv)
#
# iteration 0   time 0
# time level 0
# refinement level 0   multigrid level 0   map 0   component 0
# column format: 1:it	2:tl	3:rl 4:c 5:ml	6:ix 7:iy 8:iz	9:time	10:x 11:y 12:z	13:data
# data columns: 13:kxx 14:kxy 15:kxz 16:kyy 17:kyz 18:kzz
0	0	0 0 0	0 20 20	0	2.9375 0.5 0.5	-0.0246010562608226 0.196808450086581 0.196808450086581 0.0123005281304113 -0.0121112892360973 0.0123005281304113
0	0	0 0 0	1 20 20	0	2.940625 0.5 0.5	-0.0233742759797564 0.196836008250579 0.196836008250579 0.0116871379898782 -0.0115246228011587 0.0116871379898782
0	0	0 0 0	2 20 20	0	2.94375 0.5 0.5	-0.0221470226171113 0.196862423263212 0.196862423263212 0.0110735113085556 -0.0109351137748428 0.0110735113085556
0	0	0 0 0	3 20 20	0	2.946875 0.5 0.5	-0.0209193209142199 0.196887726251481 0.196887726251481 0.0104596604571099 -0.0103428988258339 0.0104596604571099
0	0	0 0 0	4 20 20	0	2.95 0.5 0.5	-0.0196911946894021 0.196911946894022 0.196911946894022 0.00984559734470105 -0.00974811618287233 0.00984559734470105
0	0	0 0 0	5 20 20	0	2.953125 0.5 0.5	-0.018462666879795 0.19693511338448 0.19693511338448 0.0092313334398975 -0.00915090555900777 0.0092313334398975
0	0	0 0 0	6 20 20	0	2.95625 0.5 0.5	-0.0172337595847039 0.196957252396615 0.196957252396615 0.00861687979235195 -0.00855140807428322 0.00861687979235195
0	0	0 0 0	7 20 20	0	2.959375 0.5 0.5	-0.0160044941104098 0.196978389051198 0.196978389051198 0.00800224705520489 -0.00794976617692752 0.00800224705520489
0	0	0 0 0	8 20 20	0	2.9625 0.5 0.5	-0.0147748910163559 0.196998546884745 0.196998546884745 0.00738744550817797 -0.00734612356313533 0.00738744550817797
0	0	0 0 0	9 20 20	0	2.965625 0.5 0.5	-0.0135449701626355 0.197017747820154 0.197017747820154 0.00677248508131777 -0.00674062509551476 0.00677248508131777
0	0	0 0 0	10 20 20	0	2.96875 0.5 0.5	-0.0123147507587044 0.197036012139271 0.197036012139271 0.00615737537935222 -0.00613341672028859 0.00615737537935222
0	0	0 0 0	11 20 20	0	2.971875 0.5 0.5	-0.0110842514132315 0.197053358457448 0.197053358457448 0.00554212570661576 -0.00552464538333256 0.00554212570661576
0	0	0 0 0	12 20 20	0	2.975 0.5 0.5	-0.00985349018500636 0.197069803700128 0.197069803700128 0.00492674509250318 -0.00491445894514033 0.00492674509250318
0	0	0 0 0	13 20 20	0	2.978125 0.5 0.5	-0.00862248463481541 0.197085363081494 0.197085363081494 0.00431124231740771 -0.00430300609480437 0.00431124231740771
0	0	0 0 0	14 20 20	0	2.98125 0.5 0.5	-0.00739125187819568 0.19710005008522 0.19710005008522 0.00369562593909784 -0.00369043626310285 0.00369562593909784
0	0	0 0 0	15 20 20	0	2.984375 0.5 0.5	-0.00615980863897965 0.197113876447349 0.197113876447349 0.00307990431948983 -0.00307689953478789 0.00307990431948983
0	0	0 0 0	16 20 20	0	2.9875 0.5 0.5	-0.00492817130353356 0.19712685214134 0.19712685214134 0.00246408565176678 -0.00246254656016668 0.00246408565176678
0	0	0 0 0	17 20 20	0	2.990625 0.5 0.5	-0.00369635597559922 0.197138985365293 0.197138985365293 0.00184817798779961 -0.00184752846607326 0.00184817798779961
0	0	0 0 0	18 20 20	0	2.99375 0.5 0.5	-0.00246437853164236 0.197150282531386 0.197150282531386 0.00123218926582118 -0.00123199676632644 0.00123218926582118
0	0	0 0 0	19 20 20	0	2.996875 0.5 0.5	-0.00123225467660946 0.197160748257525 0.197160748257525 0.000616127338304731 -0.000616103271770677 0.000616127338304731
0	0	0 0 0	20 20 20	0	3 0.5 0.5	0 0.197170385361248 0.197170385361248 0 0 0
0	0	0 0 0	21 20 20	0	3.003125 0.5 0.5	0.00123236996784906 0.197179194855862 0.197179194855862 -0.000616184983924532 0.000616160915138784 -0.000616184983924532
0	0	0 0 0	22 20 20	0	3.00625 0.5 0.5	0.00246483969936048 0.197187175948836 0.197187175948836 -0.00123241984968024 0.0012322273141624 -0.00123241984968024
0	0	0 0 0	23 20 20	0	3.009375 0.5 0.5	0.00369739361329608 0.19719432604246 0.19719432604246 -0.00184869680664804 0.00184804710258854 -0.00184869680664804
0	0	0 0 0	24 20 20	0	3.0125 0.5 0.5	0.00493001601841875 0.197200640736747 0.197200640736747 -0.00246500800920938 0.00246346834149594 -0.00246500800920938
0	0	0 0 0	25 20 20	0	3.015625 0.5 0.5	0.00616269105733109 0.197206113834595 0.197206113834595 -0.00308134552866555 0.00307833933790587 -0.00308134552866555
0	0	0 0 0	26 20 20	0	3.01875 0.5 0.5	0.00739540265059417 0.19721073734918 0.19721073734918 -0.00369770132529709 0.00369250873488865 -0.00369770132529709
0	0	0 0 0	27 20 20	0	3.021875 0.5 0.5	0.00862813444121953 0.197214501513589 0.197214501513589 -0.00431406722060977 0.00430582560129479 -0.00431406722060977
0	0	0 0 0	28 20 20	0	3.025 0.5 0.5	0.00986086973963289 0.197217394792658 0.197217394792658 -0.00493043486981644 0.00491813952101391 -0.00493043486981644
0	0	0 0 0	29 20 20	0	3.028125 0.5 0.5	0.011093591469207 0.197219403897012 0.197219403897012 -0.00554679573460348 0.0055293006816654 -0.00554679573460348
0	0	0 0 0	30 20 20	0	3.03125 0.5 0.5	0.0123262821124537 0.197220513799259 0.197220513799259 -0.00616314105622686 0.00613915996262287 -0.00616314105622686
0	0	0 0 0	31 20 20	0	3.034375 0.5 0.5	0.013558923657974 0.197220707752351 0.197220707752351 -0.00677946182898702 0.00674756902228015 -0.00677946182898702
0	0	0 0 0	32 20 20	0	3.0375 0.5 0.5	0.0147914975482524 0.197219967310031 0.197219967310031 -0.00739574877412618 0.00735438038446357 -0.00739574877412618
0	0	0 0 0	33 20 20	0	3.040625 0.5 0.5	0.0160239846283873 0.197218272349382 0.197218272349382 -0.00801199231419363 0.00795944752389914 -0.00801199231419363
0	0	0 0 0	34 20 20	0	3.04375 0.5 0.5	0.0172563650958478 0.197215601095403 0.197215601095403 -0.0086281825479239 0.00856262495064552 -0.0086281825479239
0	0	0 0 0	35 20 20	0	3.046875 0.5 0.5	0.0184886184513366 0.197211930147591 0.197211930147591 -0.00924430922566833 0.00916376829340209 -0.00924430922566833
0	0	0 0 0	36 20 20	0	3.05 0.5 0.5	0.0197207234508484 0.197207234508484 0.197207234508484 -0.00986036172542419 0.00976273438160811 -0.00986036172542419
0	0	0 0 0	37 20 20	0	3.053125 0.5 0.5	0.0209526580589994 0.197201487614112 0.197201487614112 -0.0104763290294997 0.0103593813262464 -0.0104763290294997
0	0	0 0 0	38 20 20	0	3.05625 0.5 0.5	0.0221843994037093 0.197194661366305 0.197194661366305 -0.0110921997018547 0.0109535685992701 -0.0110921997018547
0	0	0 0 0	39 20 20	0	3.059375 0.5 0.5	0.0234159237323103 0.197186726166823 0.197186726166823 -0.0117079618661551 0.011545157111574 -0.0117079618661551
0	0	0 0 0	40 20 20	0	3.0625 0.5 0.5	0.0246472063691532 0.197177650953225 0.197177650953225 -0.0123236031845766 0.0121340092894293 -0.0123236031845766


